k,t_gamma,phase_radians,magnitude_ratio,direction,residual_dps50,dps80_rerun_triggered,residual_dps80
68,178.3774077760999772858309354141844261831,2.588018294692747986954110653190234364162,2.5441474528817013882,+,6.41464e-50,false,
69,179.9164840202569961393400366120512374537,2.588018294692747986954110653190234364162,1.463160869116271999,+,1.71057e-49,false,
70,182.2070784843664619154070372269877986908,2.588018294692747986954110653190234364162,0.44979038680994703413,+,3.95569e-49,false,
71,184.8744678483875088009606466172342584134,2.588018294692747986954110653190234364162,0.45263899923046679987,+,9.0874e-50,false,
72,185.5987836777074714665277042683926466129,-0.553574358897045251508532730089268520035,0.38193603555215242835,-,2.68613e-49,false,
73,187.2289225835018519916415405861312430168,2.588018294692747986954110653190234364162,0.76551489199639596554,+,2.9935e-49,false,
74,189.4161586560169370848522890998453244914,-0.553574358897045251508532730089268520035,6.9699589530358777744,-,2.98013e-49,false,
75,192.0266563607137865472836314255834301058,-0.553574358897045251508532730089268520035,0.3242045609649343122,-,1.53684e-49,false,
76,193.079726603845704047402205794376054604,-0.553574358897045251508532730089268520035,0.099751860916236661369,-,1.77739e-49,false,
77,195.2653966795292353214631878148622509269,-0.553574358897045251508532730089268520035,78.96565168651280867,-,3.85145e-48,false,
78,196.8764818409583169486222639146962077357,-0.553574358897045251508532730089268520035,21.190799003033614116,-,1.04238e-49,false,
79,198.0153096762519124249199187022088671551,-0.553574358897045251508532730089268520035,0.44842128760688700357,-,1.93775e-49,false,
80,201.2647519437037887330161334275481732224,-0.553574358897045251508532730089268520035,1.1939295503879582296,-,2.77968e-49,false,
81,202.493594514140534277686660637864315821,2.588018294692747986954110653190234364162,1.1134609217500194264,+,6.73537e-49,false,
82,204.1896718031045543307164383863136851365,-0.553574358897045251508532730089268520035,0.17419389994503602956,-,1.53684e-49,false,
83,205.3946972021632860252123793906930909237,2.588018294692747986954110653190234364162,0.62276242145691007877,+,5.93354e-49,false,
84,207.9062588878062098615019679077536442687,-0.553574358897045251508532730089268520035,1.9255076399318017993,-,5.61281e-50,false,
85,209.5765097168562598528356442898867521754,2.588018294692747986954110653190234364162,0.17600846286258587085,+,9.0874e-50,false,
86,211.6908625953653075639074867307192942534,2.588018294692747986954110653190234364162,0.4127261663150228398,+,5.88008e-50,false,
87,213.3479193597126661906391220210726088219,2.588018294692747986954110653190234364162,4.5788669249439650227,+,4.91789e-49,false,
88,214.5470447834914232229442010725906910456,2.588018294692747986954110653190234364162,16.252342896117005805,+,2.19167e-49,false,
89,216.1695385082637002658695633544981285755,-0.553574358897045251508532730089268520035,1.0459148268330483531,-,8.01829e-51,false,
90,219.0675963490213789856772565904372412451,2.588018294692747986954110653190234364162,7.1325139175093849912,+,1.02634e-48,false,
91,220.7149188393140033691155926339063396568,2.588018294692747986954110653190234364162,0.26561840250937989838,+,4.27642e-50,false,
92,221.4307055546933387320974751192760779502,-0.553574358897045251508532730089268520035,0.26860386646584423882,-,1.29629e-49,false,
93,224.0070002546043352117288755285048953561,2.588018294692747986954110653190234364162,1.3617154437237279354,+,1.06911e-50,false,
94,224.9833246695822875037825236805286567721,-0.553574358897045251508532730089268520035,7.5792878953071093343,-,1.79075e-49,false,
95,227.421444279679291310461436160659639964,-0.553574358897045251508532730089268520035,0.12573233247562756268,-,2.6594e-49,false,
96,229.3374133055253481077600833060557400828,2.588018294692747986954110653190234364162,1.4949989364031621875,+,1.01565e-49,false,
97,231.2501887004991647738061867700103726067,-0.553574358897045251508532730089268520035,1.6677804963546102241,-,4.82434e-49,false,
98,231.9872352531802486037716685391978622054,-0.553574358897045251508532730089268520035,1.2500597753603886298,-,1.06911e-49,false,
99,233.6934041789083006407044947325697881795,-0.553574358897045251508532730089268520035,0.45914442281984320779,-,6.89573e-49,false,
100,236.5242296658162058024755079556629786895,2.588018294692747986954110653190234364162,0.59042811747759006747,+,1.65711e-49,false,
101,237.7698204809252040032366259263871077942,-0.553574358897045251508532730089268520035,0.2532114055726990395,-,9.88923e-50,false,
102,239.5554775733276287402689320343344924817,-0.553574358897045251508532730089268520035,0.043520601471501427178,-,1.44597e-48,false,
103,241.0491577962165864128379214103356705496,2.588018294692747986954110653190234364162,26.034973072493415417,+,5.5059e-49,false,
104,242.8232719342226000168264744588785499539,-0.553574358897045251508532730089268520035,4.6280591143664094608,-,1.24284e-49,false,
105,244.0708984970781582368165279898445013471,-0.553574358897045251508532730089268520035,0.36329328793294832765,-,3.52805e-49,false,
106,247.1369900748974994675509681792081322679,2.588018294692747986954110653190234364162,0.50172217335757445521,+,6.41464e-50,false,
107,248.1019900601484592567621420846569973558,-0.553574358897045251508532730089268520035,2.116100316423822687,-,1.47002e-49,false,
108,249.5736896447072091923297941887399703426,2.588018294692747986954110653190234364162,0.12313840850835205653,+,1.15463e-48,false,
109,251.0149477950160011429541551037080481523,-0.553574358897045251508532730089268520035,16.244464254451105759,-,4.35661e-49,false,
110,253.0699867479994771945990137856180909301,2.588018294692747986954110653190234364162,8.7881650375370810554,+,1.04772e-48,false,
111,255.3062564549140227530864917940014231579,2.588018294692747986954110653190234364162,0.3142189923425736176,+,7.48374e-50,false,
112,256.3807136944344777893583823397295308712,2.588018294692747986954110653190234364162,0.074731661184356285296,+,4.27642e-50,false,
113,258.6104394915313682089830586447591316322,2.588018294692747986954110653190234364162,0.50016059154647655619,+,2.13821e-50,false,
114,259.8744069896780003506728446138765926662,-0.553574358897045251508532730089268520035,0.73250498109533176192,-,1.00229e-49,false,
115,260.8050845045968701859312334724645480349,-0.553574358897045251508532730089268520035,18.603224200963749171,-,1.93775e-49,false,
116,263.5738939048701322330815881310233031703,-0.553574358897045251508532730089268520035,1.7982486063284108492,-,3.2875e-49,false,
117,265.557851838876320292477308964184914641,-0.553574358897045251508532730089268520035,0.37944437786832231772,-,3.47459e-50,false,
118,266.6149737815010724957201129738679118066,2.588018294692747986954110653190234364162,0.0042987435638131157458,+,6.20081e-48,false,
119,267.9219150828240594403789671721856183743,-0.553574358897045251508532730089268520035,0.76953216488841110361,-,1.08247e-49,false,
120,269.9704490239976025946935053188984796629,-0.553574358897045251508532730089268520035,28.331749096330274144,-,5.49253e-49,false,
121,271.4940556416449990181794167575228506935,2.588018294692747986954110653190234364162,3.3473313162281922324,+,5.13171e-49,false,
122,273.4596091884032870457142502988017729228,-0.553574358897045251508532730089268520035,0.093479061056627354537,-,2.00457e-50,false,
123,275.5874926493438412487407026193777848264,2.588018294692747986954110653190234364162,1.1450816387223446757,+,1.81748e-49,false,
124,276.4520495031329386798873436383992419481,2.588018294692747986954110653190234364162,1.805897815864171121,+,2.13821e-50,false,
125,278.2507435298419544927482767113162589261,-0.553574358897045251508532730089268520035,0.81577047257456686141,-,2.37876e-49,false,
126,279.2292509277451892284098804519553592835,-0.553574358897045251508532730089268520035,7.5755421438590908483,-,8.01829e-51,false,
127,282.4651147650520962330272011865010242055,-0.553574358897045251508532730089268520035,0.34177915752601474056,-,9.35468e-51,false,
128,283.2111857332338674204938379433289382985,-0.553574358897045251508532730089268520035,0.66217054994568675291,-,2.55249e-49,false,
129,284.8359639809047241331576339226962164631,2.588018294692747986954110653190234364162,0.36200622846549990932,+,4.27642e-50,false,
130,286.6674453630028842928476241464149393439,2.588018294692747986954110653190234364162,8.0182816031319418858,+,6.41464e-50,false,
131,287.9119205014221871552541202718675103855,-0.553574358897045251508532730089268520035,20.210515172257756117,-,2.67276e-50,false,
132,289.5798549292188341527380235693523438897,-0.553574358897045251508532730089268520035,0.48201690393205757611,-,3.1405e-49,false,
133,291.8462913290673958355130544246385118828,2.588018294692747986954110653190234364162,7.6487843396199787192,+,1.33104e-48,false,
134,293.5584341393562853567766971060350773438,-0.553574358897045251508532730089268520035,0.80557378227129495843,-,1.32302e-49,false,
135,294.9653696192655421750664486390096713431,2.588018294692747986954110653190234364162,1.200020417133012459,+,4.97134e-49,false,
136,295.5732548789582923884608314587786106373,-0.553574358897045251508532730089268520035,0.25915974646462387114,-,1.30965e-49,false,
137,297.9792770619434152099296829576828341811,-0.553574358897045251508532730089268520035,1.4034209785839494782,-,1.17602e-49,false,
138,299.8403260537213129600270525252937692542,2.588018294692747986954110653190234364162,0.85101949252100253307,+,2.45894e-49,false,
139,301.6493254621941836234701002084179820811,-0.553574358897045251508532730089268520035,0.049997463258896013267,-,2.83313e-49,false,
140,302.6967495896069170517514770953529227629,2.588018294692747986954110653190234364162,0.16736895501621289807,+,3.42114e-49,false,
141,304.8643713408572977001487499031444995926,-0.553574358897045251508532730089268520035,5.844045597208591237,-,1.12256e-49,false,
142,305.728912602036809289222821261660967257,-0.553574358897045251508532730089268520035,7.6676500400889249855,-,8.01829e-50,false,
143,307.2194961281700547894100333999345022674,-0.553574358897045251508532730089268520035,0.68954890228728545482,-,1.87094e-49,false,
144,310.1094631467018988047862197679989458348,-0.553574358897045251508532730089268520035,0.1717655012681417459,-,1.06911e-49,false,
145,311.1651415303560032709426708003548198992,2.588018294692747986954110653190234364162,0.3621820317363977911,+,2.94004e-49,false,
146,312.4278011806008919804859830928742637629,-0.553574358897045251508532730089268520035,3.1296680269133985247,-,2.37876e-49,false,
147,313.985285731158922979048965754576328568,2.588018294692747986954110653190234364162,0.85324863717361258759,+,5.29207e-49,false,
148,315.4756160894757338685960781439537653358,-0.553574358897045251508532730089268520035,3.1704542577203332338,-,8.01829e-50,false,
149,317.7348059423701803956454942049681140152,2.588018294692747986954110653190234364162,0.5111918076601396634,+,3.5815e-49,false,
150,318.853104256316597906689184547749182203,-0.553574358897045251508532730089268520035,0.21025933507242233542,-,1.05574e-49,false,
151,321.1601343091135782919214714174306940298,2.588018294692747986954110653190234364162,4.2416920480226550207,+,6.20081e-49,false,
152,322.1445586724829322988374450059885492604,-0.553574358897045251508532730089268520035,1.0628432681695762046,-,4.6907e-49,false,
153,323.4669695575120505062120304147951633568,-0.553574358897045251508532730089268520035,9.0303584806538380392,-,8.76667e-49,false,
154,324.8628660517396132649800869954004099198,-0.553574358897045251508532730089268520035,16.015503692240531352,-,1.42859e-48,false,
155,327.4439012619054573434692638163207033567,-0.553574358897045251508532730089268520035,0.89536969459554622082,-,9.88923e-50,false,
156,329.0330716804809340336147275768039462037,-0.553574358897045251508532730089268520035,0.49524062632685595982,-,4.81098e-50,false,
157,329.9532397282338663438921221886314660583,-0.553574358897045251508532730089268520035,0.12226934733204952129,-,1.2562e-49,false,
158,331.4744675826634243756617538663448279232,2.588018294692747986954110653190234364162,3.3148974048249991348,+,3.20732e-50,false,
159,333.6453785248698505849616830808794253809,-0.553574358897045251508532730089268520035,5.2538500013651338426,-,2.55249e-49,false,
160,334.2113548332443832324034079591924931542,-0.553574358897045251508532730089268520035,4.9125708630787295678,-,2.81977e-49,false,
161,336.8418504283906847946547629194118860072,-0.553574358897045251508532730089268520035,0.077605612769813939228,-,1.29629e-49,false,
162,338.3399928508066118862573260871632033909,2.588018294692747986954110653190234364162,1.0545521277936780001,+,1.12256e-49,false,
163,339.8582167253635401923265509308739971832,-0.553574358897045251508532730089268520035,0.13101659174516722987,-,4.34324e-49,false,
164,341.0422611110465604825977845985369171873,-0.553574358897045251508532730089268520035,3.6959543785091053522,-,3.5815e-49,false,
165,342.0548775103635854514038250940980567152,-0.553574358897045251508532730089268520035,1.3547945035210348805,-,6.281e-50,false,
166,344.6617029402523370441811880981991857827,-0.553574358897045251508532730089268520035,4.7571130841387337187,-,2.11148e-49,false,
167,346.3478705660099473959364598161519338982,2.588018294692747986954110653190234364162,0.013533589657536426756,+,1.315e-48,false,
168,347.2726775844204844757970948880699796761,2.588018294692747986954110653190234364162,0.1829107040069301985,+,1.33638e-49,false,
169,349.3162608706961441231555557339937213361,2.588018294692747986954110653190234364162,0.81186956393158610353,+,2.56585e-49,false,
170,350.4084193491920991876719532344872344696,2.588018294692747986954110653190234364162,7.586096471510260245,+,2.45894e-49,false,
171,351.8786490253592804367133930765969327299,2.588018294692747986954110653190234364162,2.4041210191280568205,+,0.0,false,
172,353.4889004887188067836037686094353184133,-0.553574358897045251508532730089268520035,0.45989307924261978788,-,1.95112e-49,false,
173,356.0175749772649473179603619607664426757,2.588018294692747986954110653190234364162,0.08488247231841086109,+,1.65711e-49,false,
174,357.1513022520396248096029282322903566118,-0.553574358897045251508532730089268520035,0.11783620389509975314,-,1.1092e-49,false,
175,357.9526851016322737551289189827774428235,-0.553574358897045251508532730089268520035,0.61494683415573748649,-,1.87094e-49,false,
176,359.7437549531144487992919859769902954054,2.588018294692747986954110653190234364162,1.8277114087994293344,+,1.01565e-49,false,
177,361.2893616958046503902913112277152281909,-0.553574358897045251508532730089268520035,36.077277984957331402,-,1.74264e-48,false,
178,363.33133057897383474733444956661473127,2.588018294692747986954110653190234364162,15.21745366135755872,+,1.20809e-48,false,
179,364.7360241140889937162621021269404000172,-0.553574358897045251508532730089268520035,0.059598144349955650881,-,2.13821e-50,false,
180,366.2127102883313168610771451968065741791,2.588018294692747986954110653190234364162,0.37570449960025785453,+,2.83313e-49,false,
181,367.993575481740303326183298044207846399,-0.553574358897045251508532730089268520035,7.3904775489005325295,-,3.67505e-49,false,
182,368.9684380957343898915769012998919106382,-0.553574358897045251508532730089268520035,1.4500756107303169747,-,1.89766e-49,false,
183,370.0509192121060003396511630612666114225,-0.553574358897045251508532730089268520035,2.0009392754546043671,-,1.84421e-49,false,
184,373.0619283721128384491193964312853919029,-0.553574358897045251508532730089268520035,2.3546879238103170063,-,7.26992e-49,false,
185,373.8648739109085697447563627336594609497,2.588018294692747986954110653190234364162,0.10830260207473577532,+,6.30772e-49,false,
186,375.8259127667393341079077141466930257529,2.588018294692747986954110653190234364162,0.024158981241268087776,+,4.22297e-49,false,
187,376.324092230668052117190819612427579613,2.588018294692747986954110653190234364162,0.67987583402848312259,+,2.77968e-49,false,
188,378.4366802499654797240909659132035205563,-0.553574358897045251508532730089268520035,22.253487055045408859,-,1.30965e-49,false,
189,379.8729753465323466510240596904462715681,-0.553574358897045251508532730089268520035,3.1812635027276399019,-,9.75559e-50,false,
190,381.4844686171865249196625224236573953658,2.588018294692747986954110653190234364162,0.16186654994350927356,+,2.67276e-50,false,
191,383.4435294495364877043457554807225369042,-0.553574358897045251508532730089268520035,0.32645549837997158467,-,1.81748e-49,false,
192,384.9561168148636871037515842087935133903,2.588018294692747986954110653190234364162,3.4915140534233759257,+,8.01829e-50,false,
193,385.8613008459742291805619593598032576156,-0.553574358897045251508532730089268520035,0.47625805546980972134,-,2.0313e-49,false,
194,387.222890222387980975948514738109814091,-0.553574358897045251508532730089268520035,3.5947111593505786449,-,9.0874e-50,false,
195,388.8461283542322546008094203003735580574,-0.553574358897045251508532730089268520035,0.0079092352060242581818,-,2.7599e-47,false,
196,391.4560835636380457705782281225541347722,2.588018294692747986954110653190234364162,0.27606107880124708331,+,9.62195e-50,false,
197,392.2450833395190967490151841709928805624,2.588018294692747986954110653190234364162,0.0047993194252374474571,+,2.4536e-48,false,
198,393.4277438444340259366989529201288699205,-0.553574358897045251508532730089268520035,0.076460669057809450012,-,2.89995e-49,false,
199,395.5828700109937209708777113231416421361,2.588018294692747986954110653190234364162,3.8915156948792356284,+,5.34553e-50,false,
200,396.3818542225921869319994544917305290638,-0.553574358897045251508532730089268520035,19.782576794626970628,-,1.17602e-49,false,
