tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
26.0500,0.433674,0.358619,0.400041,0.384826
26.1000,0.181723,0.358160,0.356846,0.382965
26.1500,0.294691,0.362020,0.075534,0.385645
26.2000,0.831004,0.362576,-0.367505,0.391980
26.2500,0.464496,0.373757,-0.643748,0.398948
26.3000,-0.269140,0.387562,-0.502492,0.401033
26.3500,-0.266691,0.368479,-0.195724,0.396904
26.4000,-0.282087,0.356018,0.027948,0.391337
26.4500,-0.258614,0.355905,-0.156851,0.387451
26.5000,-0.058384,0.362328,-0.504568,0.387251
26.5500,-0.076759,0.372648,-0.175347,0.385002
26.6000,0.054095,0.377685,0.145795,0.384489
26.6500,0.124083,0.371272,-0.161166,0.383972
26.7000,-0.091603,0.383985,-0.043356,0.362352
26.7500,-0.053491,0.383470,0.365890,0.355164
26.8000,-0.088970,0.380088,0.422794,0.351583
26.8500,-0.347525,0.371690,0.531200,0.351918
26.9000,-0.474186,0.355015,0.433246,0.345762
26.9500,-0.107550,0.343116,0.263753,0.359766
27.0000,0.006735,0.342244,0.514505,0.399859
27.0500,-0.055246,0.328802,0.377520,0.411938
27.1000,0.347661,0.327378,-0.115821,0.407189
27.1500,0.339789,0.337815,-0.316441,0.413908
27.2000,0.232245,0.345820,-0.611418,0.427094
27.2500,0.585828,0.320549,-0.784313,0.423668
27.3000,0.665263,0.312878,-0.465444,0.411652
27.3500,0.246137,0.312150,-0.014255,0.404659
27.4000,0.026135,0.329917,0.281623,0.403954
27.4500,-0.249163,0.329719,0.072031,0.409693
27.5000,-0.459018,0.329537,-0.132885,0.419365
27.5500,-0.585593,0.330448,0.156295,0.414044
27.6000,-0.393683,0.333313,-0.093342,0.417229
27.6500,-0.146336,0.337329,-0.604612,0.417622
27.7000,-0.632924,0.340063,-0.251419,0.425404
27.7500,-0.091400,0.340402,0.169581,0.429393
27.8000,0.292606,0.341597,0.155128,0.426007
27.8500,-0.003229,0.343973,0.098304,0.435580
27.9000,0.209403,0.344018,0.127914,0.435337
27.9500,0.045669,0.338831,0.659459,0.434256
28.0000,0.007991,0.340335,1.140246,0.434128
28.0500,0.226285,0.340707,0.712447,0.429446
28.1000,0.386989,0.342433,-0.023570,0.427385
28.1500,0.563622,0.339977,-0.594574,0.427481
28.2000,0.557867,0.337270,-0.678516,0.424795
28.2500,-0.011945,0.358648,-0.124721,0.413924
28.3000,-0.128559,0.360104,0.053774,0.395765
28.3500,-0.231915,0.345700,-0.135772,0.389061
28.4000,-0.734054,0.353381,-0.122251,0.391460
28.4500,-0.272461,0.375337,-0.438429,0.392057
28.5000,0.248919,0.383040,-0.594453,0.396887
28.5500,0.167460,0.385100,-0.269741,0.404257
28.6000,-0.289596,0.376708,-0.373227,0.407313
28.6500,-0.336675,0.378286,-0.186354,0.414307
28.7000,-0.302232,0.378451,0.543090,0.409672
28.7500,-0.133535,0.365918,0.376397,0.409541
28.8000,0.190463,0.371328,0.123005,0.414521
28.8500,0.273343,0.380556,0.718983,0.416846
28.9000,0.349312,0.381582,0.522952,0.431989
28.9500,-0.282215,0.392281,-0.386222,0.445157
29.0000,-0.231192,0.398628,-0.254983,0.433302
29.0500,0.102136,0.400109,0.314544,0.395024
29.1000,0.226687,0.398857,0.264774,0.380889
29.1500,0.228356,0.394277,0.129568,0.382374
29.2000,0.200792,0.384669,0.079167,0.371443
29.2500,0.814790,0.375124,-0.002658,0.359241
29.3000,0.621371,0.383711,0.110990,0.359000
29.3500,0.160500,0.383738,0.030201,0.358992
29.4000,-0.529852,0.383868,-0.277482,0.359687
29.4500,-0.810360,0.368369,-0.313807,0.360153
29.5000,-0.549167,0.367534,-0.401787,0.356088
29.5500,-0.524958,0.375238,-0.509647,0.346642
29.6000,-0.284247,0.374652,-0.355102,0.344074
29.6500,-0.451467,0.372709,-0.494278,0.339142
29.7000,-0.162884,0.373438,-0.457140,0.338993
29.7500,0.134518,0.370470,0.242530,0.335947
29.8000,0.414595,0.375538,0.443879,0.342302
29.8500,0.608367,0.374791,0.321403,0.341825
29.9000,0.179082,0.375019,0.732589,0.340378
29.9500,0.619100,0.374134,0.699926,0.339190
30.0000,0.455977,0.371572,0.089068,0.334055
30.0500,-0.220396,0.377924,-0.013350,0.334297
30.1000,0.100851,0.381454,0.240621,0.344858
30.1500,-0.028980,0.379948,0.216889,0.348036
30.2000,-0.104043,0.378586,-0.125174,0.347508
30.2500,-0.117782,0.377950,-0.307972,0.348835
30.3000,-0.516998,0.355886,-0.091895,0.349063
30.3500,-0.131893,0.342400,-0.051569,0.354014
30.4000,0.240587,0.342923,-0.197301,0.357084
30.4500,0.246562,0.339195,-0.169414,0.355978
30.5000,-0.221509,0.329532,-0.269899,0.355927
30.5500,-0.544574,0.332190,-0.284985,0.351498
30.6000,-0.100172,0.322869,-0.005832,0.350487
30.6500,-0.155979,0.320011,0.033659,0.367536
30.7000,-0.368310,0.313342,-0.174898,0.364995
30.7500,0.028703,0.315854,-0.458990,0.357986
30.8000,0.415721,0.326476,-0.564247,0.367678
30.8500,0.115320,0.327367,0.041825,0.389828
30.9000,0.285869,0.320857,0.690280,0.390874
30.9500,0.307953,0.327174,0.490261,0.374344
31.0000,-0.036339,0.313430,0.086143,0.359772
31.0500,0.498646,0.307173,0.267694,0.363265
