# Critical-line null test for the golden phase lock
# Seed: 42  N: 50  t-range: [14.0, 144.0]  dps: 50
# Rejection: |t - gamma_k| >= 0.1 for k <= 100  (rejected 4 candidates, acceptance 92.6%)
index,t,phase_radians,magnitude_ratio,direction,residual
1,97.125483799524886,-0.553574358897045251508532730089268520035,5.0661220944304412603,-,2.27185e-50
2,17.251398178946701,2.588018294692747986954110653190234364162,4.515494219188706922,+,4.81098e-50
3,43.017395959346956,2.588018294692747986954110653190234364162,8.8386101316648410462,+,1.01565e-49
4,109.74125784132161,-0.553574358897045251508532730089268520035,0.68910382990150826894,-,2.67276e-50
5,101.97093336497846,-0.553574358897045251508532730089268520035,0.029129548623021818401,-,2.92668e-49
6,129.9833438016299,2.588018294692747986954110653190234364162,0.073014186582163051599,+,1.22947e-49
7,25.3020482418241,-0.553574358897045251508532730089268520035,12.405194899938895877,-,3.60823e-50
8,68.849836559085162,2.588018294692747986954110653190234364162,0.39289372932120887786,+,4.27642e-49
9,17.873638526949144,-0.553574358897045251508532730089268520035,2.5014578906551916932,-,0.0
10,42.422936724468435,-0.553574358897045251508532730089268520035,3.6019040126683861661,-,1.33638e-50
11,79.696187453437105,-0.553574358897045251508532730089268520035,3.6334305147444888326,-,2.40549e-50
12,17.44967605890227,-0.553574358897045251508532730089268520035,6.118853568814103917,-,2.00457e-50
13,39.848894589264304,2.588018294692747986954110653190234364162,0.45880365412239353178,+,3.74187e-50
14,98.484976911338023,-0.553574358897045251508532730089268520035,25.030907931708431322,-,9.88923e-50
15,84.842392478418162,2.588018294692747986954110653190234364162,0.0031446325013853081858,+,1.94577e-48
16,42.657280865290574,-0.553574358897045251508532730089268520035,3.4626262059417404681,-,1.47002e-50
17,90.604538903868132,-0.553574358897045251508532730089268520035,1.4552657294227487576,-,2.40549e-50
18,119.22595936811746,2.588018294692747986954110653190234364162,0.21560563494366516313,+,2.19167e-49
19,14.844838758147933,-0.553574358897045251508532730089268520035,47.29858809161836676,-,1.67048e-49
20,104.75812134846949,-0.553574358897045251508532730089268520035,0.031977775186004414212,-,1.94845e-48
21,58.232567147338941,2.588018294692747986954110653190234364162,0.51290090426987237644,+,6.94919e-50
22,34.212334975531604,2.588018294692747986954110653190234364162,7.0075785587102627934,+,1.60366e-50
23,138.43769938688155,-0.553574358897045251508532730089268520035,2.3471641268497023382,-,2.6594e-49
24,57.757290864641476,-0.553574358897045251508532730089268520035,0.41053554166092499016,-,3.87551e-50
25,26.056959639419226,2.588018294692747986954110653190234364162,1.2020156641784877614,+,2.67276e-50
26,26.573128988350319,-0.553574358897045251508532730089268520035,0.1155892571880348451,-,7.3501e-50
27,118.92667552566942,-0.553574358897045251508532730089268520035,0.84307893443782640285,-,1.20274e-50
28,108.86513227019633,-0.553574358897045251508532730089268520035,3.7926615392585485364,-,4.00915e-51
29,83.7096518891111,-0.553574358897045251508532730089268520035,0.15180775336751577989,-,1.1092e-49
30,140.5050493173182,2.588018294692747986954110653190234364162,0.14423057850937322488,+,1.06911e-49
31,63.209469037085952,2.588018294692747986954110653190234364162,0.42393409871546380197,+,3.74187e-50
32,85.765282065519514,2.588018294692747986954110653190234364162,2.832627942076172379,+,1.60366e-50
33,121.82260635288934,2.588018294692747986954110653190234364162,1.1949221404145361397,+,4.27642e-50
34,94.407567807351981,-0.553574358897045251508532730089268520035,0.40603914963517254884,-,3.60823e-50
35,126.02189704040104,-0.553574358897045251508532730089268520035,23.364803065452059373,-,1.92439e-49
36,89.055778883379062,-0.553574358897045251508532730089268520035,14.969663682055527927,-,2.53913e-49
37,105.59433870794005,-0.553574358897045251508532730089268520035,27.123261790282621858,-,3.64832e-49
38,19.95716987523609,-0.553574358897045251508532730089268520035,0.12929346142522793477,-,2.00457e-50
39,43.626775834701093,-0.553574358897045251508532730089268520035,1.3637446059956620228,-,4.5437e-50
40,51.62043526827393,2.588018294692747986954110653190234364162,3.9798655175195822504,+,3.74187e-50
41,24.372957000071573,-0.553574358897045251508532730089268520035,401.49716225383264343,-,1.10652e-48
42,44.262815226933924,-0.553574358897045251508532730089268520035,1.5174943741567537064,-,2.00457e-50
43,27.130185823264785,-0.553574358897045251508532730089268520035,0.37360598425491522424,-,2.67276e-51
44,50.136568404311973,2.588018294692747986954110653190234364162,0.73072258784988915003,+,1.06911e-50
45,96.638977754372021,2.588018294692747986954110653190234364162,4.1830816428479838679,+,1.60366e-50
46,61.428183266110949,-0.553574358897045251508532730089268520035,1.535318079245955181,-,2.27185e-50
47,62.123525725194746,-0.553574358897045251508532730089268520035,1.1293534588494836933,-,3.34096e-50
48,41.235914000293398,2.588018294692747986954110653190234364162,5.557488547945716174,+,3.20732e-50
49,48.707116866384737,-0.553574358897045251508532730089268520035,0.39528849582841506443,-,8.01829e-51
50,135.76509640262424,2.588018294692747986954110653190234364162,0.12194330169504599919,+,4.0626e-49
