x,E_actual,E_predicted,E_norm_actual,E_norm_predicted,residual_norm
511143,49,33.6345,0.900878,0.618380,-0.282498
547890,49,41.9468,0.874738,0.748826,-0.125912
587279,84,64.2405,1.456001,1.113502,-0.342499
629499,71,86.4649,1.194894,1.455161,0.260267
674754,92,88.9219,1.503265,1.452970,-0.050295
723263,71,44.2452,1.126345,0.701907,-0.424438
775260,127,105.3199,1.956006,1.622098,-0.333908
830994,80,71.6648,1.196187,1.071556,-0.124631
890735,109,93.8699,1.582219,1.362594,-0.219625
954772,59,50.8201,0.831403,0.716135,-0.115268
1023411,75,55.8250,1.025959,0.763655,-0.262304
1096986,73,55.4343,0.969370,0.736114,-0.233256
1175850,39,28.3185,0.502711,0.365026,-0.137685
1260383,66,36.2996,0.825798,0.454185,-0.371613
1350994,104,65.0978,1.263075,0.790609,-0.472466
1448118,145,140.3270,1.709303,1.654216,-0.055087
1552225,116,118.1057,1.327254,1.351347,0.024093
1663817,144,126.6490,1.599164,1.406475,-0.192689
1783431,133,131.7237,1.433529,1.419773,-0.013756
1911644,98,97.7778,1.025168,1.022844,-0.002324
2049075,94,76.8870,0.954336,0.780596,-0.173740
2196385,107,101.5616,1.054269,1.000684,-0.053585
2354286,126,74.3940,1.204822,0.711361,-0.493461
2523539,149,98.4226,1.382653,0.913318,-0.469335
2704960,144,107.0208,1.296745,0.963741,-0.333004
2899423,159,154.4681,1.389456,1.349853,-0.039603
3107866,51,70.4196,0.432478,0.597156,0.164678
3331295,99,80.8917,0.814640,0.665633,-0.149007
3570786,165,138.8694,1.317475,1.108830,-0.208645
3827494,93,72.7758,0.720542,0.563850,-0.156692
4102658,102,103.1316,0.766807,0.775314,0.008507
4397604,223,206.8929,1.626638,1.509147,-0.117491
4713753,247,198.6532,1.748132,1.405959,-0.342173
5052631,268,248.2496,1.840325,1.704701,-0.135624
5415871,247,220.4932,1.645622,1.469022,-0.176600
5805226,157,127.4930,1.014840,0.824109,-0.190731
6222571,110,103.3638,0.689838,0.648221,-0.041617
6669920,104,75.3156,0.632755,0.458234,-0.174521
7149429,168,129.0934,0.991632,0.761983,-0.229649
7663411,216,150.7276,1.236875,0.863108,-0.373767
8214344,157,153.7860,0.872156,0.854302,-0.017854
8804884,152,126.4995,0.819129,0.681707,-0.137422
