seed,n_targets,n_matched,signal_mean,null_mean,null_std,z,effect_size
20260530,2792,2697,0.31891308013381797,0.4233515014390823,0.010264184147007221,-10.175033866253845,0.24669434488894182
20260531,2792,2713,0.30855917116911075,0.4224229533076988,0.010649479319072782,-10.691957674837932,0.2695492308052874
20260601,2792,2700,0.3175567191092128,0.4227063651709679,0.010312253586690223,-10.19657295835599,0.24875340123924145
20260602,2792,2704,0.3166968822025465,0.4231792861689314,0.010071595008233803,-10.57254624310575,0.2516248017013706
20260603,2792,2709,0.3177356616369907,0.42305446605907504,0.010513368169585414,-10.017608317643223,0.24894857015261412
20260604,2792,2707,0.3212733659200022,0.42279772263928256,0.01032285109086394,-9.834914388054353,0.2401251267048514
20260605,2792,2699,0.31221322691575476,0.422858634605504,0.010416590723145247,-10.622036579002723,0.2616605140225486
20260606,2792,2718,0.3031860195524243,0.4232198427986575,0.010335508852381898,-11.613731356687916,0.28362049957883956
20260607,2792,2704,0.314031670714395,0.4230876963539933,0.01071401806202471,-10.178816668803446,0.2577622241899283
20260608,2792,2699,0.31843404900978944,0.4226551205856731,0.010389470875121314,-10.031412843694673,0.24658655840124344
