n,t_n,nearest_minimum_t,delta_n,delta_n_null
145,227.050000,226.872000,0.178000,0.389910
146,228.270000,227.656000,0.614000,0.415862
147,229.130000,229.672000,0.542000,0.426456
148,230.060000,229.672000,0.388000,0.432525
149,232.350000,232.528000,0.178000,0.420821
150,233.280000,232.528000,0.752000,0.439525
151,234.590000,234.392000,0.198000,0.412183
152,235.280000,235.088000,0.192000,0.413973
153,236.320000,236.416000,0.096000,0.386370
154,237.750000,237.936000,0.186000,0.416439
155,239.020000,239.112000,0.092000,0.430395
156,240.080000,240.000000,0.080000,0.414342
157,241.830000,241.872000,0.042000,0.419678
158,242.470000,242.560000,0.090000,0.422526
159,244.280000,244.832000,0.552000,0.434696
160,245.090000,245.312000,0.222000,0.421587
161,245.940000,245.616000,0.324000,0.399420
162,247.050000,247.392000,0.342000,0.413773
163,248.190000,248.744000,0.554000,0.416606
164,250.260000,250.360000,0.100000,0.401859
165,251.240000,250.648000,0.592000,0.416485
166,252.450000,252.752000,0.302000,0.411042
167,252.870000,252.752000,0.118000,0.420020
168,254.700000,254.128000,0.572000,0.415529
169,255.480000,254.128000,1.352000,0.427501
170,260.900000,261.040000,0.140000,0.412761
171,261.840000,261.832000,0.008000,0.430743
172,262.720000,262.528000,0.192000,0.430796
173,263.940000,263.984000,0.044000,0.443463
174,264.590000,264.984000,0.394000,0.426624
175,267.870000,267.552000,0.318000,0.428732
176,268.770000,268.208000,0.562000,0.407521
177,269.920000,269.928000,0.008000,0.424874
178,270.980000,270.904000,0.076000,0.434040
179,272.110000,272.208000,0.098000,0.428325
180,273.510000,273.536000,0.026000,0.410198
181,274.290000,274.264000,0.026000,0.406033
182,275.080000,274.720000,0.360000,0.409513
183,278.530000,278.720000,0.190000,0.443266
184,279.300000,279.792000,0.492000,0.439958
185,280.500000,280.736000,0.236000,0.419950
186,281.260000,281.544000,0.284000,0.398837
187,282.170000,281.880000,0.290000,0.396564
188,283.940000,284.080000,0.140000,0.439957
189,284.610000,284.792000,0.182000,0.433933
190,286.570000,287.368000,0.798000,0.409461
191,287.120000,287.368000,0.248000,0.420567
192,289.900000,289.600000,0.300000,0.415855
193,290.740000,290.640000,0.100000,0.410625
194,291.680000,291.800000,0.120000,0.427759
195,292.630000,292.552000,0.078000,0.432159
196,295.800000,296.664000,0.864000,0.413477
197,297.120000,297.272000,0.152000,0.404117
198,297.380000,297.272000,0.108000,0.408717
199,298.750000,298.256000,0.494000,0.405279
200,299.770000,300.072000,0.302000,0.424541
201,301.000000,300.952000,0.048000,0.438489
202,302.130000,302.408000,0.278000,0.419316
203,303.260000,303.240000,0.020000,0.412778
204,306.000000,306.240000,0.240000,0.428258
205,307.010000,306.920000,0.090000,0.414349
206,308.200000,308.144000,0.056000,0.426521
207,308.830000,308.144000,0.686000,0.440248
208,310.240000,310.104000,0.136000,0.430304
209,310.580000,310.528000,0.052000,0.430860
210,313.860000,314.040000,0.180000,0.424512
211,315.040000,315.616000,0.576000,0.441790
212,315.960000,315.616000,0.344000,0.391341
213,316.800000,316.848000,0.048000,0.383780
214,318.450000,318.640000,0.190000,0.429368
215,319.180000,318.640000,0.540000,0.419364
216,320.240000,320.224000,0.016000,0.436055
217,321.210000,321.344000,0.134000,0.417998
218,324.070000,323.928000,0.142000,0.412340
219,325.550000,325.352000,0.198000,0.423533
220,325.970000,326.360000,0.390000,0.430841
221,326.910000,326.864000,0.046000,0.437753
222,328.170000,328.144000,0.026000,0.424618
223,332.160000,331.496000,0.664000,0.421772
224,332.830000,332.832000,0.002000,0.440918
225,335.460000,335.552000,0.092000,0.424938
226,336.260000,336.264000,0.004000,0.423886
227,337.160000,336.264000,0.896000,0.403729
228,338.290000,338.248000,0.042000,0.396050
229,342.430000,342.976000,0.546000,0.397727
230,342.820000,342.976000,0.156000,0.384222
231,344.240000,344.144000,0.096000,0.407390
232,344.920000,345.680000,0.760000,0.416360
233,352.390000,352.552000,0.162000,0.433086
234,352.960000,352.904000,0.056000,0.412545
235,354.420000,354.464000,0.044000,0.412493
236,355.080000,355.304000,0.224000,0.437618
237,355.730000,355.744000,0.014000,0.428059
238,359.040000,360.488000,1.448000,0.452181
239,360.000000,360.488000,0.488000,0.424022
240,360.990000,360.488000,0.502000,0.405293
241,361.800000,361.744000,0.056000,0.418384
242,362.890000,362.704000,0.186000,0.436595
243,364.350000,363.896000,0.454000,0.408496
244,365.150000,365.464000,0.314000,0.410045
245,365.950000,366.056000,0.106000,0.415278
246,370.470000,371.816000,1.346000,0.430135
247,370.640000,371.816000,1.176000,0.429890
248,372.060000,371.816000,0.244000,0.390633
249,372.560000,372.392000,0.168000,0.408748
250,377.700000,376.816000,0.884000,0.433001
251,378.530000,378.664000,0.134000,0.409473
252,379.520000,379.544000,0.024000,0.402043
253,381.090000,381.152000,0.062000,0.417017
254,381.610000,381.856000,0.246000,0.432069
255,382.900000,382.320000,0.580000,0.429926
256,384.670000,384.816000,0.146000,0.422464
257,386.810000,387.408000,0.598000,0.390937
258,387.530000,387.408000,0.122000,0.397622
259,388.630000,388.440000,0.190000,0.431756
260,389.460000,389.328000,0.132000,0.413084
261,390.380000,389.976000,0.404000,0.423819
262,396.440000,396.336000,0.104000,0.397222
263,397.040000,397.256000,0.216000,0.403609
264,398.490000,398.776000,0.286000,0.413448
265,399.610000,399.304000,0.306000,0.400211
266,400.120000,400.184000,0.064000,0.400066
267,401.240000,402.072000,0.832000,0.423384
268,402.120000,402.072000,0.048000,0.396864
