n,t_n,nearest_minimum_t,delta_n,delta_n_null
145,311.165142,311.104000,0.061142,0.425446
146,312.427801,312.136000,0.291801,0.407119
147,313.985286,314.040000,0.054714,0.403156
148,315.475616,315.616000,0.140384,0.425398
149,317.734806,317.224000,0.510806,0.417837
150,318.853104,318.640000,0.213104,0.440188
151,321.160134,321.344000,0.183866,0.442214
152,322.144559,322.528000,0.383441,0.440150
153,323.466970,323.928000,0.461030,0.403801
154,324.862866,324.696000,0.166866,0.420248
155,327.443901,327.608000,0.164099,0.418765
156,329.033072,329.168000,0.134928,0.428235
157,329.953240,329.552000,0.401240,0.430867
158,331.474468,331.496000,0.021532,0.447041
159,333.645379,333.904000,0.258621,0.421144
160,334.211355,334.456000,0.244645,0.400502
161,336.841850,336.264000,0.577850,0.419685
162,338.339993,338.248000,0.091993,0.422385
163,339.858217,339.360000,0.498217,0.436675
164,341.042261,341.480000,0.437739,0.423823
165,342.054878,341.864000,0.190878,0.416971
166,344.661703,344.144000,0.517703,0.405478
167,346.347871,346.000000,0.347871,0.431091
168,347.272678,347.232000,0.040678,0.410321
169,349.316261,348.728000,0.588261,0.440152
170,350.408419,350.672000,0.263581,0.418032
171,351.878649,351.640000,0.238649,0.414677
172,353.488900,353.568000,0.079100,0.420621
173,356.017575,355.744000,0.273575,0.429827
174,357.151302,356.528000,0.623302,0.398555
175,357.952685,356.528000,1.424685,0.413126
176,359.743755,360.488000,0.744245,0.437574
177,361.289362,361.744000,0.454638,0.413687
178,363.331331,363.896000,0.564669,0.441738
179,364.736024,365.464000,0.727976,0.407042
180,366.212710,366.056000,0.156710,0.413975
181,367.993575,367.976000,0.017575,0.420940
182,368.968438,368.432000,0.536438,0.447516
183,370.050919,368.432000,1.618919,0.431870
184,373.061928,373.104000,0.042072,0.421582
185,373.864874,374.064000,0.199126,0.420239
186,375.825913,375.520000,0.305913,0.419712
187,376.324092,376.816000,0.491908,0.418422
188,378.436680,378.664000,0.227320,0.412056
189,379.872975,380.112000,0.239025,0.426685
190,381.484469,381.152000,0.332469,0.436878
191,383.443529,384.080000,0.636471,0.422138
192,384.956117,384.816000,0.140117,0.412815
193,385.861301,385.392000,0.469301,0.417395
194,387.222890,387.408000,0.185110,0.438375
195,388.846128,388.440000,0.406128,0.419851
196,391.456084,391.464000,0.007916,0.406507
197,392.245083,392.016000,0.229083,0.404298
198,393.427744,393.688000,0.260256,0.438186
199,395.582870,396.336000,0.753130,0.447198
200,396.381854,396.336000,0.045854,0.415971
201,397.918736,397.744000,0.174736,0.408067
202,399.985120,400.184000,0.198880,0.430122
203,401.839229,402.072000,0.232771,0.432386
204,402.861918,403.176000,0.314082,0.420428
205,404.236442,404.232000,0.004442,0.413267
206,405.134387,405.272000,0.137613,0.428022
207,407.581460,408.008000,0.426540,0.416673
208,408.947246,408.528000,0.419246,0.417000
209,410.513869,410.488000,0.025869,0.424590
210,411.972268,411.544000,0.428268,0.407745
211,413.262736,412.768000,0.494736,0.415802
212,415.018810,414.808000,0.210810,0.441048
213,415.455215,414.808000,0.647215,0.430533
214,418.387706,418.528000,0.140294,0.417749
215,419.861365,419.520000,0.341365,0.421513
216,420.643828,419.520000,1.123828,0.415581
217,422.076710,422.336000,0.259290,0.426699
218,423.716580,422.720000,0.996580,0.443964
219,425.069882,425.232000,0.162118,0.433050
220,427.208825,427.248000,0.039175,0.428710
221,428.127914,428.440000,0.312086,0.439124
222,430.328745,429.248000,1.080745,0.411437
223,431.301307,431.968000,0.666693,0.431906
224,432.138642,432.304000,0.165358,0.415381
225,433.889218,433.816000,0.073218,0.403879
226,436.161006,436.200000,0.038994,0.430399
227,437.581698,437.968000,0.386302,0.431189
228,438.621739,438.344000,0.277739,0.428653
229,439.918442,439.400000,0.518442,0.425249
230,441.683199,441.760000,0.076801,0.421437
231,442.904546,443.880000,0.975454,0.417033
232,444.319336,444.680000,0.360664,0.415281
233,446.860623,447.048000,0.187377,0.445322
234,447.441704,447.560000,0.118296,0.434325
235,449.148546,449.000000,0.148546,0.417497
236,450.126946,450.016000,0.110946,0.420093
237,451.403308,451.520000,0.116692,0.407631
238,453.986738,453.344000,0.642738,0.417299
239,454.974684,454.752000,0.222684,0.427364
240,456.328427,456.216000,0.112427,0.427668
241,457.903893,457.544000,0.359893,0.417150
242,459.513415,459.528000,0.014585,0.421629
243,460.087944,459.896000,0.191944,0.420583
244,462.065367,462.280000,0.214633,0.422115
245,464.057287,464.280000,0.222713,0.425003
246,465.671539,465.704000,0.032461,0.413446
247,466.570287,465.704000,0.866287,0.416157
248,467.439046,468.088000,0.648954,0.427332
249,469.536005,469.496000,0.040005,0.415110
250,470.773655,470.912000,0.138345,0.443328
251,472.799175,472.888000,0.088825,0.420961
252,473.835232,474.000000,0.164768,0.427394
253,475.600339,475.736000,0.135661,0.442843
254,476.769015,477.224000,0.454985,0.415739
255,478.075264,478.024000,0.051264,0.440738
256,478.942182,478.904000,0.038182,0.436099
257,481.830339,482.280000,0.449661,0.411964
258,482.834783,482.592000,0.242783,0.419355
259,483.851427,484.568000,0.716573,0.434976
260,485.539148,485.448000,0.091148,0.424155
261,486.528718,487.040000,0.511282,0.419430
262,488.380567,488.784000,0.403433,0.428686
263,489.661762,489.112000,0.549762,0.405540
264,491.398822,491.736000,0.337178,0.443999
265,493.314442,493.200000,0.114442,0.418816
266,493.957998,493.880000,0.077998,0.414052
267,495.358829,496.016000,0.657171,0.400607
268,496.429696,496.016000,0.413696,0.428258
269,498.580782,499.656000,1.075218,0.408279
270,500.309085,500.200000,0.109085,0.415008
271,501.604447,500.952000,0.652447,0.441021
272,502.276270,502.376000,0.099730,0.426952
273,504.499773,504.768000,0.268227,0.430834
274,505.415232,505.400000,0.015232,0.441364
275,506.464153,506.576000,0.111847,0.406221
276,508.800700,508.720000,0.080700,0.437791
277,510.264228,510.400000,0.135772,0.441096
278,511.562290,511.440000,0.122290,0.425175
279,512.623145,512.736000,0.112855,0.428078
280,513.668986,513.392000,0.276986,0.408018
281,515.435057,515.736000,0.300943,0.410749
282,517.589669,517.072000,0.517669,0.428639
283,518.234223,518.928000,0.693777,0.421937
284,520.106310,520.136000,0.029690,0.405615
285,521.525193,521.240000,0.285193,0.421159
286,522.456696,522.592000,0.135304,0.444259
287,523.960531,523.728000,0.232531,0.402531
288,525.077386,525.176000,0.098614,0.411058
289,527.903642,527.128000,0.775642,0.417124
290,528.406214,529.248000,0.841786,0.398547
291,529.806226,529.248000,0.558226,0.436886
292,530.866918,531.640000,0.773082,0.417388
293,532.688183,533.336000,0.647817,0.427070
294,533.779631,533.920000,0.140369,0.421360
295,535.664314,535.640000,0.024314,0.436151
296,537.069759,536.632000,0.437759,0.412340
297,538.428526,538.248000,0.180526,0.422956
298,540.213166,540.792000,0.578834,0.432543
299,540.631390,540.792000,0.160610,0.422927
300,541.847437,541.944000,0.096563,0.407755
301,544.323890,544.512000,0.188110,0.426125
302,545.636833,545.056000,0.580833,0.427966
303,547.010912,546.520000,0.490912,0.424332
304,547.931613,547.816000,0.115613,0.436030
305,549.497568,549.040000,0.457568,0.423950
306,550.970010,550.808000,0.162010,0.417021
307,552.049572,552.200000,0.150428,0.428488
308,553.764972,553.640000,0.124972,0.445064
309,555.792021,555.728000,0.064021,0.459501
310,556.899476,557.032000,0.132524,0.430896
311,557.564659,557.440000,0.124659,0.401209
312,559.316237,559.344000,0.027763,0.426859
313,560.240807,559.608000,0.632807,0.420348
314,562.559208,562.560000,0.000792,0.461651
315,564.160879,564.040000,0.120879,0.441288
316,564.506056,564.040000,0.466056,0.436095
317,566.698788,566.656000,0.042788,0.410898
318,567.731758,567.816000,0.084242,0.416505
319,568.923955,569.400000,0.476045,0.394014
320,570.051115,570.200000,0.148885,0.434109
321,572.419984,572.016000,0.403984,0.418137
322,573.614611,573.848000,0.233389,0.439137
323,575.093886,574.528000,0.565886,0.399858
324,575.807247,576.816000,1.008753,0.413653
325,577.039003,576.816000,0.223003,0.424794
326,579.098835,579.272000,0.173165,0.398805
327,580.136959,580.448000,0.311041,0.418870
328,581.946576,582.424000,0.477424,0.418153
329,583.236088,583.512000,0.275912,0.411714
330,584.561706,584.512000,0.049706,0.414044
331,585.984563,586.600000,0.615437,0.409573
332,586.742772,586.600000,0.142772,0.409778
333,588.139663,588.280000,0.140337,0.435657
334,590.660398,590.896000,0.235602,0.437385
335,591.725858,591.728000,0.002142,0.428062
336,592.571358,591.728000,0.843358,0.441391
337,593.974715,594.256000,0.281285,0.443994
338,595.728154,596.512000,0.783846,0.419429
339,596.362768,596.512000,0.149232,0.417916
340,598.493077,598.592000,0.098923,0.432643
341,599.545640,598.592000,0.953640,0.460090
342,601.602137,601.624000,0.021863,0.428031
343,602.579168,602.248000,0.331168,0.429393
344,603.625619,603.352000,0.273619,0.412865
345,604.616218,605.568000,0.951782,0.421185
346,606.383460,606.472000,0.088540,0.415596
347,608.413217,608.480000,0.066783,0.428827
348,609.389575,609.064000,0.325575,0.421918
349,610.839163,610.728000,0.111163,0.406206
350,611.774210,610.728000,1.046210,0.418028
351,613.599779,613.816000,0.216221,0.432872
352,614.646238,615.224000,0.577762,0.422607
353,615.538563,615.224000,0.314563,0.426629
354,618.112831,617.440000,0.672831,0.416753
355,619.184483,619.520000,0.335517,0.426913
356,620.272894,620.104000,0.168894,0.415717
357,621.709295,622.032000,0.322705,0.431911
358,622.375003,622.688000,0.312997,0.425850
359,624.269900,624.000000,0.269900,0.426952
360,626.019283,626.536000,0.516717,0.467629
361,627.268397,627.024000,0.244397,0.423987
362,628.325862,628.768000,0.442138,0.436128
363,630.473887,631.088000,0.614113,0.431812
364,630.805781,631.088000,0.282219,0.427266
365,632.225141,632.488000,0.262859,0.414218
366,633.546858,633.528000,0.018858,0.410123
367,635.523800,634.904000,0.619800,0.418594
368,637.397193,637.328000,0.069193,0.445994
369,637.925514,637.328000,0.597514,0.450379
370,638.927938,638.920000,0.007938,0.428306
371,640.694795,641.136000,0.441205,0.418435
372,641.945500,641.768000,0.177500,0.426508
373,643.278884,643.352000,0.073116,0.424951
374,644.990578,644.856000,0.134578,0.412144
375,646.348192,645.784000,0.564192,0.425441
376,647.761753,647.600000,0.161753,0.425748
377,648.786401,648.984000,0.197599,0.452053
378,650.197519,649.664000,0.533519,0.432664
379,650.668684,649.664000,1.004684,0.425127
380,653.649572,653.296000,0.353572,0.435873
381,654.301921,654.200000,0.101921,0.431084
382,655.709463,655.880000,0.170537,0.429628
383,656.964085,656.208000,0.756085,0.434422
384,658.175614,658.944000,0.768386,0.431838
385,659.663846,659.568000,0.095846,0.414613
386,660.716733,661.224000,0.507267,0.415100
387,662.296586,662.488000,0.191414,0.415477
388,664.244605,663.000000,1.244605,0.425149
389,665.342763,665.984000,0.641237,0.466024
390,666.515148,665.984000,0.531148,0.436297
391,667.148495,668.088000,0.939505,0.415935
392,668.975849,668.328000,0.647849,0.414517
393,670.323585,670.704000,0.380415,0.420260
394,672.458184,672.880000,0.421816,0.422226
395,673.043578,672.880000,0.163578,0.408246
396,674.355898,673.944000,0.411898,0.422115
397,676.139674,676.856000,0.716326,0.424939
398,677.230181,676.856000,0.374181,0.434049
399,677.800445,677.792000,0.008445,0.422678
400,679.742198,678.984000,0.758198,0.426652
401,681.894992,682.216000,0.321008,0.420212
402,682.602735,682.216000,0.386735,0.413902
403,684.013550,683.976000,0.037550,0.416615
404,684.972630,684.864000,0.108630,0.428445
405,686.163224,685.280000,0.883224,0.406934
406,687.961543,687.696000,0.265543,0.410427
407,689.368941,689.184000,0.184941,0.405565
408,690.474735,690.488000,0.013265,0.436346
409,692.451684,692.488000,0.036316,0.423790
410,693.176970,692.952000,0.224970,0.396804
411,694.533909,693.664000,0.869909,0.423656
412,695.726336,695.664000,0.062336,0.427636
413,696.626070,696.632000,0.005930,0.402666
414,699.132095,699.064000,0.068095,0.418298
415,700.296739,700.192000,0.104739,0.424341
416,701.301743,701.144000,0.157743,0.411601
417,702.227343,702.304000,0.076657,0.412303
418,704.033839,704.184000,0.150161,0.397447
419,705.125814,705.096000,0.029814,0.419199
420,706.184655,705.672000,0.512655,0.428283
421,708.269071,708.336000,0.066929,0.425333
422,709.229589,710.088000,0.858411,0.431395
423,711.130274,710.776000,0.354274,0.416546
424,711.900290,711.792000,0.108290,0.420174
425,712.749383,713.432000,0.682617,0.414897
426,714.082772,714.144000,0.061228,0.431534
427,716.112396,715.880000,0.232396,0.440372
428,717.482570,718.000000,0.517430,0.433338
429,718.742787,718.320000,0.422787,0.426176
430,719.697101,719.336000,0.361101,0.433631
431,721.351162,722.424000,1.072838,0.426097
432,722.277505,722.424000,0.146495,0.404187
433,723.845821,723.232000,0.613821,0.423546
434,724.562614,724.872000,0.309386,0.424408
435,727.056403,726.736000,0.320403,0.420624
436,728.405482,727.744000,0.661482,0.423654
437,728.758750,729.080000,0.321250,0.421196
438,730.416482,731.144000,0.727518,0.437342
439,731.417355,731.144000,0.273355,0.408357
440,732.818053,732.912000,0.093947,0.420534
441,734.789643,735.224000,0.434357,0.436304
442,735.765459,735.224000,0.541459,0.421751
443,737.052929,736.944000,0.108929,0.420780
444,738.580421,739.160000,0.579579,0.424647
445,739.909524,740.216000,0.306476,0.425847
446,740.573807,740.216000,0.357807,0.429596
447,741.757336,741.224000,0.533336,0.431580
448,743.895013,744.432000,0.536987,0.424239
449,745.344990,745.128000,0.216990,0.452115
450,746.499306,746.472000,0.027306,0.467066
451,747.674564,747.680000,0.005436,0.396542
452,748.242754,748.120000,0.122754,0.391106
453,750.655950,750.544000,0.111950,0.426155
454,750.966381,750.544000,0.422381,0.425553
455,752.887622,752.712000,0.175622,0.414763
456,754.322370,754.200000,0.122370,0.402572
457,755.839309,755.856000,0.016691,0.418282
458,756.768248,756.264000,0.504248,0.402692
459,758.101729,757.840000,0.261729,0.411857
460,758.900238,758.696000,0.204238,0.410562
461,760.282367,760.752000,0.469633,0.413905
462,762.700033,762.896000,0.195967,0.418865
463,763.593066,762.896000,0.697066,0.422149
464,764.307523,764.952000,0.644477,0.422285
465,766.087540,766.232000,0.144460,0.432228
466,767.218472,767.736000,0.517528,0.427901
467,768.281462,768.456000,0.174538,0.435558
468,769.693407,769.960000,0.266593,0.450301
469,771.070839,770.776000,0.294839,0.422151
470,772.961618,772.792000,0.169618,0.401421
