n,t_n,nearest_minimum_t,delta_n,delta_n_null
145,311.165142,310.720000,0.445142,0.534704
146,312.427801,312.432000,0.004199,0.538766
147,313.985286,313.920000,0.065286,0.527665
148,315.475616,315.288000,0.187616,0.536388
149,317.734806,318.096000,0.361194,0.498981
150,318.853104,318.824000,0.029104,0.517500
151,321.160134,321.192000,0.031866,0.509949
152,322.144559,321.824000,0.320559,0.525386
153,323.466970,323.328000,0.138970,0.531072
154,324.862866,324.344000,0.518866,0.542070
155,327.443901,327.584000,0.140099,0.554414
156,329.033072,328.848000,0.185072,0.557710
157,329.953240,330.632000,0.678760,0.541444
158,331.474468,331.280000,0.194468,0.535797
159,333.645379,333.024000,0.621379,0.544978
160,334.211355,335.184000,0.972645,0.552826
161,336.841850,335.768000,1.073850,0.515198
162,338.339993,338.912000,0.572007,0.502765
163,339.858217,339.936000,0.077783,0.509769
164,341.042261,341.144000,0.101739,0.530331
165,342.054878,341.144000,0.910878,0.539160
166,344.661703,344.520000,0.141703,0.532999
167,346.347871,346.808000,0.460129,0.498831
168,347.272678,347.200000,0.072678,0.508854
169,349.316261,348.888000,0.428261,0.520404
170,350.408419,349.808000,0.600419,0.510694
171,351.878649,351.648000,0.230649,0.525889
172,353.488900,354.120000,0.631100,0.512925
173,356.017575,356.008000,0.009575,0.520497
174,357.151302,357.464000,0.312698,0.503670
175,357.952685,357.824000,0.128685,0.522357
176,359.743755,359.696000,0.047755,0.536074
177,361.289362,361.096000,0.193362,0.503289
178,363.331331,363.448000,0.116669,0.525200
179,364.736024,364.752000,0.015976,0.506225
180,366.212710,365.320000,0.892710,0.534934
181,367.993575,368.176000,0.182425,0.513200
182,368.968438,368.744000,0.224438,0.515480
183,370.050919,368.744000,1.306919,0.541085
184,373.061928,372.760000,0.301928,0.510273
185,373.864874,373.704000,0.160874,0.548379
186,375.825913,375.136000,0.689913,0.503634
187,376.324092,377.024000,0.699908,0.513868
188,378.436680,378.024000,0.412680,0.506764
189,379.872975,379.888000,0.015025,0.503004
190,381.484469,381.480000,0.004469,0.546606
191,383.443529,383.352000,0.091529,0.541403
192,384.956117,385.160000,0.203883,0.527331
193,385.861301,386.224000,0.362699,0.513793
194,387.222890,386.224000,0.998890,0.500233
195,388.846128,390.112000,1.265872,0.526415
196,391.456084,391.376000,0.080084,0.515067
197,392.245083,392.272000,0.026917,0.530206
198,393.427744,393.416000,0.011744,0.553343
199,395.582870,395.424000,0.158870,0.522356
200,396.381854,396.616000,0.234146,0.516659
201,397.918736,397.560000,0.358736,0.531963
202,399.985120,399.400000,0.585120,0.514308
203,401.839229,401.784000,0.055229,0.532024
204,402.861918,402.896000,0.034082,0.509328
205,404.236442,403.328000,0.908442,0.492995
206,405.134387,406.008000,0.873613,0.477760
207,407.581460,406.656000,0.925460,0.504184
208,408.947246,409.840000,0.892754,0.497614
209,410.513869,410.272000,0.241869,0.523434
210,411.972268,412.024000,0.051732,0.524823
211,413.262736,412.880000,0.382736,0.518010
212,415.018810,412.880000,2.138810,0.525062
213,415.455215,417.704000,2.248785,0.541342
214,418.387706,418.504000,0.116294,0.499366
215,419.861365,420.600000,0.738635,0.499002
216,420.643828,420.600000,0.043828,0.490885
217,422.076710,421.784000,0.292710,0.517362
218,423.716580,423.776000,0.059420,0.522127
219,425.069882,425.192000,0.122118,0.540397
220,427.208825,427.832000,0.623175,0.505401
221,428.127914,428.272000,0.144086,0.498112
222,430.328745,430.424000,0.095255,0.533608
223,431.301307,430.424000,0.877307,0.517152
224,432.138642,432.200000,0.061358,0.537356
225,433.889218,435.304000,1.414782,0.545182
226,436.161006,435.584000,0.577006,0.490487
227,437.581698,437.512000,0.069698,0.521952
228,438.621739,439.528000,0.906261,0.514453
229,439.918442,440.168000,0.249558,0.515053
230,441.683199,441.280000,0.403199,0.535112
231,442.904546,441.280000,1.624546,0.520574
232,444.319336,444.984000,0.664664,0.532119
233,446.860623,445.392000,1.468623,0.552126
234,447.441704,448.544000,1.102296,0.519395
235,449.148546,449.032000,0.116546,0.504403
236,450.126946,449.624000,0.502946,0.520936
237,451.403308,449.624000,1.779308,0.531158
238,453.986738,453.792000,0.194738,0.564439
239,454.974684,454.920000,0.054684,0.519697
240,456.328427,456.416000,0.087573,0.523992
241,457.903893,457.984000,0.080107,0.546423
242,459.513415,459.376000,0.137415,0.557313
243,460.087944,459.376000,0.711944,0.555610
244,462.065367,461.224000,0.841367,0.531120
245,464.057287,463.848000,0.209287,0.512678
246,465.671539,465.752000,0.080461,0.520284
247,466.570287,466.984000,0.413713,0.517793
248,467.439046,467.848000,0.408954,0.493652
249,469.536005,470.232000,0.695995,0.548043
250,470.773655,470.232000,0.541655,0.545821
251,472.799175,472.976000,0.176825,0.527665
252,473.835232,473.776000,0.059232,0.498942
253,475.600339,475.512000,0.088339,0.503928
254,476.769015,476.840000,0.070985,0.515881
255,478.075264,476.840000,1.235264,0.536788
256,478.942182,480.056000,1.113818,0.528254
257,481.830339,481.976000,0.145661,0.528181
258,482.834783,482.432000,0.402783,0.505249
259,483.851427,483.984000,0.132573,0.541034
260,485.539148,485.920000,0.380852,0.516798
261,486.528718,486.200000,0.328718,0.544315
262,488.380567,488.792000,0.411433,0.531444
263,489.661762,490.248000,0.586238,0.515713
264,491.398822,490.616000,0.782822,0.534061
265,493.314442,493.648000,0.333558,0.536594
266,493.957998,493.960000,0.002002,0.541301
267,495.358829,495.320000,0.038829,0.521054
268,496.429696,495.792000,0.637696,0.516059
269,498.580782,498.920000,0.339218,0.522030
270,500.309085,500.400000,0.090915,0.520408
271,501.604447,501.088000,0.516447,0.528207
272,502.276270,502.544000,0.267730,0.514011
273,504.499773,504.352000,0.147773,0.510109
274,505.415232,505.344000,0.071232,0.536134
275,506.464153,506.976000,0.511847,0.510710
276,508.800700,508.888000,0.087300,0.518543
277,510.264228,509.312000,0.952228,0.523656
278,511.562290,511.744000,0.181710,0.530639
279,512.623145,512.584000,0.039145,0.545757
280,513.668986,513.664000,0.004986,0.532546
281,515.435057,515.632000,0.196943,0.512992
282,517.589669,518.120000,0.530331,0.485958
283,518.234223,518.120000,0.114223,0.483995
284,520.106310,519.408000,0.698310,0.525910
285,521.525193,521.648000,0.122807,0.548755
286,522.456696,522.432000,0.024696,0.531429
287,523.960531,524.096000,0.135469,0.511123
288,525.077386,526.008000,0.930614,0.512811
289,527.903642,528.120000,0.216358,0.531391
290,528.406214,528.120000,0.286214,0.519329
291,529.806226,530.200000,0.393774,0.514012
292,530.866918,530.712000,0.154918,0.546260
293,532.688183,532.928000,0.239817,0.526879
294,533.779631,533.488000,0.291631,0.537249
295,535.664314,535.232000,0.432314,0.536248
296,537.069759,535.232000,1.837759,0.487880
297,538.428526,539.072000,0.643474,0.506629
298,540.213166,540.776000,0.562834,0.518298
299,540.631390,540.776000,0.144610,0.523961
300,541.847437,542.208000,0.360563,0.538625
301,544.323890,544.264000,0.059890,0.515648
302,545.636833,545.552000,0.084833,0.536017
303,547.010912,546.776000,0.234912,0.538664
304,547.931613,548.072000,0.140387,0.523205
305,549.497568,549.536000,0.038432,0.533368
306,550.970010,550.776000,0.194010,0.560090
307,552.049572,552.224000,0.174428,0.544621
308,553.764972,553.800000,0.035028,0.535409
309,555.792021,556.400000,0.607979,0.519590
310,556.899476,556.904000,0.004524,0.508497
311,557.564659,557.744000,0.179341,0.511592
312,559.316237,558.120000,1.196237,0.524846
313,560.240807,561.384000,1.143193,0.530798
314,562.559208,562.792000,0.232792,0.525511
315,564.160879,564.024000,0.136879,0.540987
316,564.506056,564.656000,0.149944,0.536648
317,566.698788,566.992000,0.293212,0.521232
318,567.731758,567.712000,0.019758,0.534792
319,568.923955,569.760000,0.836045,0.507931
320,570.051115,569.984000,0.067115,0.500378
321,572.419984,573.344000,0.924016,0.506264
322,573.614611,573.344000,0.270611,0.537792
323,575.093886,575.304000,0.210114,0.520768
324,575.807247,576.192000,0.384753,0.503620
325,577.039003,576.984000,0.055003,0.493866
326,579.098835,579.240000,0.141165,0.516624
327,580.136959,579.240000,0.896959,0.524934
328,581.946576,582.064000,0.117424,0.519193
329,583.236088,582.752000,0.484088,0.525439
330,584.561706,585.376000,0.814294,0.516816
331,585.984563,585.376000,0.608563,0.516725
332,586.742772,587.632000,0.889228,0.519348
333,588.139663,587.632000,0.507663,0.510139
334,590.660398,590.640000,0.020398,0.515548
335,591.725858,591.104000,0.621858,0.511640
336,592.571358,592.720000,0.148642,0.488710
337,593.974715,593.968000,0.006715,0.498408
338,595.728154,595.832000,0.103846,0.533922
339,596.362768,596.720000,0.357232,0.555119
340,598.493077,597.104000,1.389077,0.529627
341,599.545640,600.136000,0.590360,0.524215
342,601.602137,600.672000,0.930137,0.512291
343,602.579168,602.624000,0.044832,0.511924
344,603.625619,603.648000,0.022381,0.538493
345,604.616218,603.648000,0.968218,0.542547
346,606.383460,606.344000,0.039460,0.511319
347,608.413217,608.448000,0.034783,0.540944
348,609.389575,609.248000,0.141575,0.522909
349,610.839163,611.328000,0.488837,0.539716
350,611.774210,611.456000,0.318210,0.545706
351,613.599779,613.240000,0.359779,0.532611
352,614.646238,614.072000,0.574238,0.530313
353,615.538563,616.392000,0.853437,0.509032
354,618.112831,617.784000,0.328831,0.505139
355,619.184483,618.824000,0.360483,0.528086
356,620.272894,620.280000,0.007106,0.519010
357,621.709295,621.824000,0.114705,0.521349
358,622.375003,622.280000,0.095003,0.516208
359,624.269900,624.384000,0.114100,0.509450
360,626.019283,625.680000,0.339283,0.505243
361,627.268397,627.368000,0.099603,0.523140
362,628.325862,628.416000,0.090138,0.516003
363,630.473887,630.288000,0.185887,0.522301
364,630.805781,630.288000,0.517781,0.523464
365,632.225141,632.176000,0.049141,0.521631
366,633.546858,632.744000,0.802858,0.504406
367,635.523800,635.424000,0.099800,0.507403
368,637.397193,637.288000,0.109193,0.509510
369,637.925514,638.024000,0.098486,0.542776
370,638.927938,639.112000,0.184062,0.545177
371,640.694795,640.416000,0.278795,0.533708
372,641.945500,641.856000,0.089500,0.528353
373,643.278884,642.784000,0.494884,0.531216
374,644.990578,645.128000,0.137422,0.510332
375,646.348192,645.128000,1.220192,0.526988
376,647.761753,647.720000,0.041753,0.529438
377,648.786401,649.760000,0.973599,0.527013
378,650.197519,649.760000,0.437519,0.529524
379,650.668684,649.760000,0.908684,0.522255
380,653.649572,653.264000,0.385572,0.514557
381,654.301921,654.088000,0.213921,0.533997
382,655.709463,655.976000,0.266537,0.561191
383,656.964085,657.256000,0.291915,0.577901
384,658.175614,658.120000,0.055614,0.538179
385,659.663846,659.880000,0.216154,0.538577
386,660.716733,660.392000,0.324733,0.544644
387,662.296586,663.320000,1.023414,0.525395
388,664.244605,664.064000,0.180605,0.507856
389,665.342763,665.200000,0.142763,0.504228
390,666.515148,666.568000,0.052852,0.526659
391,667.148495,667.400000,0.251505,0.511663
392,668.975849,667.400000,1.575849,0.520051
393,670.323585,670.576000,0.252415,0.473162
394,672.458184,672.360000,0.098184,0.523554
395,673.043578,672.360000,0.683578,0.509545
396,674.355898,674.024000,0.331898,0.559918
397,676.139674,675.536000,0.603674,0.565394
