n,t_n,nearest_minimum_t,delta_n,delta_n_null
145,311.165142,310.528000,0.637142,1.751113
146,312.427801,313.616000,1.188199,1.777377
147,313.985286,313.616000,0.369286,1.766193
148,315.475616,317.200000,1.724384,1.747266
149,317.734806,317.200000,0.534806,1.661949
150,318.853104,318.640000,0.213104,1.667568
151,321.160134,320.936000,0.224134,1.723209
152,322.144559,320.936000,1.208559,1.750101
153,323.466970,324.448000,0.981030,1.774892
154,324.862866,324.448000,0.414866,1.807912
155,327.443901,326.392000,1.051901,1.805278
156,329.033072,328.800000,0.233072,1.847812
157,329.953240,328.800000,1.153240,1.810885
158,331.474468,331.488000,0.013532,1.775082
159,333.645379,335.104000,1.458621,1.851718
160,334.211355,335.104000,0.892645,1.852672
161,336.841850,336.272000,0.569850,1.793834
162,338.339993,338.552000,0.212007,1.771105
163,339.858217,338.552000,1.306217,1.767441
164,341.042261,338.552000,2.490261,1.768493
165,342.054878,344.872000,2.817122,1.740739
166,344.661703,344.872000,0.210297,1.669545
167,346.347871,346.736000,0.388129,1.690933
168,347.272678,346.736000,0.536678,1.700796
169,349.316261,350.808000,1.491739,1.739418
170,350.408419,350.808000,0.399581,1.772394
171,351.878649,352.928000,1.049351,1.768246
172,353.488900,352.928000,0.560900,1.800564
173,356.017575,355.368000,0.649575,1.787498
174,357.151302,355.368000,1.783302,1.734741
175,357.952685,355.368000,2.584685,1.745881
176,359.743755,355.368000,4.375755,1.785405
177,361.289362,355.368000,5.921362,1.783456
178,363.331331,355.368000,7.963331,1.769542
179,364.736024,371.904000,7.167976,1.758499
180,366.212710,371.904000,5.691290,1.750887
181,367.993575,371.904000,3.910425,1.761432
182,368.968438,371.904000,2.935562,1.757699
183,370.050919,371.904000,1.853081,1.742914
184,373.061928,373.128000,0.066072,1.684508
185,373.864874,374.032000,0.167126,1.733521
186,375.825913,375.512000,0.313913,1.764306
187,376.324092,376.808000,0.483908,1.785118
188,378.436680,378.704000,0.267320,1.803058
189,379.872975,378.704000,1.168975,1.761681
190,381.484469,381.856000,0.371531,1.798621
191,383.443529,383.112000,0.331529,1.791005
192,384.956117,385.376000,0.419883,1.699439
193,385.861301,385.376000,0.485301,1.671921
194,387.222890,387.728000,0.505110,1.673773
195,388.846128,389.432000,0.585872,1.708519
196,391.456084,389.432000,2.024084,1.786058
197,392.245083,389.432000,2.813083,1.779169
198,393.427744,395.616000,2.188256,1.792987
199,395.582870,395.616000,0.033130,1.780896
200,396.381854,395.616000,0.765854,1.777669
201,397.918736,397.720000,0.198736,1.768176
202,399.985120,398.784000,1.201120,1.783198
203,401.839229,398.784000,3.055229,1.800905
204,402.861918,405.352000,2.490082,1.820403
205,404.236442,405.352000,1.115558,1.801355
206,405.134387,405.352000,0.217613,1.785037
207,407.581460,405.352000,2.229460,1.787297
208,408.947246,410.032000,1.084754,1.719570
209,410.513869,410.032000,0.481869,1.788028
210,411.972268,412.752000,0.779732,1.839782
211,413.262736,412.752000,0.510736,1.865284
212,415.018810,416.304000,1.285190,1.877595
213,415.455215,416.304000,0.848785,1.864210
214,418.387706,418.552000,0.164294,1.704312
215,419.861365,418.552000,1.309365,1.689243
216,420.643828,422.368000,1.724172,1.702329
217,422.076710,422.368000,0.291290,1.770419
218,423.716580,422.368000,1.348580,1.863514
219,425.069882,422.368000,2.701882,1.857162
220,427.208825,431.976000,4.767175,1.787804
221,428.127914,431.976000,3.848086,1.765832
222,430.328745,431.976000,1.647255,1.720538
223,431.301307,431.976000,0.674693,1.711836
224,432.138642,431.976000,0.162642,1.728101
225,433.889218,433.848000,0.041218,1.747622
226,436.161006,433.848000,2.313006,1.735065
227,437.581698,433.848000,3.733698,1.790241
228,438.621739,442.232000,3.610261,1.791208
229,439.918442,442.232000,2.313558,1.824626
230,441.683199,442.232000,0.548801,1.844113
231,442.904546,442.232000,0.672546,1.872369
232,444.319336,445.040000,0.720664,1.896496
233,446.860623,447.544000,0.683377,1.836055
234,447.441704,447.544000,0.102296,1.785653
235,449.148546,448.592000,0.556546,1.729839
236,450.126946,451.552000,1.425054,1.759831
237,451.403308,451.552000,0.148692,1.781747
238,453.986738,456.256000,2.269262,1.815922
239,454.974684,456.256000,1.281316,1.811186
240,456.328427,456.256000,0.072427,1.787913
241,457.903893,458.440000,0.536107,1.763123
242,459.513415,459.824000,0.310585,1.797878
243,460.087944,459.824000,0.263944,1.819334
244,462.065367,459.824000,2.241367,1.817607
245,464.057287,468.024000,3.966713,1.697051
246,465.671539,468.024000,2.352461,1.718002
247,466.570287,468.024000,1.453713,1.702534
248,467.439046,468.024000,0.584954,1.707787
249,469.536005,468.024000,1.512005,1.798863
250,470.773655,471.456000,0.682345,1.794032
251,472.799175,472.368000,0.431175,1.849484
252,473.835232,474.032000,0.196768,1.841379
