n,t_n,nearest_minimum_t,delta_n,delta_n_null
145,311.165142,311.624000,0.458858,0.444997
146,312.427801,312.520000,0.092199,0.462388
147,313.985286,313.392000,0.593286,0.453582
148,315.475616,315.240000,0.235616,0.455040
149,317.734806,317.544000,0.190806,0.432257
150,318.853104,318.944000,0.090896,0.456451
151,321.160134,321.896000,0.735866,0.445191
152,322.144559,322.392000,0.247441,0.453260
153,323.466970,324.040000,0.573030,0.452126
154,324.862866,325.496000,0.633134,0.449890
155,327.443901,327.200000,0.243901,0.445945
156,329.033072,329.248000,0.214928,0.465495
157,329.953240,330.464000,0.510760,0.438892
158,331.474468,331.016000,0.458468,0.429685
159,333.645379,333.408000,0.237379,0.446331
160,334.211355,333.912000,0.299355,0.446394
161,336.841850,336.416000,0.425850,0.427394
162,338.339993,338.248000,0.091993,0.424644
163,339.858217,340.544000,0.685783,0.427197
164,341.042261,341.008000,0.034261,0.443107
165,342.054878,341.696000,0.358878,0.434788
166,344.661703,345.064000,0.402297,0.447227
167,346.347871,345.840000,0.507871,0.414582
168,347.272678,347.096000,0.176678,0.434678
169,349.316261,348.976000,0.340261,0.438123
170,350.408419,351.800000,1.391581,0.428451
171,351.878649,351.800000,0.078649,0.445457
172,353.488900,354.352000,0.863100,0.420673
173,356.017575,357.368000,1.350425,0.444469
174,357.151302,357.368000,0.216698,0.432319
175,357.952685,358.432000,0.479315,0.446811
176,359.743755,359.440000,0.303755,0.447058
177,361.289362,361.536000,0.246638,0.420318
178,363.331331,362.992000,0.339331,0.446897
179,364.736024,364.816000,0.079976,0.410093
180,366.212710,366.304000,0.091290,0.420992
181,367.993575,367.992000,0.001575,0.441634
182,368.968438,369.136000,0.167562,0.433193
183,370.050919,370.560000,0.509081,0.465587
184,373.061928,373.472000,0.410072,0.447133
185,373.864874,373.472000,0.392874,0.470358
186,375.825913,375.896000,0.070087,0.428276
187,376.324092,376.672000,0.347908,0.431673
188,378.436680,378.424000,0.012680,0.420349
189,379.872975,379.496000,0.376975,0.425899
190,381.484469,381.776000,0.291531,0.438518
191,383.443529,383.320000,0.123529,0.449011
192,384.956117,385.872000,0.915883,0.434206
193,385.861301,385.872000,0.010699,0.406925
194,387.222890,386.856000,0.366890,0.421167
195,388.846128,388.760000,0.086128,0.460467
196,391.456084,391.768000,0.311916,0.454046
197,392.245083,392.120000,0.125083,0.446743
198,393.427744,393.440000,0.012256,0.470362
199,395.582870,396.536000,0.953130,0.433701
200,396.381854,396.536000,0.154146,0.421780
201,397.918736,397.720000,0.198736,0.443603
202,399.985120,400.056000,0.070880,0.438805
203,401.839229,401.008000,0.831229,0.436921
204,402.861918,402.704000,0.157918,0.429941
205,404.236442,404.344000,0.107558,0.409694
206,405.134387,405.352000,0.217613,0.411426
207,407.581460,407.184000,0.397460,0.432685
208,408.947246,408.368000,0.579246,0.424918
209,410.513869,409.880000,0.633869,0.453637
210,411.972268,412.104000,0.131732,0.439783
211,413.262736,413.936000,0.673264,0.435547
212,415.018810,414.952000,0.066810,0.433897
213,415.455215,414.952000,0.503215,0.447143
214,418.387706,418.720000,0.332294,0.410368
215,419.861365,419.016000,0.845365,0.423204
216,420.643828,420.888000,0.244172,0.412161
217,422.076710,422.464000,0.387290,0.451218
218,423.716580,424.136000,0.419420,0.443167
219,425.069882,424.800000,0.269882,0.459474
220,427.208825,427.072000,0.136825,0.430176
221,428.127914,428.304000,0.176086,0.430348
222,430.328745,431.048000,0.719255,0.442098
223,431.301307,431.480000,0.178693,0.435527
224,432.138642,431.904000,0.234642,0.451544
225,433.889218,433.232000,0.657218,0.450331
226,436.161006,435.536000,0.625006,0.413874
227,437.581698,437.616000,0.034302,0.443235
228,438.621739,437.704000,0.917739,0.423140
229,439.918442,440.184000,0.265558,0.417214
230,441.683199,441.472000,0.211199,0.432714
231,442.904546,442.992000,0.087454,0.428247
232,444.319336,444.248000,0.071336,0.445569
233,446.860623,446.328000,0.532623,0.447596
234,447.441704,447.896000,0.454296,0.430981
235,449.148546,449.504000,0.355454,0.428981
236,450.126946,449.504000,0.622946,0.435561
237,451.403308,451.400000,0.003308,0.436845
238,453.986738,454.928000,0.941262,0.473652
239,454.974684,454.928000,0.046684,0.428326
240,456.328427,456.648000,0.319573,0.423684
241,457.903893,457.952000,0.048107,0.447299
242,459.513415,459.680000,0.166585,0.452022
243,460.087944,460.088000,0.000056,0.460810
244,462.065367,461.856000,0.209367,0.435161
245,464.057287,464.296000,0.238713,0.445459
246,465.671539,466.608000,0.936461,0.440453
247,466.570287,466.608000,0.037713,0.434885
248,467.439046,467.560000,0.120954,0.431395
249,469.536005,469.584000,0.047995,0.448520
250,470.773655,470.328000,0.445655,0.457296
251,472.799175,472.464000,0.335175,0.446239
252,473.835232,474.000000,0.164768,0.444220
253,475.600339,475.280000,0.320339,0.428115
254,476.769015,476.400000,0.369015,0.421980
255,478.075264,477.800000,0.275264,0.424769
256,478.942182,479.360000,0.417818,0.438903
257,481.830339,481.640000,0.190339,0.439036
258,482.834783,482.800000,0.034783,0.428453
259,483.851427,483.160000,0.691427,0.442062
260,485.539148,485.688000,0.148852,0.440592
261,486.528718,487.168000,0.639282,0.456740
262,488.380567,488.424000,0.043433,0.447884
263,489.661762,489.944000,0.282238,0.434408
264,491.398822,491.888000,0.489178,0.438116
265,493.314442,493.448000,0.133558,0.449143
266,493.957998,493.976000,0.018002,0.459151
267,495.358829,495.320000,0.038829,0.450978
268,496.429696,496.032000,0.397696,0.442824
269,498.580782,498.456000,0.124782,0.435743
270,500.309085,499.912000,0.397085,0.441703
271,501.604447,500.888000,0.716447,0.428502
272,502.276270,503.480000,1.203730,0.428148
273,504.499773,504.488000,0.011773,0.429620
274,505.415232,504.944000,0.471232,0.447912
275,506.464153,506.512000,0.047847,0.432851
276,508.800700,508.992000,0.191300,0.447143
