n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
102,239.555478,239.112000,0.443478,,0.415810,"[14,300)"
103,241.049158,241.872000,0.822842,,0.402666,"[14,300)"
104,242.823272,243.000000,0.176728,,0.410396,"[14,300)"
105,244.070898,244.832000,0.761102,,0.426561,"[14,300)"
106,247.136990,247.392000,0.255010,,0.411603,"[14,300)"
107,248.101990,248.744000,0.642010,,0.418312,"[14,300)"
108,249.573690,249.288000,0.285690,,0.385867,"[14,300)"
109,251.014948,250.648000,0.366948,,0.419242,"[14,300)"
110,253.069987,252.752000,0.317987,,0.419937,"[14,300)"
111,255.306256,254.128000,1.178256,,0.425575,"[14,300)"
112,256.380714,257.024000,0.643286,,0.428333,"[14,300)"
113,258.610439,258.568000,0.042439,,0.402957,"[14,300)"
114,259.874407,259.872000,0.002407,,0.423069,"[14,300)"
115,260.805085,261.040000,0.234915,,0.412577,"[14,300)"
116,263.573894,263.648000,0.074106,,0.430234,"[14,300)"
117,265.557852,265.592000,0.034148,,0.409280,"[14,300)"
118,266.614974,266.072000,0.542974,,0.437032,"[14,300)"
119,267.921915,268.208000,0.286085,,0.428891,"[14,300)"
120,269.970449,269.928000,0.042449,,0.423227,"[14,300)"
121,271.494056,271.480000,0.014056,,0.433996,"[14,300)"
122,273.459609,273.536000,0.076391,,0.410209,"[14,300)"
123,275.587493,275.784000,0.196507,,0.407310,"[14,300)"
124,276.452050,276.168000,0.284050,,0.417165,"[14,300)"
125,278.250744,278.720000,0.469256,,0.410107,"[14,300)"
126,279.229251,278.720000,0.509251,,0.442333,"[14,300)"
127,282.465115,282.584000,0.118885,,0.407266,"[14,300)"
128,283.211186,282.904000,0.307186,,0.418172,"[14,300)"
129,284.835964,284.792000,0.043964,,0.428380,"[14,300)"
130,286.667445,287.368000,0.700555,,0.411571,"[14,300)"
131,287.911921,287.824000,0.087921,,0.399720,"[14,300)"
132,289.579855,289.600000,0.020145,,0.406050,"[14,300)"
133,291.846291,291.800000,0.046291,,0.433224,"[14,300)"
134,293.558434,293.896000,0.337566,,0.410303,"[14,300)"
135,294.965370,294.376000,0.589370,,0.404711,"[14,300)"
136,295.573255,296.664000,1.090745,,0.417082,"[14,300)"
137,297.979277,297.832000,0.147277,,0.411004,"[14,300)"
138,299.840326,300.072000,0.231674,,0.429713,"[14,300)"
139,301.649325,301.736000,0.086675,,0.432246,"[300,650)"
140,302.696750,302.408000,0.288750,,0.414892,"[300,650)"
141,304.864371,305.720000,0.855629,,0.434406,"[300,650)"
142,305.728913,305.720000,0.008913,,0.424745,"[300,650)"
143,307.219496,307.240000,0.020504,,0.408849,"[300,650)"
144,310.109463,310.104000,0.005463,,0.428883,"[300,650)"
145,311.165142,311.104000,0.061142,,0.425682,"[300,650)"
146,312.427801,312.136000,0.291801,,0.426284,"[300,650)"
147,313.985286,314.040000,0.054714,,0.424256,"[300,650)"
148,315.475616,315.616000,0.140384,,0.423110,"[300,650)"
149,317.734806,318.072000,0.337194,,0.416012,"[300,650)"
150,318.853104,318.640000,0.213104,,0.435581,"[300,650)"
151,321.160134,321.344000,0.183866,,0.418340,"[300,650)"
152,322.144559,322.528000,0.383441,,0.425798,"[300,650)"
153,323.466970,323.928000,0.461030,,0.414949,"[300,650)"
154,324.862866,324.696000,0.166866,,0.424111,"[300,650)"
155,327.443901,327.608000,0.164099,,0.434255,"[300,650)"
156,329.033072,329.168000,0.134928,,0.455480,"[300,650)"
157,329.953240,329.552000,0.401240,,0.430397,"[300,650)"
158,331.474468,331.496000,0.021532,,0.399205,"[300,650)"
159,333.645379,333.904000,0.258621,,0.430440,"[300,650)"
160,334.211355,334.456000,0.244645,,0.438732,"[300,650)"
161,336.841850,336.264000,0.577850,,0.411853,"[300,650)"
162,338.339993,338.248000,0.091993,,0.398125,"[300,650)"
163,339.858217,339.360000,0.498217,,0.400236,"[300,650)"
164,341.042261,341.480000,0.437739,,0.418557,"[300,650)"
165,342.054878,341.864000,0.190878,,0.413645,"[300,650)"
