n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
443,737.052929,736.944000,0.108929,,0.396761,"[650,1000)"
444,738.580421,739.160000,0.579579,,0.438751,"[650,1000)"
445,739.909524,740.216000,0.306476,,0.410954,"[650,1000)"
446,740.573807,740.216000,0.357807,,0.423342,"[650,1000)"
447,741.757336,741.224000,0.533336,,0.417050,"[650,1000)"
448,743.895013,744.432000,0.536987,,0.427996,"[650,1000)"
449,745.344990,745.128000,0.216990,,0.410720,"[650,1000)"
450,746.499306,746.472000,0.027306,,0.413781,"[650,1000)"
451,747.674564,747.680000,0.005436,,0.432156,"[650,1000)"
452,748.242754,748.120000,0.122754,,0.414588,"[650,1000)"
453,750.655950,750.544000,0.111950,,0.427581,"[650,1000)"
454,750.966381,750.544000,0.422381,,0.424071,"[650,1000)"
455,752.887622,752.712000,0.175622,,0.431138,"[650,1000)"
456,754.322370,754.200000,0.122370,,0.428397,"[650,1000)"
457,755.839309,755.856000,0.016691,,0.400511,"[650,1000)"
458,756.768248,756.264000,0.504248,,0.412477,"[650,1000)"
459,758.101729,757.840000,0.261729,,0.416595,"[650,1000)"
460,758.900238,758.696000,0.204238,,0.425043,"[650,1000)"
461,760.282367,760.752000,0.469633,,0.407374,"[650,1000)"
462,762.700033,762.896000,0.195967,,0.418214,"[650,1000)"
463,763.593066,762.896000,0.697066,,0.431675,"[650,1000)"
464,764.307523,764.952000,0.644477,,0.428642,"[650,1000)"
465,766.087540,766.232000,0.144460,,0.420074,"[650,1000)"
466,767.218472,767.736000,0.517528,,0.416837,"[650,1000)"
467,768.281462,768.456000,0.174538,,0.415520,"[650,1000)"
468,769.693407,769.960000,0.266593,,0.420320,"[650,1000)"
469,771.070839,770.776000,0.294839,,0.417735,"[650,1000)"
470,772.961618,772.792000,0.169618,,0.427654,"[650,1000)"
471,774.117745,774.040000,0.077745,,0.405171,"[650,1000)"
472,775.047847,774.736000,0.311847,,0.399854,"[650,1000)"
473,775.999712,774.736000,1.263712,,0.398328,"[650,1000)"
474,777.299749,777.624000,0.324251,,0.411433,"[650,1000)"
475,779.157077,779.472000,0.314923,,0.411488,"[650,1000)"
476,780.348925,779.472000,0.876925,,0.420598,"[650,1000)"
477,782.137664,781.944000,0.193664,,0.408919,"[650,1000)"
478,782.597944,782.512000,0.085944,,0.404614,"[650,1000)"
479,784.288823,784.272000,0.016823,,0.409603,"[650,1000)"
480,785.739090,785.808000,0.068910,,0.424459,"[650,1000)"
481,786.461147,786.296000,0.165147,,0.434986,"[650,1000)"
482,787.468464,787.552000,0.083536,,0.420707,"[650,1000)"
483,790.059092,790.216000,0.156908,,0.431456,"[650,1000)"
484,790.831620,790.544000,0.287620,,0.404788,"[650,1000)"
485,792.427708,792.336000,0.091708,,0.406071,"[650,1000)"
486,792.888653,792.336000,0.552653,,0.424629,"[650,1000)"
487,794.483792,794.232000,0.251792,,0.432978,"[650,1000)"
488,795.606596,795.600000,0.006596,,0.425397,"[650,1000)"
489,797.263470,797.488000,0.224530,,0.417952,"[650,1000)"
490,798.707570,798.088000,0.619570,,0.423736,"[650,1000)"
491,799.654336,799.792000,0.137664,,0.423262,"[650,1000)"
492,801.604246,800.960000,0.644246,,0.419842,"[650,1000)"
493,802.541985,803.192000,0.650015,,0.416397,"[650,1000)"
494,803.243096,803.192000,0.051096,,0.422233,"[650,1000)"
495,804.762239,804.784000,0.021761,,0.408812,"[650,1000)"
496,805.861636,805.528000,0.333636,,0.391651,"[650,1000)"
497,808.151815,808.584000,0.432185,,0.427438,"[650,1000)"
498,809.197783,808.984000,0.213783,,0.445325,"[650,1000)"
499,810.081805,809.736000,0.345805,,0.434995,"[650,1000)"
500,811.184359,811.016000,0.168359,,0.414785,"[650,1000)"
501,812.771108,813.224000,0.452892,,0.408523,"[650,1000)"
502,814.045914,813.224000,0.821914,,0.419205,"[650,1000)"
503,814.870540,815.256000,0.385460,,0.412678,"[650,1000)"
504,816.727738,817.448000,0.720262,,0.453537,"[650,1000)"
505,818.380669,819.040000,0.659331,,0.428946,"[650,1000)"
506,819.204642,819.040000,0.164642,,0.434339,"[650,1000)"
507,820.721898,820.552000,0.169898,,0.405906,"[650,1000)"
508,821.713454,821.624000,0.089454,,0.408772,"[650,1000)"
509,822.197757,821.624000,0.573757,,0.411727,"[650,1000)"
510,824.526294,825.016000,0.489706,,0.410709,"[650,1000)"
511,826.039287,825.552000,0.487287,,0.402560,"[650,1000)"
512,826.905811,826.824000,0.081811,,0.392805,"[650,1000)"
513,828.340174,828.648000,0.307826,,0.395768,"[650,1000)"
514,829.437011,829.104000,0.333011,,0.416013,"[650,1000)"
515,830.895884,831.080000,0.184116,,0.427263,"[650,1000)"
516,831.799778,831.672000,0.127778,,0.417315,"[650,1000)"
517,833.003641,833.256000,0.252359,,0.440661,"[650,1000)"
518,834.651915,834.848000,0.196085,,0.406899,"[650,1000)"
519,836.693576,836.408000,0.285576,,0.435004,"[650,1000)"
520,837.347335,836.408000,0.939335,,0.422602,"[650,1000)"
521,838.249022,839.664000,1.414978,,0.414886,"[650,1000)"
522,839.465395,839.664000,0.198605,,0.426106,"[650,1000)"
523,841.036390,841.304000,0.267610,,0.412238,"[650,1000)"
524,842.041354,841.304000,0.737354,,0.416916,"[650,1000)"
525,844.166197,843.680000,0.486197,,0.410366,"[650,1000)"
526,844.805994,845.272000,0.466006,,0.402344,"[650,1000)"
527,846.194770,846.280000,0.085230,,0.404242,"[650,1000)"
528,847.971718,848.544000,0.572282,,0.430678,"[650,1000)"
529,848.489281,848.544000,0.054719,,0.457974,"[650,1000)"
530,849.862274,849.712000,0.150274,,0.441230,"[650,1000)"
531,850.645448,850.520000,0.125448,,0.417218,"[650,1000)"
532,853.163113,853.008000,0.155113,,0.429476,"[650,1000)"
533,854.095512,853.896000,0.199512,,0.443953,"[650,1000)"
534,855.286710,856.000000,0.713290,,0.433209,"[650,1000)"
535,856.484117,856.408000,0.076117,,0.401418,"[650,1000)"
536,857.310741,856.408000,0.902741,,0.416915,"[650,1000)"
537,858.904026,859.008000,0.103974,,0.431161,"[650,1000)"
538,860.410671,860.464000,0.053329,,0.441934,"[650,1000)"
539,861.171098,861.008000,0.163098,,0.425254,"[650,1000)"
540,863.189720,863.112000,0.077720,,0.397385,"[650,1000)"
541,864.340824,864.168000,0.172824,,0.421305,"[650,1000)"
542,865.594664,865.400000,0.194664,,0.426666,"[650,1000)"
543,866.423740,865.400000,1.023740,,0.426591,"[650,1000)"
544,867.693123,867.536000,0.157123,,0.421053,"[650,1000)"
545,868.670494,868.752000,0.081506,,0.423984,"[650,1000)"
546,870.846902,870.768000,0.078902,,0.414979,"[650,1000)"
547,872.188751,870.768000,1.420751,,0.415971,"[650,1000)"
548,873.098979,873.936000,0.837021,,0.418710,"[650,1000)"
549,873.908389,873.936000,0.027611,,0.407910,"[650,1000)"
550,875.985285,876.424000,0.438715,,0.390764,"[650,1000)"
551,876.600826,876.512000,0.088826,,0.404619,"[650,1000)"
552,877.654698,877.680000,0.025302,,0.433335,"[650,1000)"
553,879.380952,879.288000,0.092952,,0.388666,"[650,1000)"
554,880.834649,880.424000,0.410649,,0.395920,"[650,1000)"
555,882.386697,882.640000,0.253303,,0.420511,"[650,1000)"
556,883.430332,883.560000,0.129668,,0.415943,"[650,1000)"
557,884.198743,883.952000,0.246743,,0.420900,"[650,1000)"
558,885.272304,884.560000,0.712304,,0.419912,"[650,1000)"
559,886.852802,886.584000,0.268802,,0.399846,"[650,1000)"
560,888.475567,887.920000,0.555567,,0.392908,"[650,1000)"
561,889.735294,889.760000,0.024706,,0.423260,"[650,1000)"
562,890.813132,891.104000,0.290868,,0.412565,"[650,1000)"
563,892.386433,893.152000,0.765567,,0.388465,"[650,1000)"
564,893.119118,893.152000,0.032882,,0.407812,"[650,1000)"
565,894.886292,895.064000,0.177708,,0.419899,"[650,1000)"
566,895.397920,895.544000,0.146080,,0.426426,"[650,1000)"
567,896.632252,896.496000,0.136252,,0.409257,"[650,1000)"
568,899.221523,899.496000,0.274477,,0.415967,"[650,1000)"
569,899.858885,899.496000,0.362885,,0.427004,"[650,1000)"
570,900.849740,900.824000,0.025740,,0.385034,"[650,1000)"
571,902.243208,901.944000,0.299208,,0.410619,"[650,1000)"
572,903.099674,902.928000,0.171674,,0.433924,"[650,1000)"
573,904.702903,904.864000,0.161097,,0.402467,"[650,1000)"
574,905.829941,905.760000,0.069941,,0.417502,"[650,1000)"
575,907.656729,907.464000,0.192729,,0.403509,"[650,1000)"
576,908.333544,907.928000,0.405544,,0.402764,"[650,1000)"
577,910.186334,909.928000,0.258334,,0.381422,"[650,1000)"
578,911.234951,910.864000,0.370951,,0.415493,"[650,1000)"
579,912.331046,912.288000,0.043046,,0.422746,"[650,1000)"
580,912.823999,912.288000,0.535999,,0.438818,"[650,1000)"
581,914.730097,914.688000,0.042097,,0.402746,"[650,1000)"
582,916.355001,916.072000,0.283001,,0.413327,"[650,1000)"
583,917.825378,917.440000,0.385378,,0.416978,"[650,1000)"
584,918.836535,918.624000,0.212535,,0.404520,"[650,1000)"
585,919.448344,920.008000,0.559656,,0.414614,"[650,1000)"
586,921.156396,921.632000,0.475604,,0.424399,"[650,1000)"
587,922.500629,922.400000,0.100629,,0.396256,"[650,1000)"
588,923.285720,923.280000,0.005720,,0.407739,"[650,1000)"
589,924.773484,925.008000,0.234516,,0.401823,"[650,1000)"
590,926.551553,926.216000,0.335553,,0.430429,"[650,1000)"
591,927.850859,928.000000,0.149141,,0.423625,"[650,1000)"
592,928.663659,928.400000,0.263659,,0.449553,"[650,1000)"
593,929.874093,930.224000,0.349907,,0.425304,"[650,1000)"
594,931.009211,930.560000,0.449211,,0.417963,"[650,1000)"
595,931.852741,932.160000,0.307259,,0.420733,"[650,1000)"
596,934.385307,934.328000,0.057307,,0.413925,"[650,1000)"
597,934.995425,935.568000,0.572575,,0.406687,"[650,1000)"
598,936.228649,936.416000,0.187351,,0.406599,"[650,1000)"
599,937.532926,937.408000,0.124926,,0.419517,"[650,1000)"
600,939.024301,939.584000,0.559699,,0.442884,"[650,1000)"
601,939.660941,939.584000,0.076941,,0.464969,"[650,1000)"
602,941.157000,941.376000,0.219000,,0.423285,"[650,1000)"
603,942.052342,941.376000,0.676342,,0.409601,"[650,1000)"
604,944.188036,944.320000,0.131964,,0.413497,"[650,1000)"
605,945.333563,945.576000,0.242437,,0.412167,"[650,1000)"
606,946.765842,946.176000,0.589842,,0.422036,"[650,1000)"
607,947.079183,947.960000,0.880817,,0.422379,"[650,1000)"
608,948.346646,947.960000,0.386646,,0.431565,"[650,1000)"
609,950.151613,949.776000,0.375613,,0.431960,"[650,1000)"
610,951.033249,951.168000,0.134751,,0.412619,"[650,1000)"
611,952.727989,952.560000,0.167989,,0.401431,"[650,1000)"
612,954.129719,954.616000,0.486281,,0.421134,"[650,1000)"
613,954.829309,954.616000,0.213309,,0.393196,"[650,1000)"
614,956.675479,956.304000,0.371479,,0.393416,"[650,1000)"
615,957.510053,957.856000,0.345947,,0.417415,"[650,1000)"
616,958.414593,958.576000,0.161407,,0.422340,"[650,1000)"
617,959.459169,959.592000,0.132831,,0.417343,"[650,1000)"
618,961.669572,961.488000,0.181572,,0.421263,"[650,1000)"
619,963.182087,963.384000,0.201913,,0.406500,"[650,1000)"
620,963.567040,963.696000,0.128960,,0.383868,"[650,1000)"
621,965.055580,965.104000,0.048420,,0.435115,"[650,1000)"
622,966.110755,966.208000,0.097245,,0.432987,"[650,1000)"
623,967.371154,967.896000,0.524846,,0.417779,"[650,1000)"
624,968.636302,968.696000,0.059698,,0.422517,"[650,1000)"
625,970.125611,970.368000,0.242389,,0.408333,"[650,1000)"
626,971.071491,970.888000,0.183491,,0.425195,"[650,1000)"
627,973.185361,972.960000,0.225361,,0.419432,"[650,1000)"
628,973.873079,973.496000,0.377079,,0.430438,"[650,1000)"
629,974.774635,974.688000,0.086635,,0.422110,"[650,1000)"
630,976.178502,976.408000,0.229498,,0.430939,"[650,1000)"
631,976.917202,976.752000,0.165202,,0.424339,"[650,1000)"
632,978.766672,978.912000,0.145328,,0.418867,"[650,1000)"
633,980.578001,981.464000,0.885999,,0.455358,"[650,1000)"
634,981.288615,981.464000,0.175385,,0.437176,"[650,1000)"
635,982.396485,982.696000,0.299515,,0.418676,"[650,1000)"
636,983.575076,983.144000,0.431076,,0.414910,"[650,1000)"
637,985.186929,986.216000,1.029071,,0.415268,"[650,1000)"
638,986.130515,986.216000,0.085485,,0.417719,"[650,1000)"
639,986.756008,986.712000,0.044008,,0.409068,"[650,1000)"
640,988.992622,988.936000,0.056622,,0.412153,"[650,1000)"
641,990.223918,989.200000,1.023918,,0.426127,"[650,1000)"
642,991.374294,991.888000,0.513706,,0.423159,"[650,1000)"
643,992.728696,993.224000,0.495304,,0.409505,"[650,1000)"
644,993.214581,993.224000,0.009419,,0.408267,"[650,1000)"
645,994.404591,995.120000,0.715409,,0.430057,"[650,1000)"
646,996.205336,996.064000,0.141336,,0.437670,"[650,1000)"
647,997.511935,997.744000,0.232065,,0.430864,"[650,1000)"
648,998.827547,998.448000,0.379547,,0.416014,"[650,1000)"
649,999.791572,999.608000,0.183572,,0.403546,"[650,1000)"
650,1001.349483,1001.152000,0.197483,,0.410037,"[1000,1420)"
651,1002.404305,1002.528000,0.123695,,0.419643,"[1000,1420)"
652,1003.267808,1003.568000,0.300192,,0.419603,"[1000,1420)"
653,1004.675044,1004.984000,0.308956,,0.401417,"[1000,1420)"
654,1005.543420,1005.472000,0.071420,,0.417204,"[1000,1420)"
655,1008.006704,1008.144000,0.137296,,0.415746,"[1000,1420)"
656,1008.795710,1008.464000,0.331710,,0.410374,"[1000,1420)"
657,1009.806591,1009.752000,0.054591,,0.406085,"[1000,1420)"
658,1010.569757,1010.648000,0.078243,,0.427081,"[1000,1420)"
659,1012.410043,1012.176000,0.234043,,0.407930,"[1000,1420)"
660,1013.058638,1013.344000,0.285362,,0.419959,"[1000,1420)"
661,1014.689633,1014.760000,0.070367,,0.429859,"[1000,1420)"
662,1016.060179,1015.600000,0.460179,,0.387309,"[1000,1420)"
663,1017.266402,1017.072000,0.194402,,0.411011,"[1000,1420)"
664,1018.605573,1018.720000,0.114427,,0.426840,"[1000,1420)"
665,1019.912440,1019.944000,0.031560,,0.441647,"[1000,1420)"
666,1020.917475,1020.384000,0.533475,,0.408168,"[1000,1420)"
667,1021.544344,1022.232000,0.687656,,0.406931,"[1000,1420)"
668,1022.885271,1023.016000,0.130729,,0.405427,"[1000,1420)"
669,1025.265724,1025.160000,0.105724,,0.433170,"[1000,1420)"
670,1025.707944,1025.776000,0.068056,,0.423650,"[1000,1420)"
671,1027.467694,1027.800000,0.332306,,0.406149,"[1000,1420)"
672,1028.128964,1028.296000,0.167036,,0.413334,"[1000,1420)"
673,1029.227297,1028.296000,0.931297,,0.410777,"[1000,1420)"
674,1030.897369,1030.872000,0.025369,,0.423891,"[1000,1420)"
675,1031.833180,1032.704000,0.870820,,0.427326,"[1000,1420)"
676,1032.812883,1032.704000,0.108883,,0.405122,"[1000,1420)"
677,1034.612916,1034.400000,0.212916,,0.417338,"[1000,1420)"
678,1036.195917,1036.032000,0.163917,,0.390574,"[1000,1420)"
679,1037.024708,1036.480000,0.544708,,0.396057,"[1000,1420)"
680,1038.087752,1037.944000,0.143752,,0.441398,"[1000,1420)"
681,1039.077401,1039.584000,0.506599,,0.426989,"[1000,1420)"
682,1040.264038,1039.584000,0.680038,,0.428257,"[1000,1420)"
683,1041.621528,1041.776000,0.154472,,0.405869,"[1000,1420)"
684,1043.623954,1043.760000,0.136046,,0.412032,"[1000,1420)"
685,1044.514976,1044.064000,0.450976,,0.408669,"[1000,1420)"
686,1045.107042,1044.064000,1.043042,,0.410834,"[1000,1420)"
687,1047.089817,1048.432000,1.342183,,0.428463,"[1000,1420)"
688,1047.987147,1048.432000,0.444853,,0.410183,"[1000,1420)"
689,1048.953785,1048.904000,0.049785,,0.414640,"[1000,1420)"
690,1049.996284,1049.880000,0.116284,,0.420364,"[1000,1420)"
691,1051.576572,1051.536000,0.040572,,0.437868,"[1000,1420)"
692,1053.245785,1053.216000,0.029785,,0.415300,"[1000,1420)"
693,1054.781039,1055.240000,0.458961,,0.418324,"[1000,1420)"
694,1055.002146,1055.240000,0.237854,,0.422319,"[1000,1420)"
695,1056.688847,1056.400000,0.288847,,0.423406,"[1000,1420)"
696,1057.100044,1056.400000,0.700044,,0.424785,"[1000,1420)"
697,1059.133769,1058.696000,0.437769,,0.418321,"[1000,1420)"
698,1060.139519,1059.832000,0.307519,,0.422029,"[1000,1420)"
699,1061.501304,1061.440000,0.061304,,0.405958,"[1000,1420)"
700,1062.915382,1063.336000,0.420618,,0.445993,"[1000,1420)"
701,1064.071551,1063.728000,0.343551,,0.407818,"[1000,1420)"
702,1065.121855,1064.992000,0.129855,,0.426328,"[1000,1420)"
703,1066.463223,1066.992000,0.528777,,0.421214,"[1000,1420)"
704,1067.418860,1067.512000,0.093140,,0.423333,"[1000,1420)"
705,1067.990000,1067.840000,0.150000,,0.412865,"[1000,1420)"
706,1070.535042,1070.552000,0.016958,,0.415224,"[1000,1420)"
707,1071.618623,1071.912000,0.293377,,0.433756,"[1000,1420)"
708,1072.543998,1072.392000,0.151998,,0.419510,"[1000,1420)"
709,1073.570353,1073.792000,0.221647,,0.414922,"[1000,1420)"
710,1074.747771,1074.904000,0.156229,,0.414064,"[1000,1420)"
711,1076.266626,1076.232000,0.034626,,0.412174,"[1000,1420)"
712,1076.924056,1077.064000,0.139944,,0.391125,"[1000,1420)"
713,1078.647198,1078.408000,0.239198,,0.413872,"[1000,1420)"
714,1079.809965,1079.992000,0.182035,,0.403217,"[1000,1420)"
715,1081.171002,1081.024000,0.147002,,0.377737,"[1000,1420)"
716,1082.952750,1082.416000,0.536750,,0.416478,"[1000,1420)"
717,1083.295467,1084.120000,0.824533,,0.421788,"[1000,1420)"
718,1084.183264,1084.120000,0.063264,,0.407227,"[1000,1420)"
719,1085.647831,1085.616000,0.031831,,0.440316,"[1000,1420)"
720,1086.911999,1086.544000,0.367999,,0.450713,"[1000,1420)"
721,1088.755725,1088.824000,0.068275,,0.424642,"[1000,1420)"
722,1089.795338,1090.432000,0.636662,,0.447306,"[1000,1420)"
723,1090.863191,1091.256000,0.392809,,0.442972,"[1000,1420)"
724,1091.728473,1091.768000,0.039527,,0.419345,"[1000,1420)"
725,1093.440873,1094.032000,0.591127,,0.417598,"[1000,1420)"
726,1094.284458,1094.032000,0.252458,,0.411477,"[1000,1420)"
727,1095.433085,1095.440000,0.006915,,0.420562,"[1000,1420)"
728,1096.401918,1096.744000,0.342082,,0.407298,"[1000,1420)"
729,1098.841015,1098.616000,0.225015,,0.428155,"[1000,1420)"
730,1099.360667,1099.512000,0.151333,,0.411761,"[1000,1420)"
731,1100.574461,1100.544000,0.030461,,0.428849,"[1000,1420)"
732,1101.839111,1101.608000,0.231111,,0.401598,"[1000,1420)"
733,1102.551780,1101.608000,0.943780,,0.422397,"[1000,1420)"
734,1103.732297,1103.784000,0.051703,,0.421768,"[1000,1420)"
735,1105.617189,1105.776000,0.158811,,0.402909,"[1000,1420)"
736,1106.774372,1107.344000,0.569628,,0.425863,"[1000,1420)"
737,1107.774532,1107.344000,0.430532,,0.427306,"[1000,1420)"
738,1109.158919,1109.936000,0.777081,,0.411181,"[1000,1420)"
739,1110.444143,1110.264000,0.180143,,0.427675,"[1000,1420)"
740,1111.443505,1110.984000,0.459505,,0.432871,"[1000,1420)"
741,1112.432995,1112.632000,0.199005,,0.425380,"[1000,1420)"
742,1113.397595,1113.616000,0.218405,,0.430691,"[1000,1420)"
743,1115.065359,1115.160000,0.094641,,0.422410,"[1000,1420)"
744,1116.787254,1116.712000,0.075254,,0.418931,"[1000,1420)"
745,1117.965920,1117.600000,0.365920,,0.412887,"[1000,1420)"
746,1118.684135,1117.600000,1.084135,,0.405056,"[1000,1420)"
747,1119.473247,1119.904000,0.430753,,0.412960,"[1000,1420)"
748,1121.155938,1121.664000,0.508062,,0.414266,"[1000,1420)"
749,1122.458621,1122.416000,0.042621,,0.418762,"[1000,1420)"
750,1123.101117,1123.656000,0.554883,,0.414438,"[1000,1420)"
751,1125.314729,1125.304000,0.010729,,0.418744,"[1000,1420)"
752,1125.763442,1125.304000,0.459442,,0.427611,"[1000,1420)"
753,1127.658024,1127.720000,0.061976,,0.443643,"[1000,1420)"
754,1128.430225,1127.720000,0.710225,,0.417070,"[1000,1420)"
755,1129.728997,1129.600000,0.128997,,0.395020,"[1000,1420)"
756,1130.391598,1130.256000,0.135598,,0.410051,"[1000,1420)"
757,1131.495086,1131.992000,0.496914,,0.426205,"[1000,1420)"
758,1133.708626,1133.728000,0.019374,,0.435214,"[1000,1420)"
759,1134.885655,1134.768000,0.117655,,0.436308,"[1000,1420)"
760,1135.562214,1135.560000,0.002214,,0.401835,"[1000,1420)"
761,1136.929293,1137.080000,0.150707,,0.417813,"[1000,1420)"
762,1138.151590,1137.480000,0.671590,,0.427481,"[1000,1420)"
763,1138.992342,1139.880000,0.887658,,0.430802,"[1000,1420)"
764,1140.721848,1140.968000,0.246152,,0.409823,"[1000,1420)"
765,1141.261023,1141.376000,0.114977,,0.410325,"[1000,1420)"
766,1142.858660,1143.360000,0.501340,,0.430953,"[1000,1420)"
767,1144.782300,1145.272000,0.489700,,0.405983,"[1000,1420)"
768,1145.485328,1145.272000,0.213328,,0.409686,"[1000,1420)"
769,1146.576815,1146.616000,0.039185,,0.411789,"[1000,1420)"
770,1147.501777,1148.368000,0.866223,,0.422798,"[1000,1420)"
771,1148.615277,1148.368000,0.247277,,0.404908,"[1000,1420)"
772,1149.982601,1149.936000,0.046601,,0.395751,"[1000,1420)"
773,1151.562815,1151.128000,0.434815,,0.421406,"[1000,1420)"
774,1152.943129,1152.456000,0.487129,,0.425509,"[1000,1420)"
775,1153.890304,1153.968000,0.077696,,0.430784,"[1000,1420)"
776,1154.697520,1153.968000,0.729520,,0.437002,"[1000,1420)"
777,1156.621568,1156.912000,0.290432,,0.412759,"[1000,1420)"
778,1157.432315,1157.712000,0.279685,,0.414580,"[1000,1420)"
779,1158.001609,1157.944000,0.057609,,0.414191,"[1000,1420)"
780,1159.480657,1159.536000,0.055343,,0.387954,"[1000,1420)"
781,1161.396645,1161.112000,0.284645,,0.434083,"[1000,1420)"
782,1162.487529,1162.568000,0.080471,,0.424304,"[1000,1420)"
783,1163.701032,1163.688000,0.013032,,0.433347,"[1000,1420)"
784,1164.737586,1164.416000,0.321586,,0.414783,"[1000,1420)"
785,1165.271228,1165.528000,0.256772,,0.406924,"[1000,1420)"
786,1166.943613,1166.768000,0.175613,,0.403713,"[1000,1420)"
787,1168.086272,1168.440000,0.353728,,0.418008,"[1000,1420)"
788,1169.698357,1169.920000,0.221643,,0.410956,"[1000,1420)"
789,1170.463639,1170.704000,0.240361,,0.404512,"[1000,1420)"
790,1172.120682,1172.288000,0.167318,,0.414466,"[1000,1420)"
791,1173.305688,1173.112000,0.193688,,0.407285,"[1000,1420)"
792,1174.232767,1174.176000,0.056767,,0.420888,"[1000,1420)"
793,1175.215452,1174.616000,0.599452,,0.434386,"[1000,1420)"
794,1176.632876,1176.736000,0.103124,,0.436002,"[1000,1420)"
795,1177.106304,1177.184000,0.077696,,0.434390,"[1000,1420)"
796,1179.701224,1179.888000,0.186776,,0.425840,"[1000,1420)"
797,1180.653544,1180.848000,0.194456,,0.416717,"[1000,1420)"
798,1181.267318,1181.488000,0.220682,,0.426328,"[1000,1420)"
799,1182.582270,1182.560000,0.022270,,0.462826,"[1000,1420)"
800,1183.712775,1183.440000,0.272775,,0.443627,"[1000,1420)"
801,1185.155843,1185.344000,0.188157,,0.435355,"[1000,1420)"
802,1185.875359,1186.248000,0.372641,,0.421176,"[1000,1420)"
803,1187.345161,1186.888000,0.457161,,0.388170,"[1000,1420)"
804,1188.856444,1188.832000,0.024444,,0.404030,"[1000,1420)"
805,1189.963636,1190.304000,0.340364,,0.394858,"[1000,1420)"
806,1191.482606,1191.640000,0.157394,,0.418498,"[1000,1420)"
807,1192.218611,1192.168000,0.050611,,0.414407,"[1000,1420)"
808,1193.324021,1194.056000,0.731979,,0.406779,"[1000,1420)"
809,1193.857427,1194.056000,0.198573,,0.403155,"[1000,1420)"
810,1196.034672,1196.168000,0.133328,,0.417942,"[1000,1420)"
811,1197.071787,1196.616000,0.455787,,0.403458,"[1000,1420)"
812,1198.686569,1198.216000,0.470569,,0.440993,"[1000,1420)"
813,1199.356514,1200.168000,0.811486,,0.445263,"[1000,1420)"
814,1200.532692,1200.168000,0.364692,,0.413982,"[1000,1420)"
815,1201.810335,1201.264000,0.546335,,0.413995,"[1000,1420)"
816,1203.137351,1203.432000,0.294649,,0.393685,"[1000,1420)"
817,1203.855248,1203.432000,0.423248,,0.400803,"[1000,1420)"
818,1204.985492,1205.712000,0.726508,,0.421084,"[1000,1420)"
819,1206.870500,1207.512000,0.641500,,0.383472,"[1000,1420)"
820,1208.471460,1208.352000,0.119460,,0.410196,"[1000,1420)"
821,1208.989484,1209.144000,0.154516,,0.398261,"[1000,1420)"
822,1209.898030,1210.416000,0.517970,,0.412532,"[1000,1420)"
823,1211.416116,1211.296000,0.120116,,0.439116,"[1000,1420)"
824,1212.113153,1211.600000,0.513153,,0.429735,"[1000,1420)"
825,1213.598373,1213.320000,0.278373,,0.439727,"[1000,1420)"
826,1215.389975,1215.064000,0.325975,,0.418750,"[1000,1420)"
827,1216.183722,1215.976000,0.207722,,0.429922,"[1000,1420)"
828,1217.174482,1217.400000,0.225518,,0.408596,"[1000,1420)"
829,1219.050028,1219.048000,0.002028,,0.407563,"[1000,1420)"
830,1219.614471,1219.048000,0.566471,,0.414939,"[1000,1420)"
831,1220.816348,1220.656000,0.160348,,0.430564,"[1000,1420)"
832,1221.692242,1221.672000,0.020242,,0.424872,"[1000,1420)"
833,1222.952484,1221.896000,1.056484,,0.415365,"[1000,1420)"
834,1225.018330,1224.856000,0.162330,,0.393776,"[1000,1420)"
835,1225.855021,1225.888000,0.032979,,0.398551,"[1000,1420)"
836,1227.231828,1227.576000,0.344172,,0.432523,"[1000,1420)"
837,1227.917142,1227.576000,0.341142,,0.419567,"[1000,1420)"
838,1228.793154,1227.576000,1.217154,,0.410384,"[1000,1420)"
839,1230.584603,1230.272000,0.312603,,0.410586,"[1000,1420)"
840,1231.562274,1231.680000,0.117726,,0.423985,"[1000,1420)"
841,1232.529587,1232.480000,0.049587,,0.419571,"[1000,1420)"
842,1234.277817,1234.344000,0.066183,,0.403890,"[1000,1420)"
843,1235.502549,1235.608000,0.105451,,0.420497,"[1000,1420)"
844,1236.399017,1235.992000,0.407017,,0.412450,"[1000,1420)"
845,1237.977299,1237.408000,0.569299,,0.415502,"[1000,1420)"
846,1238.457233,1238.632000,0.174767,,0.424954,"[1000,1420)"
847,1239.490807,1239.744000,0.253193,,0.421374,"[1000,1420)"
848,1240.813472,1240.568000,0.245472,,0.427066,"[1000,1420)"
849,1243.078076,1242.632000,0.446076,,0.422859,"[1000,1420)"
850,1243.538147,1243.968000,0.429853,,0.420778,"[1000,1420)"
851,1244.851434,1244.720000,0.131434,,0.423356,"[1000,1420)"
852,1245.655866,1244.720000,0.935866,,0.404338,"[1000,1420)"
853,1247.372562,1247.104000,0.268562,,0.415557,"[1000,1420)"
854,1248.063061,1248.240000,0.176939,,0.409862,"[1000,1420)"
855,1249.159888,1248.992000,0.167888,,0.412242,"[1000,1420)"
856,1250.672397,1250.576000,0.096397,,0.410450,"[1000,1420)"
857,1251.659832,1251.648000,0.011832,,0.419431,"[1000,1420)"
858,1253.673578,1253.624000,0.049578,,0.430125,"[1000,1420)"
