scheme,level,N,E,avg_degree,n_components,lambda1_raw,lambda1_x_N23,deviation_pct,null_mean,null_std,z_score,protocol_status
A,0,120,720,12.0,1,2.2917960675006253,55.756666460798286,10.549094296353237,91.82541349831172,21.712256177680423,-1.6612159852180362,reported
A,1,840,1440,3.4285714285714284,1,0.1656599490148829,14.748133065973585,-70.75878354112535,9.937669674374224,2.8378499966132753,1.695108408597541,stop-on-fail-triggered
B,0,120,720,12.0,1,2.2917960675006253,55.756666460798286,10.549094296353237,91.82541349831172,21.712256177680423,-1.6612159852180362,reported
B,1,720,3120,8.666666666666666,1,0.809428907365058,65.02300576070134,28.92152367692277,32.20567230063344,8.566395454990522,3.830938418905899,reported
