n,g_n
355,619.5841527488
356,620.9523603902
357,622.3199120282
358,623.6868100440
359,625.0530568034
360,626.4186546567
361,627.7836059393
362,629.1479129716
363,630.5115780590
364,631.8746034923
365,633.2369915478
366,634.5987444870
367,635.9598645576
368,637.3203539926
369,638.6802150113
370,640.0394498190
371,641.3980606069
372,642.7560495530
373,644.1134188213
374,645.4701705626
375,646.8263069143
376,648.1818300007
377,649.5367419329
378,650.8910448091
379,652.2447407145
380,653.5978317217
381,654.9503198908
382,656.3022072689
383,657.6534958913
384,659.0041877805
385,660.3542849471
386,661.7037893895
387,663.0527030941
388,664.4010280354
389,665.7487661762
390,667.0959194675
391,668.4424898490
392,669.7884792484
393,671.1338895825
394,672.4787227567
395,673.8229806649
396,675.1666651903
397,676.5097782049
398,677.8523215698
399,679.1942971354
400,680.5357067410
401,681.8765522157
402,683.2168353779
403,684.5565580353
404,685.8957219856
405,687.2343290159
406,688.5723809032
407,689.9098794144
408,691.2468263063
409,692.5832233259
410,693.9190722099
411,695.2543746858
412,696.5891324708
413,697.9233472728
414,699.2570207901
415,700.5901547114
416,701.9227507161
417,703.2548104741
418,704.5863356462
419,705.9173278839
420,707.2477888297
421,708.5777201170
422,709.9071233701
423,711.2360002047
424,712.5643522272
425,713.8921810358
426,715.2194882195
427,716.5462753591
428,717.8725440264
429,719.1982957851
430,720.5235321902
431,721.8482547886
432,723.1724651186
433,724.4961647105
434,725.8193550863
435,727.1420377599
436,728.4642142373
437,729.7858860163
438,731.1070545870
439,732.4277214314
440,733.7478880239
441,735.0675558309
442,736.3867263115
443,737.7054009168
444,739.0235810905
445,740.3412682689
446,741.6584638805
447,742.9751693467
448,744.2913860814
449,745.6071154914
450,746.9223589759
451,748.2371179273
452,749.5513937306
453,750.8651877639
454,752.1785013981
455,753.4913359972
456,754.8036929184
457,756.1155735117
458,757.4269791207
459,758.7379110819
460,760.0483707252
461,761.3583593737
462,762.6678783441
463,763.9769289463
464,765.2855124837
465,766.5936302533
466,767.9012835457
467,769.2084736449
468,770.5152018286
469,771.8214693685
470,773.1272775296
471,774.4326275708
472,775.7375207452
473,777.0419582992
474,778.3459414735
475,779.6494715026
476,780.9525496151
477,782.2551770335
478,783.5573549745
479,784.8590846489
480,786.1603672616
481,787.4612040118
482,788.7615960929
483,790.0615446926
484,791.3610509927
485,792.6601161698
486,793.9587413946
487,795.2569278322
488,796.5546766423
489,797.8519889792
490,799.1488659915
491,800.4453088226
492,801.7413186105
493,803.0368964878
494,804.3320435817
495,805.6267610143
496,806.9210499025
497,808.2149113577
498,809.5083464866
499,810.8013563904
500,812.0939421653
501,813.3861049026
502,814.6778456883
503,815.9691656036
504,817.2600657247
505,818.5505471229
506,819.8406108645
507,821.1302580111
508,822.4194896192
509,823.7083067408
510,824.9967104230
511,826.2847017082
512,827.5722816340
513,828.8594512334
514,830.1462115347
515,831.4325635617
516,832.7185083335
517,834.0040468647
518,835.2891801653
519,836.5739092410
520,837.8582350927
521,839.1421587171
522,840.4256811065
523,841.7088032488
524,842.9915261273
525,844.2738507214
526,845.5557780057
527,846.8373089510
528,848.1184445235
529,849.3991856855
530,850.6795333947
531,851.9594886050
532,853.2390522660
533,854.5182253231
534,855.7970087179
535,857.0754033875
536,858.3534102654
537,859.6310302808
538,860.9082643590
539,862.1851134213
540,863.4615783852
541,864.7376601640
542,866.0133596675
543,867.2886778012
544,868.5636154671
545,869.8381735632
546,871.1123529837
547,872.3861546192
548,873.6595793562
549,874.9326280779
550,876.2053016635
551,877.4776009885
552,878.7495269250
553,880.0210803412
554,881.2922621017
555,882.5630730677
556,883.8335140966
557,885.1035860425
558,886.3732897556
559,887.6426260829
560,888.9115958678
561,890.1801999502
562,891.4484391666
563,892.7163143501
564,893.9838263303
565,895.2509759335
566,896.5177639825
567,897.7841912969
568,899.0502586929
569,900.3159669833
570,901.5813169779
571,902.8463094828
572,904.1109453012
573,905.3752252329
574,906.6391500746
575,907.9027206197
576,909.1659376583
577,910.4288019777
578,911.6913143617
579,912.9534755911
580,914.2152864438
581,915.4767476942
582,916.7378601141
583,917.9986244717
584,919.2590415327
585,920.5191120595
586,921.7788368114
587,923.0382165450
588,924.2972520138
589,925.5559439682
590,926.8142931560
591,928.0723003217
592,929.3299662072
593,930.5872915513
594,931.8442770901
595,933.1009235568
596,934.3572316816
597,935.6132021922
598,936.8688358132
599,938.1241332665
600,939.3790952713
601,940.6337225439
602,941.8880157981
603,943.1419757446
604,944.3956030918
605,945.6488985450
606,946.9018628071
607,948.1544965783
608,949.4068005560
609,950.6587754351
610,951.9104219077
611,953.1617406636
612,954.4127323896
613,955.6633977703
614,956.9137374874
615,958.1637522203
616,959.4134426457
617,960.6628094378
618,961.9118532684
619,963.1605748067
620,964.4089747193
621,965.6570536706
622,966.9048123222
623,968.1522513336
624,969.3993713616
625,970.6461730607
626,971.8926570829
627,973.1388240780
628,974.3846746932
629,975.6302095735
630,976.8754293613
631,978.1203346969
632,979.3649262181
633,980.6092045606
634,981.8531703575
635,983.0968242397
636,984.3401668360
637,985.5831987727
638,986.8259206739
639,988.0683331614
640,989.3104368550
641,990.5522323720
642,991.7937203276
643,993.0349013347
644,994.2757760042
645,995.5163449447
646,996.7566087625
647,997.9965680620
648,999.2362234452
649,1000.4755755123
650,1001.7146248609
651,1002.9533720869
652,1004.1918177839
653,1005.4299625435
654,1006.6678069551
655,1007.9053516061
656,1009.1425970818
657,1010.3795439655
658,1011.6161928385
659,1012.8525442798
660,1014.0885988668
661,1015.3243571746
662,1016.5598197763
663,1017.7949872431
664,1019.0298601442
665,1020.2644390468
666,1021.4987245162
667,1022.7327171157
668,1023.9664174067
669,1025.1998259486
670,1026.4329432988
671,1027.6657700131
672,1028.8983066451
673,1030.1305537466
674,1031.3625118675
675,1032.5941815558
676,1033.8255633578
677,1035.0566578177
678,1036.2874654780
679,1037.5179868793
680,1038.7482225605
681,1039.9781730585
682,1041.2078389084
683,1042.4372206436
684,1043.6663187957
685,1044.8951338944
686,1046.1236664679
687,1047.3519170421
688,1048.5798861418
689,1049.8075742894
690,1051.0349820062
691,1052.2621098111
692,1053.4889582219
693,1054.7155277542
694,1055.9418189222
695,1057.1678322382
696,1058.3935682129
697,1059.6190273553
698,1060.8442101727
699,1062.0691171708
700,1063.2937488535
701,1064.5181057232
702,1065.7421882806
703,1066.9659970246
704,1068.1895324528
705,1069.4127950609
706,1070.6357853430
707,1071.8585037918
708,1073.0809508983
709,1074.3031271517
710,1075.5250330398
711,1076.7466690489
712,1077.9680356636
713,1079.1891333670
714,1080.4099626406
715,1081.6305239643
716,1082.8508178166
717,1084.0708446743
718,1085.2906050129
719,1086.5100993061
720,1087.7293280263
721,1088.9482916443
722,1090.1669906294
723,1091.3854254494
724,1092.6035965707
725,1093.8215044581
726,1095.0391495750
727,1096.2565323834
728,1097.4736533436
729,1098.6905129147
730,1099.9071115543
731,1101.1234497184
732,1102.3395278618
733,1103.5553464377
734,1104.7709058980
735,1105.9862066930
736,1107.2012492719
737,1108.4160340821
738,1109.6305615700
739,1110.8448321803
740,1112.0588463566
741,1113.2726045408
742,1114.4861071738
743,1115.6993546948
744,1116.9123475418
745,1118.1250861514
746,1119.3375709590
747,1120.5498023985
748,1121.7617809024
749,1122.9735069022
750,1124.1849808276
751,1125.3962031074
752,1126.6071741690
753,1127.8178944383
754,1129.0283643400
755,1130.2385842977
756,1131.4485547334
757,1132.6582760680
758,1133.8677487211
759,1135.0769731111
760,1136.2859496549
761,1137.4946787684
762,1138.7031608661
763,1139.9113963614
764,1141.1193856661
765,1142.3271291913
766,1143.5346273464
767,1144.7418805397
768,1145.9488891785
769,1147.1556536686
770,1148.3621744147
771,1149.5684518204
772,1150.7744862878
773,1151.9802782182
774,1153.1858280113
775,1154.3911360660
776,1155.5962027797
777,1156.8010285488
778,1158.0056137685
779,1159.2099588329
780,1160.4140641347
781,1161.6179300658
782,1162.8215570166
783,1164.0249453765
784,1165.2280955339
785,1166.4310078759
786,1167.6336827884
787,1168.8361206564
788,1170.0383218635
789,1171.2402867925
790,1172.4420158248
791,1173.6435093409
792,1174.8447677201
793,1176.0457913405
794,1177.2465805793
795,1178.4471358125
796,1179.6474574150
797,1180.8475457608
798,1182.0474012226
799,1183.2470241721
800,1184.4464149799
801,1185.6455740157
802,1186.8445016479
803,1188.0431982441
804,1189.2416641705
805,1190.4398997927
806,1191.6379054750
807,1192.8356815806
808,1194.0332284718
809,1195.2305465098
810,1196.4276360548
811,1197.6244974661
812,1198.8211311018
813,1200.0175373191
814,1201.2137164741
815,1202.4096689219
816,1203.6053950168
817,1204.8008951118
818,1205.9961695591
819,1207.1912187100
820,1208.3860429145
821,1209.5806425220
822,1210.7750178806
823,1211.9691693377
824,1213.1630972394
825,1214.3568019312
826,1215.5502837573
827,1216.7435430614
828,1217.9365801857
829,1219.1293954718
830,1220.3219892603
831,1221.5143618908
832,1222.7065137021
833,1223.8984450318
834,1225.0901562167
835,1226.2816475929
836,1227.4729194953
837,1228.6639722579
838,1229.8548062139
839,1231.0454216955
840,1232.2358190341
841,1233.4259985600
842,1234.6159606028
843,1235.8057054912
844,1236.9952335528
845,1238.1845451145
846,1239.3736405022
847,1240.5625200410
848,1241.7511840552
849,1242.9396328679
850,1244.1278668017
851,1245.3158861782
852,1246.5036913179
853,1247.6912825409
854,1248.8786601660
855,1250.0658245114
856,1251.2527758943
857,1252.4395146312
858,1253.6260410377
859,1254.8123554284
860,1255.9984581174
861,1257.1843494175
862,1258.3700296412
863,1259.5554990996
864,1260.7407581035
865,1261.9258069626
866,1263.1106459857
867,1264.2952754811
868,1265.4796957559
869,1266.6639071166
870,1267.8479098690
871,1269.0317043178
872,1270.2152907672
873,1271.3986695204
874,1272.5818408799
875,1273.7648051473
876,1274.9475626236
877,1276.1301136088
878,1277.3124584022
879,1278.4945973024
880,1279.6765306071
881,1280.8582586133
882,1282.0397816172
883,1283.2210999143
884,1284.4022137991
885,1285.5831235656
886,1286.7638295071
887,1287.9443319157
888,1289.1246310832
889,1290.3047273004
890,1291.4846208575
891,1292.6643120439
892,1293.8438011481
893,1295.0230884582
894,1296.2021742611
895,1297.3810588434
896,1298.5597424908
897,1299.7382254881
898,1300.9165081197
899,1302.0945906690
900,1303.2724734188
901,1304.4501566512
902,1305.6276406475
903,1306.8049256883
904,1307.9820120536
905,1309.1589000225
906,1310.3355898737
907,1311.5120818848
908,1312.6883763329
909,1313.8644734945
910,1315.0403736453
911,1316.2160770602
912,1317.3915840136
913,1318.5668947790
914,1319.7420096296
915,1320.9169288374
916,1322.0916526741
917,1323.2661814105
918,1324.4405153169
919,1325.6146546628
920,1326.7885997171
921,1327.9623507480
922,1329.1359080230
923,1330.3092718091
924,1331.4824423723
925,1332.6554199782
926,1333.8282048918
927,1335.0007973773
928,1336.1731976982
929,1337.3454061176
930,1338.5174228976
931,1339.6892482999
932,1340.8608825855
933,1342.0323260147
934,1343.2035788474
935,1344.3746413425
936,1345.5455137584
937,1346.7161963531
938,1347.8866893837
939,1349.0569931067
940,1350.2271077780
941,1351.3970336531
942,1352.5667709864
943,1353.7363200322
944,1354.9056810438
945,1356.0748542741
946,1357.2438399754
947,1358.4126383991
948,1359.5812497964
949,1360.7496744175
950,1361.9179125124
951,1363.0859643301
952,1364.2538301193
953,1365.4215101280
954,1366.5890046035
955,1367.7563137927
956,1368.9234379418
957,1370.0903772963
958,1371.2571321013
959,1372.4237026014
960,1373.5900890402
961,1374.7562916611
962,1375.9223107069
963,1377.0881464196
964,1378.2537990407
965,1379.4192688114
966,1380.5845559718
967,1381.7496607620
968,1382.9145834211
969,1384.0793241879
970,1385.2438833005
971,1386.4082609964
972,1387.5724575127
973,1388.7364730859
974,1389.9003079517
975,1391.0639623457
976,1392.2274365025
977,1393.3907306565
978,1394.5538450413
979,1395.7167798900
980,1396.8795354353
981,1398.0421119092
982,1399.2045095432
983,1400.3667285683
984,1401.5287692150
985,1402.6906317132
986,1403.8523162921
987,1405.0138231808
988,1406.1751526074
989,1407.3363047997
990,1408.4972799850
991,1409.6580783901
992,1410.8187002411
993,1411.9791457636
994,1413.1394151830
995,1414.2995087237
996,1415.4594266100
997,1416.6191690654
998,1417.7787363131
999,1418.9381285755
1000,1420.0973460749
1001,1421.2563890328
1002,1422.4152576701
1003,1423.5739522075
1004,1424.7324728651
1005,1425.8908198624
1006,1427.0489934184
1007,1428.2069937517
1008,1429.3648210803
1009,1430.5224756219
1010,1431.6799575934
1011,1432.8372672115
1012,1433.9944046922
1013,1435.1513702512
1014,1436.3081641035
1015,1437.4647864638
1016,1438.6212375462
1017,1439.7775175644
1018,1440.9336267315
1019,1442.0895652604
1020,1443.2453333631
1021,1444.4009312514
1022,1445.5563591366
1023,1446.7116172296
1024,1447.8667057406
1025,1449.0216248794
1026,1450.1763748556
1027,1451.3309558779
1028,1452.4853681550
1029,1453.6396118946
1030,1454.7936873045
1031,1455.9475945916
1032,1457.1013339626
1033,1458.2549056236
1034,1459.4083097804
1035,1460.5615466381
1036,1461.7146164015
1037,1462.8675192751
1038,1464.0202554626
1039,1465.1728251676
1040,1466.3252285929
1041,1467.4774659412
1042,1468.6295374145
1043,1469.7814432145
1044,1470.9331835425
1045,1472.0847585991
1046,1473.2361685847
1047,1474.3874136992
1048,1475.5384941421
1049,1476.6894101124
1050,1477.8401618086
1051,1478.9907494290
1052,1480.1411731712
1053,1481.2914332325
1054,1482.4415298099
1055,1483.5914630997
1056,1484.7412332980
1057,1485.8908406004
1058,1487.0402852019
1059,1488.1895672974
1060,1489.3386870812
1061,1490.4876447472
1062,1491.6364404889
1063,1492.7850744993
1064,1493.9335469711
1065,1495.0818580966
1066,1496.2300080675
1067,1497.3779970753
1068,1498.5258253110
1069,1499.6734929652
1070,1500.8210002280
1071,1501.9683472894
1072,1503.1155343385
1073,1504.2625615645
1074,1505.4094291559
1075,1506.5561373008
1076,1507.7026861870
1077,1508.8490760019
1078,1509.9953069325
1079,1511.1413791654
1080,1512.2872928867
1081,1513.4330482822
1082,1514.5786455373
1083,1515.7240848370
1084,1516.8693663659
1085,1518.0144903083
1086,1519.1594568480
1087,1520.3042661684
1088,1521.4489184526
1089,1522.5934138833
1090,1523.7377526427
1091,1524.8819349128
1092,1526.0259608752
1093,1527.1698307109
1094,1528.3135446007
1095,1529.4571027250
1096,1530.6005052639
1097,1531.7437523970
1098,1532.8868443035
1099,1534.0297811624
1100,1535.1725631522
1101,1536.3151904509
1102,1537.4576632365
1103,1538.5999816863
1104,1539.7421459774
1105,1540.8841562864
1106,1542.0260127897
1107,1543.1677156632
1108,1544.3092650825
1109,1545.4506612228
1110,1546.5919042590
1111,1547.7329943655
1112,1548.8739317166
1113,1550.0147164861
1114,1551.1553488472
1115,1552.2958289732
1116,1553.4361570368
1117,1554.5763332102
1118,1555.7163576656
1119,1556.8562305745
1120,1557.9959521083
1121,1559.1355224380
1122,1560.2749417341
1123,1561.4142101670
1124,1562.5533279065
1125,1563.6922951223
1126,1564.8311119835
1127,1565.9697786590
1128,1567.1082953174
1129,1568.2466621269
1130,1569.3848792554
1131,1570.5229468703
1132,1571.6608651388
1133,1572.7986342279
1134,1573.9362543039
1135,1575.0737255332
1136,1576.2110480814
1137,1577.3482221142
1138,1578.4852477967
1139,1579.6221252937
1140,1580.7588547698
1141,1581.8954363891
1142,1583.0318703155
1143,1584.1681567125
1144,1585.3042957433
1145,1586.4402875708
1146,1587.5761323575
1147,1588.7118302657
1148,1589.8473814573
1149,1590.9827860938
1150,1592.1180443364
1151,1593.2531563463
1152,1594.3881222838
1153,1595.5229423094
1154,1596.6576165830
1155,1597.7921452644
1156,1598.9265285127
1157,1600.0607664872
1158,1601.1948593464
1159,1602.3288072488
1160,1603.4626103525
1161,1604.5962688154
1162,1605.7297827947
1163,1606.8631524478
1164,1607.9963779315
1165,1609.1294594022
1166,1610.2623970164
1167,1611.3951909298
1168,1612.5278412982
1169,1613.6603482768
1170,1614.7927120207
1171,1615.9249326845
1172,1617.0570104228
1173,1618.1889453896
1174,1619.3207377387
1175,1620.4523876237
1176,1621.5838951978
1177,1622.7152606139
1178,1623.8464840245
1179,1624.9775655822
1180,1626.1085054388
1181,1627.2393037461
1182,1628.3699606556
1183,1629.5004763184
1184,1630.6308508854
1185,1631.7610845072
1186,1632.8911773340
1187,1634.0211295158
1188,1635.1509412023
1189,1636.2806125430
1190,1637.4101436870
1191,1638.5395347830
1192,1639.6687859797
1193,1640.7978974254
1194,1641.9268692680
1195,1643.0557016552
1196,1644.1843947345
1197,1645.3129486529
1198,1646.4413635574
1199,1647.5696395946
1200,1648.6977769107
1201,1649.8257756517
1202,1650.9536359635
1203,1652.0813579914
1204,1653.2089418807
1205,1654.3363877763
1206,1655.4636958228
1207,1656.5908661647
1208,1657.7178989459
1209,1658.8447943103
1210,1659.9715524015
1211,1661.0981733627
1212,1662.2246573371
1213,1663.3510044672
1214,1664.4772148956
1215,1665.6032887644
1216,1666.7292262157
1217,1667.8550273911
1218,1668.9806924320
1219,1670.1062214795
1220,1671.2316146746
1221,1672.3568721577
1222,1673.4819940694
1223,1674.6069805496
1224,1675.7318317382
1225,1676.8565477748
1226,1677.9811287986
1227,1679.1055749488
1228,1680.2298863640
1229,1681.3540631829
1230,1682.4781055436
1231,1683.6020135843
1232,1684.7257874427
1233,1685.8494272562
1234,1686.9729331622
1235,1688.0963052976
1236,1689.2195437992
1237,1690.3426488034
1238,1691.4656204466
1239,1692.5884588646
1240,1693.7111641932
1241,1694.8337365680
1242,1695.9561761241
1243,1697.0784829966
1244,1698.2006573201
1245,1699.3226992292
1246,1700.4446088582
1247,1701.5663863409
1248,1702.6880318113
1249,1703.8095454027
1250,1704.9309272485
1251,1706.0521774817
1252,1707.1732962351
1253,1708.2942836412
1254,1709.4151398323
1255,1710.5358649405
1256,1711.6564590976
1257,1712.7769224351
1258,1713.8972550844
1259,1715.0174571767
1260,1716.1375288427
1261,1717.2574702131
1262,1718.3772814184
1263,1719.4969625885
1264,1720.6165138536
1265,1721.7359353432
1266,1722.8552271867
1267,1723.9743895136
1268,1725.0934224526
1269,1726.2123261325
1270,1727.3311006820
1271,1728.4497462292
1272,1729.5682629023
1273,1730.6866508290
1274,1731.8049101370
1275,1732.9230409537
1276,1734.0410434061
1277,1735.1589176212
1278,1736.2766637257
1279,1737.3942818461
1280,1738.5117721086
1281,1739.6291346392
1282,1740.7463695637
1283,1741.8634770076
1284,1742.9804570964
1285,1744.0973099551
1286,1745.2140357087
1287,1746.3306344817
1288,1747.4471063987
1289,1748.5634515840
1290,1749.6796701614
1291,1750.7957622548
1292,1751.9117279879
1293,1753.0275674838
1294,1754.1432808659
1295,1755.2588682570
1296,1756.3743297798
1297,1757.4896655568
1298,1758.6048757103
1299,1759.7199603623
1300,1760.8349196348
1301,1761.9497536493
1302,1763.0644625272
1303,1764.1790463898
1304,1765.2935053580
1305,1766.4078395527
1306,1767.5220490944
1307,1768.6361341035
1308,1769.7500947001
1309,1770.8639310041
1310,1771.9776431354
1311,1773.0912312134
1312,1774.2046953574
1313,1775.3180356866
1314,1776.4312523199
1315,1777.5443453759
1316,1778.6573149731
1317,1779.7701612299
1318,1780.8828842642
1319,1781.9954841941
1320,1783.1079611371
1321,1784.2203152108
1322,1785.3325465323
1323,1786.4446552188
1324,1787.5566413871
1325,1788.6685051539
1326,1789.7802466356
1327,1790.8918659486
1328,1792.0033632088
1329,1793.1147385321
1330,1794.2259920342
1331,1795.3371238305
1332,1796.4481340363
1333,1797.5590227668
1334,1798.6697901366
1335,1799.7804362606
1336,1800.8909612532
1337,1802.0013652287
1338,1803.1116483012
1339,1804.2218105846
1340,1805.3318521925
1341,1806.4417732385
1342,1807.5515738359
1343,1808.6612540978
1344,1809.7708141372
1345,1810.8802540667
1346,1811.9895739990
1347,1813.0987740463
1348,1814.2078543210
1349,1815.3168149348
1350,1816.4256559997
1351,1817.5343776272
1352,1818.6429799287
1353,1819.7514630154
1354,1820.8598269985
1355,1821.9680719886
1356,1823.0761980966
1357,1824.1842054328
1358,1825.2920941076
1359,1826.3998642311
1360,1827.5075159131
1361,1828.6150492634
1362,1829.7224643916
1363,1830.8297614071
1364,1831.9369404190
1365,1833.0440015363
1366,1834.1509448678
1367,1835.2577705222
1368,1836.3644786080
1369,1837.4710692334
1370,1838.5775425065
1371,1839.6838985352
1372,1840.7901374273
1373,1841.8962592904
1374,1843.0022642318
1375,1844.1081523586
1376,1845.2139237780
1377,1846.3195785968
1378,1847.4251169217
1379,1848.5305388591
1380,1849.6358445153
1381,1850.7410339966
1382,1851.8461074089
1383,1852.9510648579
1384,1854.0559064493
1385,1855.1606322885
1386,1856.2652424809
1387,1857.3697371314
1388,1858.4741163451
1389,1859.5783802266
1390,1860.6825288806
1391,1861.7865624114
1392,1862.8904809234
1393,1863.9942845205
1394,1865.0979733067
1395,1866.2015473856
1396,1867.3050068610
1397,1868.4083518360
1398,1869.5115824140
1399,1870.6146986981
1400,1871.7177007910
1401,1872.8205887955
1402,1873.9233628142
1403,1875.0260229494
1404,1876.1285693034
1405,1877.2310019782
1406,1878.3333210757
1407,1879.4355266976
1408,1880.5376189455
1409,1881.6395979207
1410,1882.7414637245
1411,1883.8432164580
1412,1884.9448562220
1413,1886.0463831172
1414,1887.1477972444
1415,1888.2490987038
1416,1889.3502875957
1417,1890.4513640202
1418,1891.5523280773
1419,1892.6531798667
1420,1893.7539194880
