target,n_targets,n_minima,signal_mean,null_mean,null_std,z,effect_size,verdict
Riemann (control),2792,3940,0.32417873766850175,0.4229404910442382,0.007861394294744346,-12.562880027753168,0.2335121736202039,CONTROL
Gram points,2792,3940,0.31606184196498194,0.4232365419634392,0.007451918179059176,-14.38216274296081,0.2532264806371927,SUSTAIN
RvM random,2792,3940,0.31911130236857727,0.4230444618726923,0.01051351110209409,-9.885675536445055,0.24567904528056878,PARTIAL
