label,N,n_pos_edges,mean_corr,std_corr,min_corr,max_corr,d_s,slope_volume,saturated,sat_frac,mean_defect,frac_pos_defect,lam1_raw,lam1_x_N23
icosahedral+lag,240,14235,-0.004184100418409676,0.5017645356575897,-0.9987604807965907,0.9996004826389291,25.06718744976877,1.6240166268584175,True,1.0,1.5896988971472703,0.928,16.58526727955286,640.5159799702149
null:non-icosahedral,240,14235,-0.004184100418409722,0.5017644720630187,-0.9987601676756782,0.9996004792128003,25.067257355922543,1.624016626858418,True,1.0,1.5896989865509994,0.928,16.58530714416631,640.5175195246593
null:no-delay,240,28680,1.0,0.0,1.0,1.0,nan,nan,False,nan,-3.141592653589793,0.0,239.9999999999995,9268.698092214023
null:shuffled-K,240,14181,-0.004177881968849755,0.4716593392304638,-0.9849657536534426,0.9794314096249077,24.411745856307736,2.898685583099086,True,1.0,1.5759622256481765,0.9414,15.055783370347399,581.4479608396952
