n,t_n
1,6.6484533474
2,9.8314444289
3,11.9588456258
4,16.0338211313
5,17.5669942901
6,19.5407326266
7,22.2274054542
8,24.5884662166
9,26.7760959521
10,28.4610351041
11,29.7079093531
12,33.0004560038
13,34.7288129762
14,35.8686383680
15,38.1291847244
16,39.5605729505
17,41.8424385414
18,44.0312900588
19,45.4273000821
20,46.4927271560
21,48.3456618205
22,51.0877519295
23,52.1259022340
24,53.8304451957
25,55.5892803326
26,56.8388659462
27,58.3861174837
28,61.1388647512
29,62.1329047158
30,63.7095430627
31,64.6373596624
32,66.7476418480
33,68.5907279238
34,70.1158371553
35,71.6059594825
36,73.3501054302
37,74.2936884388
38,75.5349041209
39,78.0721708611
40,79.7860624924
41,80.5673008576
42,81.9233808890
43,83.6991570011
44,84.9525071040
45,86.8099966779
46,88.2817766026
47,90.3765731797
48,90.7155259356
49,92.4502432570
50,93.3944239423
51,95.9700016484
52,97.3315882549
53,98.2274578676
54,99.8380508080
55,101.1877170965
56,102.6052879408
57,103.6661310837
58,105.9731938019
59,107.2971036419
60,108.4981066272
61,109.5502586082
62,110.6361976698
63,112.6157699451
64,114.2306398734
65,115.5784139797
66,116.6356717601
67,118.3711623088
68,119.5614916220
69,120.2817341939
70,122.0616322801
71,124.2428371504
72,125.2815361723
73,126.3986993745
74,127.3206348285
75,129.0483000949
76,130.1970382705
77,132.0860053018
78,133.0302283928
79,134.9249638900
80,135.8744976923
81,137.2010834649
82,138.0356990322
83,139.4105995968
84,141.9462405518
85,142.5245124325
86,143.9615911260
87,144.9483276144
88,146.3848096058
89,147.8797290996
90,148.6791376963
91,150.5625106677
92,152.1147485480
93,153.2874104992
94,154.4907156959
95,155.2420800015
96,156.4997285411
97,158.4000270382
98,159.8727775738
99,161.2462175593
100,161.7676625952
101,163.7576737240
102,164.6120093927
103,165.7849132612
104,166.8984076664
105,168.8542152658
106,170.4329617664
107,171.3435913786
108,172.1109726295
109,173.5594350293
110,174.6387255654
111,176.3560413226
112,177.7259420618
113,178.7928649858
114,180.2429351375
115,181.5690410182
116,182.3836847678
117,183.7977731839
118,184.3628313228
119,186.8960606769
120,187.9450259879
121,188.9594686761
122,190.1395967618
123,190.9702222750
124,192.8230754092
125,193.5366786376
126,195.0968146846
127,196.5407645628
128,197.8610095039
129,199.0910217062
130,200.2454408452
131,200.7540601388
132,202.1949514404
133,203.8439019457
134,205.7461765245
135,206.1614100888
136,207.4576800779
137,208.6257624075
138,210.3018863007
139,210.6774621978
140,212.2314465091
141,213.5208741382
142,215.4464514539
143,216.3400341526
144,217.1983339652
145,218.4468831018
146,219.2620902136
147,220.7873883888
148,222.4669542626
149,223.5251748487
150,224.5905695572
151,225.9528174445
152,227.0506152406
153,228.2702606693
154,229.1293411210
155,230.0655467227
156,232.3504135713
157,233.2789359137
158,234.5851234242
159,235.2781440869
160,236.3194651023
161,237.7502459869
162,239.0184393182
163,240.0792385980
164,241.8295381948
165,242.4714484349
166,244.2781399474
167,245.0931465462
168,245.9414461449
169,247.0492019728
170,248.1925916359
171,250.2567812666
172,251.2412027851
173,252.4426428631
174,252.8783455536
175,254.6995428100
176,255.4817143515
177,256.7950960115
178,257.8270419642
179,259.2255084440
180,260.9015569136
181,261.8358472392
182,262.7253963962
183,263.9390328631
184,264.5895165965
185,266.0183558390
186,267.8667418346
187,268.7689730123
188,269.9200199351
189,270.9766252235
190,272.1129028127
191,273.5109563932
192,274.2948564932
193,275.0855464175
194,276.8441204682
195,278.5259446636
196,279.3017347202
197,280.4958776698
198,281.2600352094
199,282.1700465545
200,283.9346051857
201,284.6141607478
202,286.5693715647
203,287.1228829548
204,288.4951078638
205,289.8965208665
206,290.7387849584
207,291.6846405581
208,292.6323414460
209,293.8537844196
210,295.7970564291
211,298.7526974037
212,299.7667030260
213,300.9998428717
214,302.1284712479
215,303.2608702198
216,304.4612908348
217,305.9997149900
218,307.0135391876
219,308.1926239297
220,308.8291207924
221,310.2324663624
222,310.5900346056
223,312.8301279828
224,313.8613231048
225,315.0372635916
226,315.9636679813
227,316.8065969750
228,318.4447616294
229,319.1810525462
230,320.2400134578
231,321.2139948443
232,323.0661008045
233,324.0667748556
234,325.5433980986
235,325.9730435565
236,326.9103916988
237,328.1683216378
238,329.2980622366
239,330.7117062107
240,332.1582347736
241,332.8298453555
242,333.9946273610
243,335.4526898697
244,336.2627177700
245,337.1616846904
246,338.2878933653
247,339.1780222550
248,341.2601360872
249,342.4248516366
250,342.8275849894
251,344.2381837532
252,344.9258197740
253,346.1757594839
254,347.4918876275
255,348.4517462179
256,349.8128591821
257,350.8626832023
258,352.3865086481
259,352.9680451438
260,354.4192965850
261,355.0844028726
262,355.7340520903
263,357.4101922199
264,359.0356310979
265,360.0015688792
266,360.9909423545
267,361.8029073730
268,362.8888817683
269,364.3476597920
270,365.1559204563
271,365.9557070658
272,367.6092137590
273,368.6219609514
274,370.4523996785
275,370.6546457037
276,372.0532207236
277,372.5654812500
278,373.8884009704
279,374.9578827575
280,376.6619656220
281,377.6956268474
282,378.5314343616
283,379.5209168777
284,381.0834464028
285,381.6126273319
286,382.9009141013
287,383.7467511460
288,384.6723250881
289,386.8019690856
290,387.5319580898
291,388.6266565755
292,389.4645089611
293,390.3814349249
294,391.4081961319
295,392.7037633821
296,394.0007872865
297,394.8902551457
298,396.4389185354
299,397.0433540776
300,398.4877165511
301,399.6063223079
302,400.1273218647
303,401.2395167306
304,402.1250056669
305,404.0729879931
306,405.0730390742
307,406.2367211148
308,406.9013647392
309,407.7328782246
310,409.1635321155
311,410.2990636930
312,410.9146419719
313,412.4605366424
314,413.4299035206
315,414.8110202208
316,416.0545896038
317,416.8099165335
318,417.5780507430
319,418.7794901147
320,419.4467372254
321,421.0200944975
322,422.6775716469
323,423.3768220708
324,424.1296024039
325,425.5509629682
326,426.2983508006
327,427.6250336155
328,428.5532813534
329,429.2519120976
330,430.5757000670
331,432.2719913021
332,433.2711870179
333,434.0571246222
334,435.0845391795
335,436.0770206198
336,436.5947303131
337,438.4660897598
338,439.1690284446
339,440.8004528597
340,441.5226090088
341,442.5816549018
342,443.7516286626
343,444.9660226211
344,445.6549457893
345,446.5047348991
346,447.5045137182
347,449.1064896867
348,450.5786711916
349,451.3520325884
350,452.3910226747
351,452.8501644298
352,454.2839209750
353,455.3248497531
354,456.2806735501
355,457.5430130139
356,458.6577919111
357,459.6962723419
358,461.0639882520
359,462.0366373584
360,462.7413185224
361,463.7293273613
362,464.7599671945
363,465.4949747369
364,467.7883675769
365,468.1922982767
366,469.3895406619
367,470.3751672521
368,471.0657001391
369,472.6018422440
370,473.2309762910
371,476.7848913446
372,478.0997389570
373,478.8952752486
374,480.0638975963
375,480.9186660215
376,481.4046201214
377,482.7341601953
378,483.9422992513
379,485.3021360382
380,486.3519451812
381,487.4940422878
382,487.9474514827
383,489.5245061085
384,490.4894989386
385,491.2992345586
386,492.0962141290
387,493.2345230177
388,494.6215451106
389,496.2323766246
390,496.9386160448
391,497.5998510912
392,498.7431187049
393,499.5208925590
394,500.7794731662
395,501.7993312433
396,503.0104820266
397,504.3072720245
398,504.8549148932
399,506.5470365629
400,507.2338639066
401,508.1422652647
402,509.4627550647
403,509.7306175336
404,510.8816791460
405,512.7397233471
406,513.8388264582
407,514.6646709695
408,515.4621159568
409,516.6454089865
410,517.2490660623
411,518.8612414256
412,519.5719669923
413,520.4083295181
414,521.8693490461
415,523.0319461599
416,524.0655898795
417,525.3157286093
418,525.8768112764
419,526.8129877850
420,527.6213081017
421,528.8346176431
422,530.2335978016
423,531.4871874884
424,532.5097963944
425,533.0704870477
426,534.1665626690
427,535.5215659991
428,536.4424042061
429,536.9421994433
430,538.4302356645
431,539.0088067636
432,540.9781855091
433,541.7824090287
434,542.9323013321
435,543.4143466756
436,544.4531020597
437,545.4988528773
438,546.3946780190
439,547.7986484900
440,549.0737106994
441,549.6826206401
442,551.0878898814
443,551.8442398146
444,553.1198031321
445,553.9452812895
446,554.8438427672
447,555.6348085120
448,556.5823966935
449,558.6857905999
450,559.1817167416
451,560.4056306913
452,561.2171412900
453,561.9552444234
454,562.9386943206
455,564.4394272253
456,565.0290301964
457,566.1115047738
458,567.5965566173
459,568.2888596192
460,569.6590957150
461,570.7306643590
462,571.3688390777
463,572.3875055924
464,573.0033180729
465,574.2587862447
466,575.5660555348
467,577.1599178031
468,577.7151295260
469,578.5463033006
470,579.4845357582
471,580.9074618831
472,581.4171629027
473,582.9511654362
474,583.1892879650
475,584.6853848413
476,585.8191034600
477,587.4534745410
478,587.9289222226
479,588.7220641330
480,590.0297715798
481,590.4583914056
482,591.5265666887
483,592.9854493544
484,594.1708148643
485,595.0898842707
486,596.1426357970
487,596.9364536867
488,598.1702978089
489,599.0805091038
490,600.1179497406
491,600.8298151121
492,601.5429606035
493,603.2788236752
494,604.6037409797
495,605.3063884124
496,606.4413631812
497,607.1455121145
498,607.7252265856
499,609.2800483450
500,610.0782996312
501,611.1509440735
502,612.3941081837
503,613.4205143020
504,614.2959978119
505,615.5289946511
506,616.7937337264
507,617.0351670131
508,618.0596719995
509,619.2211128846
510,619.9031979486
511,621.8903832451
512,622.8016738698
513,623.4104026899
514,624.5288404867
515,625.1856859639
516,626.5177954867
517,627.3998316422
518,628.2975707904
519,629.4795024022
520,630.2389218554
521,631.8355420962
522,632.8743421927
523,633.5880887672
524,634.7229080483
525,635.3481128022
526,636.2923788890
527,637.0965220317
528,638.7732794359
529,639.7520947620
530,640.9249178246
531,641.5405226037
532,642.6737895653
533,643.4765279546
534,644.8820762888
535,645.5639117554
536,646.2825329050
537,647.2776287302
538,648.8100421175
539,649.9196088746
540,651.0981091008
541,651.8381875470
542,652.4027938411
543,653.5887194678
544,654.2881254062
545,655.8256757244
546,656.4093938038
547,658.0265210703
548,658.9028426990
549,659.4153079852
550,661.1613188282
551,661.6865977958
552,662.7194821462
553,663.5089419380
554,664.5083452299
555,665.1924885586
556,667.0833687559
