n,t_n
1,3.8204290867
2,6.7022113323
3,8.8796557903
4,11.1988013744
5,12.9756471157
6,15.1739273548
7,16.6404046535
8,18.8753913403
9,20.1127920628
10,22.2894444942
11,23.5583164692
12,25.4076863766
13,27.0063486576
14,28.4496659756
15,30.2108928204
16,31.6397925854
17,33.0425108433
18,35.0343390942
19,35.7805167675
20,37.9224294186
21,38.9679955006
22,40.4830135822
23,42.2421924114
24,43.1896939754
25,44.9535693645
26,46.2368148327
27,47.6514523029
28,48.9380039692
29,50.6766129971
30,51.4926776409
31,53.2529134274
32,54.6666358471
33,55.5652687550
34,57.4658972263
35,58.4582399845
36,59.7094547749
37,61.4705017567
38,62.2803542614
39,63.8803042889
40,65.0838069439
41,66.5644264698
42,67.5137426853
43,69.1278787136
44,70.3594353199
45,71.3811626911
46,72.9350720882
47,74.3571468830
48,74.9485159397
49,77.0628567219
50,77.6526803494
51,79.1227107525
52,80.4705889225
53,81.7148929119
54,82.7435760021
55,84.2257473469
56,85.3544068813
57,86.6522749424
58,87.6571514606
59,89.3222211361
60,90.1625729084
61,91.3244307995
62,93.0979964733
63,93.6772647381
64,95.0364931583
65,96.5708112240
66,97.4481539249
67,98.6291839123
68,100.0833602428
69,101.1194633007
70,102.2517949581
71,103.5554540157
72,104.6808488369
73,106.1033477306
74,106.7033567905
75,108.6360591412
76,109.2513289928
77,110.5038428783
78,111.8241673946
79,113.2602900982
80,113.7016824245
81,115.4242205143
82,116.6149493694
83,117.3275998592
84,118.9277762890
85,119.8141095638
86,121.2511877537
87,122.0203572750
88,123.4736785412
89,124.5664671421
90,125.6780024052
91,126.6542194843
92,128.2419785023
93,129.0164679050
94,130.0390296459
95,131.6107448101
96,132.5759047985
97,133.3649525166
98,135.0040945530
99,135.9051354885
100,136.9886124134
101,138.1358075619
102,139.3876448154
103,140.4643759251
104,141.4461053371
105,142.6941730022
106,143.8181952000
107,145.1082918644
108,145.6690259457
109,147.3965341091
110,148.3543724537
111,149.0289885044
112,150.6932734013
113,151.5718515873
114,152.6902194500
115,153.5993265629
116,155.3987946033
117,155.6250366688
118,157.1568531513
119,158.2037054539
120,159.3314988613
121,160.5188158512
122,161.3219482899
123,162.6485263348
124,163.9535570621
125,164.5119328976
126,165.8691596508
127,167.1509031773
128,168.0726930141
129,168.8647243977
130,170.5005211353
131,171.3353079319
132,172.2478749752
133,173.4869426250
134,174.8298167706
135,175.3879656315
136,176.9200919628
137,177.5980213642
138,179.1572819233
139,179.8087928295
140,180.9659366131
141,182.1689444065
142,183.3268352032
143,184.1715081692
144,185.1466372967
145,186.7861789227
146,187.3455217838
147,188.2818010807
148,189.9375187397
149,190.5213631153
150,191.7389409542
151,192.6922496319
152,194.0145931721
153,194.9412510395
154,195.8596144199
155,197.1491253376
156,197.9964031696
157,199.4528048992
158,199.9290636539
159,201.2549476147
160,202.6174393177
161,203.2344874859
162,204.2611095905
163,205.6707801342
164,206.7006337643
165,207.3104693890
166,208.7005804539
167,209.8125512600
168,210.7384113789
169,211.5907415867
170,213.0202856541
171,213.8198326588
172,214.9595137119
173,215.9318418026
174,216.9590528011
175,218.1600245953
176,219.2450399876
177,219.7337016582
178,221.5644377232
179,222.0496487141
180,223.3051362514
181,224.0678942204
182,225.6356192112
183,226.3417591572
184,227.0756193638
185,228.7025664806
186,229.4236407757
187,230.4441937923
188,231.5215591908
189,232.5429612637
190,233.6623401165
191,234.6360310078
192,235.4826259136
193,236.8090962887
194,237.6825438976
195,238.9377973080
196,239.3723206997
197,241.0396855831
198,241.8693762302
199,242.5991846561
200,243.8024137974
201,245.2398858547
202,245.6892416477
203,246.8029005527
204,248.0610528469
205,248.9614349842
206,249.9705440044
207,250.8940821171
208,252.0494328976
209,253.1355100155
210,253.9662765980
211,255.1135065556
212,255.9218527317
213,257.3587727070
214,258.0516278744
215,258.8251789570
216,260.3633252621
217,261.2760788441
218,261.8964376926
219,263.1860963345
220,264.2415830135
221,265.3770124912
222,265.8852260113
223,267.2226593494
224,268.5731295109
225,268.8113212109
226,270.4576006413
227,270.9977780819
228,272.3378839970
229,273.3615916729
230,274.0671422482
231,275.2086791515
232,276.3444716930
233,277.4255324841
234,277.8997262478
235,279.3236236095
236,280.3811179638
237,281.3704162121
238,281.8758997440
239,283.5431381702
240,284.1997577190
241,285.1950388432
242,286.1171276569
243,287.4538115978
244,288.0690217495
245,289.3450491428
246,290.0945666790
247,291.1785856724
248,292.5073574543
249,292.9797399044
250,294.2186638355
251,295.1056094646
252,296.4087781429
253,297.1538977146
254,297.8194999218
255,299.4744603634
256,300.1713267803
257,300.8903499126
258,302.1355007648
259,303.2550682545
260,304.0570734501
261,305.0957265377
262,305.9097846508
263,307.3825147152
264,307.7834046841
265,309.1173554897
266,309.9054462910
267,310.9555347919
268,312.1841378689
269,312.8977065563
270,313.6975863934
271,315.1863965511
272,315.9277389050
273,316.8053184032
274,317.7074697971
275,319.1531739712
276,319.7494367123
277,320.6557944775
278,321.7713898182
279,322.8977569103
280,323.7694184780
281,324.5038369656
282,325.8566495419
283,326.5972598553
284,327.7052150249
285,328.7085259914
286,329.3971642017
287,330.6657509327
288,331.7591023922
289,332.3165050983
290,333.3853460789
291,334.6628610134
292,335.4106814861
293,336.4278533459
294,337.0973889828
295,338.7311251163
296,339.3370343685
297,339.9378205776
298,341.5805735111
299,342.0535465717
300,343.3891026020
301,344.0212062359
302,345.1488764286
303,346.1287840366
304,347.1747128010
305,347.9609538555
306,348.9471313953
307,349.9656394482
308,351.0851520061
309,351.9466457844
310,352.5236759663
311,354.0980961323
312,354.8947607517
313,355.5869926929
314,356.6166470051
315,357.9211889744
316,358.6811039448
317,359.4711183071
318,360.5792442799
319,361.6248415470
320,362.5033074856
321,363.4726588726
322,364.2724483013
323,365.5554329395
324,366.1867711544
325,367.5445881367
326,367.9791551113
327,369.1489188671
328,370.4706661701
329,371.1017302990
330,371.7489488125
331,373.2990562916
332,373.9797869205
333,375.0607702732
334,375.6644128323
335,376.9549713612
336,378.0607228756
337,378.6111871243
338,379.6087630749
339,380.8977206707
340,381.5393383503
341,382.5679773808
342,383.7303917408
343,384.1448138714
344,385.8141680241
345,386.1879051685
346,387.3770737171
347,388.1198210239
348,389.3836966991
349,390.4257481098
350,390.8527284145
351,392.0232728481
352,393.2658413410
353,394.1079233646
354,394.7109861851
355,395.8480464458
356,397.3135094166
357,397.4386883259
358,398.8195669651
359,399.5840515614
360,400.7594056606
361,401.5264754772
362,402.6414569378
363,403.2812643528
364,404.4400780201
365,405.5240835667
366,406.1685584545
367,407.2815473080
368,407.9692960262
369,409.5214102268
370,410.0035410404
371,410.6401746273
372,412.1803195477
373,412.9873975277
374,413.7282537937
375,414.7082882404
376,415.7388655186
377,416.7933596134
378,417.6575453281
379,418.3408146381
380,419.6425945759
381,420.4155457020
382,421.3732994556
383,422.4457639217
384,423.0557028294
385,424.2098850727
386,425.4582053661
387,425.8489608288
388,426.8598277569
389,428.0743793964
390,428.9866410732
391,429.7680102825
392,430.5316158772
393,431.8368395329
394,432.7501382351
395,433.3799859524
396,434.4022010326
397,435.4913240910
398,436.4546754360
399,437.1476637363
400,438.1858795643
401,439.2331701756
402,439.9252511501
403,441.3811072826
404,441.6542801380
405,442.7378810406
406,444.0644242764
407,444.6633571148
408,445.7701471806
409,446.3012503147
410,447.7963863850
411,448.4688211918
412,449.5603349209
413,449.8849022388
414,451.7618362904
415,452.0695304394
416,452.9347844601
417,454.1983063221
418,454.9044924259
419,456.0198516369
420,456.9495127201
421,457.5627467632
422,458.8502802372
423,459.5710049152
424,460.6865737438
425,461.4759445667
426,462.2403096676
427,463.4490299702
428,464.4590718746
429,465.0719431400
430,465.9006905079
431,467.2948090076
432,468.0141647816
433,468.7360903263
434,469.7443119526
435,470.8038202763
436,471.8614104748
437,472.3187101841
438,473.5694180965
439,474.3300383091
440,475.5513565540
441,476.0855285168
442,477.2262525082
443,478.0243274212
444,479.0420830250
445,480.0029105663
446,480.9872667789
447,481.4069340229
448,482.8997666836
449,483.8205972195
450,484.2343256474
451,485.4180894375
452,486.4281446934
453,487.3820230007
454,488.2582867146
455,488.7917547703
456,490.2777391911
457,491.0085870266
458,491.7217300892
459,492.7530211926
460,493.8234291554
461,494.4968463421
462,495.6960782528
463,496.4174872875
464,497.1763217449
465,498.4415926456
466,499.2748390675
467,500.0494155407
468,500.9615398884
469,501.8512759686
470,504.4553706646
471,505.7733506680
472,506.6215420246
473,507.5742330074
474,507.9573000431
475,509.4922797680
476,510.2402095318
477,510.9751049519
478,512.1666351795
479,512.6794904232
480,514.0594387531
481,514.6643404484
482,515.8424428463
483,516.3130780697
484,517.5550327778
485,518.4758441448
486,519.4947047710
487,520.0420652866
488,520.9121543407
489,522.6204275608
490,522.9274233341
491,523.4304567814
492,524.8877595425
493,525.9457536221
494,526.4611262798
495,527.7527895451
496,527.9970599651
497,529.7515903950
498,530.1660592556
499,531.0300344944
500,532.1193965435
501,532.9841965199
502,533.8490470409
503,535.0241084576
504,535.7357003689
505,536.2165973186
506,537.9078563213
507,538.4304500103
508,539.3892369747
509,539.8754787922
510,541.4031185627
511,542.2365647793
512,542.9959864140
513,543.4812823772
514,544.9396157742
515,547.4225027561
516,548.4488913059
517,549.4827796459
518,550.1735992908
519,551.0290590763
520,555.3730344296
521,556.5985362530
522,557.6068841457
523,558.5693099499
524,559.0262583256
525,559.7513311863
526,562.3267213345
527,563.6167376041
528,566.3843616009
529,567.4579677105
530,567.9093278408
531,570.7311449528
532,574.2536254406
533,576.5947758198
534,577.3129251003
535,580.2504192829
536,580.8108436108
537,583.5445925236
538,584.5065594196
539,585.2432725430
540,585.8132025242
541,586.9852921009
542,587.9916813374
543,588.7923298359
544,589.6549404621
545,590.5872079372
546,591.2215249538
547,592.4653173923
548,594.7849982739
549,597.7349518299
550,598.3506842136
551,599.5764269352
552,601.7679062366
553,603.4426558018
554,604.2683282375
555,604.4129920483
556,607.7679247379
557,608.4502235889
558,611.1311564922
559,612.3820194721
560,612.7607044697
561,616.0237626553
562,618.1609295368
563,619.3102207661
564,621.5609364033
565,623.0184907436
566,623.3832150936
567,624.4552754879
568,625.4915832996
569,625.7337891102
570,629.0343489170
571,629.5243529797
572,630.4208847523
573,631.7883288860
574,634.0073919773
575,635.5024795055
576,637.9394987583
577,638.4604029179
578,639.8901685238
579,640.3061243534
580,640.8160148144
581,642.4427568913
582,643.1517902851
583,643.6913452625
584,644.9539729595
585,645.6316376209
586,646.3215595722
587,648.8241458416
588,650.0381649494
589,651.4345794201
590,651.7943952084
591,652.5735882282
592,653.2448985577
593,656.4111605167
594,656.4949726582
595,659.7092295170
596,660.4563006878
597,661.6556141376
598,662.3884882450
599,663.2967660427
600,664.3761092663
601,664.7035670757
602,665.8929613590
603,667.0593391895
604,669.6667262554
605,670.1811242580
606,672.4518727779
607,675.1687175274
608,676.4223804951
609,677.4193004131
610,678.5313885212
611,678.8359404087
612,680.1413352489
613,680.4861853123
614,681.9638164997
615,682.8451824665
616,683.0407163143
617,686.3322206974
618,688.4055418491
619,693.3583265781
620,695.6150288105
621,696.5309140682
622,697.8713553905
623,698.2551312923
624,699.0216051579
