n,t_n
1,3.1192442417
2,7.2316504002
3,8.6250869274
4,10.3361669064
5,12.6171667576
6,15.1480216503
7,16.2751739979
8,18.7506165981
9,19.5474498272
10,20.9591971874
11,23.5921543598
12,25.3716484547
13,26.3851299763
14,27.6492272854
15,29.3911932468
16,31.0190396786
17,32.4232933521
18,34.4664490223
19,35.7632788181
20,36.7266220570
21,38.3855557919
22,39.0370097637
23,41.9531980038
24,42.7892899036
25,43.9876197338
26,45.3275035381
27,47.0248855114
28,47.7660732746
29,49.3010481358
30,51.1230291843
31,52.5470370770
32,53.9822184086
33,54.8705949306
34,55.4922608852
35,57.5403219700
36,58.8833721638
37,60.5308791637
38,61.5226847172
39,62.7236615658
40,64.1833268642
41,65.3756682873
42,66.1211896420
43,67.5325760365
44,69.8615435123
45,70.7523027897
46,71.4544978619
47,72.9155851841
48,73.9574124813
49,75.1308996677
50,76.7967500210
51,78.1258051395
52,78.9506031513
53,81.0147798061
54,81.4467480183
55,82.8760409832
56,83.5615367413
57,84.8540680408
58,86.8348978519
59,87.9412084103
60,89.3866068363
61,89.7469563007
62,91.0187795162
63,92.6270988941
64,93.7554296017
65,94.2677561283
66,96.3959859371
67,97.4316835880
68,98.6876816273
69,99.7657241344
70,100.6440097332
71,101.5374511242
72,102.7565749645
73,104.7329953671
74,105.7517161846
75,106.6580205441
76,107.6551976681
77,109.3848787785
78,109.8736202717
79,111.0217364788
80,112.3756452084
81,113.2278510571
82,115.2426354885
83,116.3618302822
84,117.0252965450
85,117.9571730137
86,119.0180572033
87,120.3595094204
88,121.4506172657
89,122.9402799129
90,123.9574109554
91,125.2139206409
92,125.9936162472
93,127.5574083805
94,128.4133589268
95,129.1499989986
96,129.9694496632
97,132.1884642124
98,133.2405445576
99,134.0065167904
100,135.3398675442
101,136.0136259556
102,136.9820632458
103,138.6611816883
104,139.1917032719
105,140.8008603573
106,141.6576679707
107,143.1291998386
108,144.5189666271
109,144.9371828556
110,145.9222276211
111,147.0939806461
112,147.9997741222
113,149.4093196392
114,151.2846514225
115,151.8532906055
116,152.4644629002
117,153.7528014660
118,155.1468708515
119,155.9056871891
120,156.9158481121
121,157.8253150463
122,159.4018678188
123,160.7142269611
124,161.6573259830
125,162.7117187023
126,163.5250949383
127,164.5517546177
128,165.0905160427
129,167.1023826122
130,168.0066296101
131,169.0046242237
132,170.2931503773
133,171.1187233448
134,172.2784251690
135,173.2399384022
136,174.3378042698
137,175.0670225620
138,175.9851621151
139,177.9424316883
140,179.0273912907
141,179.8071845531
142,180.8416221142
143,181.2362419605
144,182.9489360332
145,183.7253492832
146,184.6744287014
147,186.1928314686
148,187.3965451717
149,187.8117682934
150,189.5150364399
151,190.4890102863
152,191.3166597843
153,191.7945242405
154,193.0885356426
155,194.1665037632
156,196.0269856930
157,196.6287233829
158,197.6989898205
159,198.6918918133
160,199.3813539982
161,200.5813693523
162,201.7734799862
163,202.7724612713
164,203.4166334629
165,204.8340898037
166,206.4985393047
167,207.0887491703
168,207.8088145733
169,209.2596368313
170,209.7301488400
171,210.6098155499
172,211.8794894695
173,213.5025231838
174,214.3903906345
175,215.3788387775
176,215.9618899822
177,217.3846769810
178,218.3939756870
179,219.4722407818
180,219.7894174099
181,221.0830118656
182,222.5004959583
183,223.4823285580
184,225.0602237225
185,225.5632030964
186,226.4791123867
187,227.0781239033
188,228.2866482258
189,229.6542269230
190,230.3387278080
191,231.7020645618
192,232.8542254925
193,233.5427582264
194,234.8179284573
195,235.8135041714
196,236.5281983852
197,237.7266919613
198,238.3725878239
199,239.0420668125
200,241.4451320171
201,241.8549384594
202,243.0414906025
203,243.4487306118
204,244.9568939686
205,245.4791591167
206,246.6644885540
207,247.6320716381
208,248.8718769550
209,249.5958062649
210,250.9556450367
211,251.9862818241
212,253.1176158428
213,254.1333368778
214,254.3908788204
215,255.5588475704
216,256.4444406986
217,257.8270035267
218,258.9667926311
219,260.1863782406
220,261.0404212475
221,261.7847423077
222,262.4110804081
223,264.1232605457
224,264.9698204517
225,265.3159277439
226,266.5091160297
227,267.7346161366
228,269.2202598095
229,269.9531708241
230,271.0322072506
231,271.7033856869
232,272.7287439823
233,273.3861000538
234,274.4413224697
235,275.6807896137
236,277.2068476200
237,277.7101174831
238,278.4946205616
239,279.9373848438
240,280.8805420399
241,281.5500472546
242,282.5315500736
243,283.5645497799
244,284.2197526455
245,285.3517781734
246,287.1259526730
247,287.9457684994
248,288.5775570393
249,289.5533078671
250,290.2467273235
251,291.2779733181
252,292.5522353649
253,293.4389796734
254,294.0745963573
255,295.8750828266
256,296.3617945194
257,297.4267676830
258,298.5455673695
259,299.5834031582
260,300.2872592449
261,300.9967597485
262,301.6233795643
263,303.3248465061
264,304.5812182903
265,305.3253029346
266,306.4299082279
267,307.1024407864
268,307.8784386158
269,309.3145260334
270,309.7092474461
271,311.1701680660
272,311.7086516857
273,312.8820787907
274,313.9058579922
275,315.4178427219
276,316.2964580059
277,316.6527457714
278,317.6504084110
279,318.5920951366
280,319.7717198849
281,320.1157188892
282,321.9648424625
283,323.0267411709
284,323.6912962437
285,324.6026666164
286,325.3823875904
287,326.8013413906
288,327.5036448956
289,328.3271264553
290,329.1623172283
291,329.9108330250
292,331.5387668133
293,332.8202163219
294,333.1440421581
295,334.5450263500
296,335.3322348118
297,335.7554632664
298,336.6201938152
299,338.1662475109
300,338.9743773937
301,339.9541686535
302,340.9871723652
303,342.0672356129
304,342.9652119160
305,343.9043226719
306,344.8856404781
307,345.7542452335
308,346.3428056240
309,347.4424708843
310,348.1403059483
311,349.8764978886
312,351.1185691357
313,351.5634513378
314,352.0962858677
315,353.2884266376
316,354.2042907238
317,355.4346519947
318,355.8753019810
319,356.9013313770
320,358.4378947735
321,358.8507272244
322,360.0948389530
323,361.3938949108
324,362.1393054485
325,362.7931810856
326,363.7463967800
327,364.4099549770
328,365.2706897259
329,366.8556667805
330,367.7308749676
331,368.8121240139
332,369.5689800739
333,370.4952701092
334,371.3454284191
335,372.0861028194
336,373.5924160481
337,374.0541794300
338,374.9109993458
339,375.5958499432
340,377.5369750500
341,378.1838682652
342,379.2193416119
343,379.9907518864
344,380.6666400433
345,381.8082724094
346,382.2356768131
347,383.4855076313
348,384.5601177692
349,385.7520445347
350,386.7738160610
351,387.3755201817
352,388.1591038227
353,389.7343367100
354,390.3489475727
355,391.0640089512
356,391.6969283581
357,393.0190528393
358,393.6002335072
359,395.1019215107
360,396.2593833447
361,397.0487404346
362,397.9163336277
363,398.3295674801
364,399.3495104313
365,400.5304413319
366,401.3857268810
367,402.3038326740
368,403.2554594517
369,404.2450370312
370,405.4586746693
371,406.3058940411
372,407.1472781658
373,407.9979062557
374,409.2045462132
375,409.5172173023
376,410.2853721142
377,411.3361194134
378,413.3366071224
379,413.8169690609
380,414.4270355701
381,415.6649334431
382,416.3359797955
383,417.2017059803
384,418.2644844532
385,419.1619373798
386,419.9432669163
387,420.7911713123
388,422.0583121777
389,422.8133869648
390,424.3924217701
391,424.8466575146
392,425.8947762012
393,426.4954952717
394,427.0744118214
395,428.3075202465
396,429.4140633106
397,430.0273375988
398,431.6473347187
399,432.3212185383
400,433.2248571873
401,433.6532774448
402,435.1289931774
403,435.9227946758
404,436.7209264278
405,437.6710216045
406,438.0255416393
407,439.3860661030
408,440.7152039051
409,441.9687133312
410,442.1544752598
411,443.2533359051
412,444.0718566418
413,445.0896239758
414,445.4789965153
415,446.7149935246
416,448.0659237385
417,448.6105628490
418,449.7003756046
419,450.4990842342
420,451.7718769550
421,452.5275072575
422,453.3846481800
423,453.9864039898
424,455.1366641521
425,455.7742943287
426,456.4651097775
427,458.1366942883
428,459.1581731319
429,460.1037502766
430,460.7734869480
431,461.3576252460
432,462.0779395580
433,463.5234845638
434,464.4370888233
435,464.9296839237
436,465.7740420818
437,467.1568806171
438,468.2113068104
439,468.8960820675
440,469.9570629597
441,471.9502789021
442,473.2259698391
443,473.8917824268
444,475.3221387386
445,476.5215236187
446,477.4538800716
447,477.9771138668
448,478.9643163204
449,479.9822255611
450,480.5516934872
451,481.9961864948
452,482.0944691181
453,483.5411134243
454,484.0825650692
455,484.8240555286
456,486.8672626019
457,487.6079908848
458,489.9001688480
459,490.4792424679
460,491.2952818394
461,492.4346213818
462,493.3970354557
463,494.7006366253
464,497.3116103649
465,498.0144895077
466,500.3571308613
467,500.7140726566
468,502.3755678654
469,503.7643798351
470,504.5831559658
471,505.7039094448
472,507.0225970745
473,508.2591430187
474,510.1381301403
475,510.6575428486
476,511.1932693958
477,512.4562651157
478,513.7402862072
479,514.2042193890
480,516.0057354450
481,519.1073126316
482,520.0161420345
483,522.0598526478
484,522.9775801182
485,524.8284272671
486,526.4763697147
487,530.3328185558
488,531.5407460690
489,532.6287110806
490,533.8153776646
491,535.0101292133
492,535.9439008236
493,537.5033154964
494,538.4963267803
495,542.3276643276
496,543.9965732098
497,545.9659419537
498,546.8055723667
499,548.1236259937
500,549.8630581379
501,550.6388011456
502,554.6039892673
503,555.1733138561
504,556.0823474407
505,557.6048414707
