N_zeros,n_minima,t_min,t_max,signal_mean,null_mean,null_std,z,effect_size
100,265,9.1347251417,241.5242296658,0.29405290383081245,0.43699297097523004,0.03961653378274744,-3.608091205764862,0.32709923646007527
500,949,9.1347251417,816.1843588465,0.3175293608332603,0.4245777368733181,0.018092501794145333,-5.916726014900731,0.25212903726037345
1000,1714,9.1347251417,1424.422480946,0.3111706314890453,0.41294260324491444,0.012181918734080362,-8.354346632698345,0.24645549031788483
1500,2389,9.1347251417,1985.910043091,0.3105697159249195,0.41404353152933016,0.010468565227872829,-9.884240423788821,0.24991047492570415
