n,t_n
1,2.7746569157
2,4.5226432323
3,7.2977868557
4,8.3828602314
5,10.1096243382
6,12.0157613277
7,13.5504046917
8,15.0708075047
9,16.0247178555
10,18.2038465023
11,19.5319671154
12,20.3960451603
13,21.9834879398
14,23.6930453777
15,24.7313592434
16,26.3874775410
17,27.0365425587
18,28.7232688427
19,30.3868486881
20,31.3632275105
21,32.1867222309
22,33.8449349880
23,35.2745023251
24,36.3620783329
25,37.5047248363
26,38.7584483624
27,39.7047886372
28,41.7090143681
29,42.3005394459
30,43.6178753376
31,44.3723860264
32,46.3003518581
33,47.1976406574
34,48.2709425449
35,49.5313536167
36,50.4222612858
37,51.7980121136
38,53.2024254322
39,54.2874535084
40,55.0042142391
41,56.1062085629
42,57.8308158398
43,58.7408904552
44,59.7485324383
45,60.8289800167
46,61.9386385441
47,63.0709400654
48,64.4174288273
49,65.6403295040
50,66.2691196918
51,67.2673481464
52,68.7061751842
53,70.1657883167
54,70.7993757725
55,71.7286017895
56,73.1643605709
57,73.8361919880
58,75.4853320599
59,76.2336336613
60,77.6868909359
61,78.0741192341
62,79.2022339344
63,80.9155480862
64,81.7923333645
65,82.6297148228
66,83.6636430264
67,84.6520082951
68,86.0863042355
69,86.8144235134
70,88.3485330105
71,88.9032968044
72,90.0099934101
73,90.8238142490
74,92.5345416546
75,93.3707756519
76,94.2636319637
77,95.0624836445
78,96.2840017796
79,97.5080293179
80,98.3881606579
81,99.6595857143
82,100.3607456684
83,101.5635234356
84,102.1401377201
85,103.7595113277
86,104.9906764507
87,105.3851784229
88,106.4730822086
89,107.4865398884
90,108.6891858578
91,110.0922507763
92,110.3849183559
93,111.9118669033
94,112.6742291927
95,113.3699912548
96,114.8292347431
97,115.9618234158
98,116.8333032131
99,117.7923133373
100,118.2406510830
101,119.9460289478
102,120.7834529400
103,121.9412236691
104,122.6238541126
105,123.7999847889
106,124.5920505047
107,125.5508804798
108,126.8734138012
109,128.0388988018
110,128.6446760654
111,129.4723531246
112,130.4689637661
113,131.7971156597
114,132.9676144123
115,133.4849435329
116,134.6074937344
117,135.5769337177
118,136.4337593555
119,137.4713264942
120,138.7555174351
121,139.7824298382
122,140.2549019337
123,141.4638268948
124,142.0228527546
125,143.9703315258
126,144.3040425777
127,145.2977190495
128,146.4095548153
129,147.0860176563
130,148.2663870335
131,149.2015371799
132,150.3282166004
133,151.3002558231
134,152.3118103504
135,152.5011730671
136,154.0274510860
137,155.1985208988
138,156.2087825298
139,156.9554039478
140,157.5928133488
141,158.9770774364
142,159.6521953106
143,160.8226323605
144,161.9077334881
145,162.6927004337
146,163.7900473118
147,164.2480417728
148,165.3308652401
149,166.8121263981
150,167.5423837185
151,168.3748873234
152,169.0935879231
153,170.2432131290
154,171.1273278713
155,172.3213633060
156,173.1035978794
157,174.1758332729
158,175.0301522732
159,175.8404914379
160,176.4907765865
161,178.2419621944
162,178.8102662563
163,179.9693751812
164,180.3865734577
165,181.4485293865
166,182.4911632061
167,183.8381368160
168,184.1789784908
169,185.5682722569
170,186.3504014492
171,186.9906330585
172,188.0947461605
173,188.9516653538
174,190.4527911663
175,191.0056730747
176,191.6512968540
177,192.7085290432
178,193.5851772785
179,194.8056537151
180,195.6980915546
181,196.4716910839
182,197.3988237858
183,198.4827847004
184,198.9786883831
185,200.0718094349
186,201.4556087971
187,202.1121769428
188,202.9567780018
189,203.8073286533
190,204.4235268116
191,205.9961414814
192,206.6587799549
193,207.8346404552
194,208.1908509731
195,209.5827019215
196,210.1450277805
197,211.0181764126
198,212.3286956310
199,213.2121128559
200,214.2331052303
201,214.9233220577
202,215.3140344143
203,216.6821927547
204,217.9834234715
205,218.6273349285
206,219.5908204556
