n,t_n
1,3.8046276316
2,6.6922233239
3,8.8905929551
4,11.1883927450
5,12.9661788061
6,15.1814808741
7,16.6326332703
8,18.8843694553
9,20.1039281949
10,22.2858391032
11,23.5613197103
12,25.4116338924
13,27.0139439836
14,28.4422032610
15,30.2040065572
16,31.6480776176
17,33.0371328786
18,35.0273784861
19,35.7780445769
20,37.9268168196
21,38.9739988193
22,40.4841547534
23,42.2351430163
24,43.1928471044
25,44.9488225058
26,46.2433699802
27,47.6464004979
28,48.9437280104
29,50.6824737057
30,51.5014496520
31,53.2529534981
32,54.6647466317
33,55.5579570487
34,57.4628180102
35,58.4499112502
36,59.7152862325
37,61.4686126485
38,62.2828462437
39,63.8743468180
40,65.0860858098
41,66.5592866793
42,67.5067401424
43,69.1301103309
44,70.3521748617
45,71.3828352228
46,72.9307339236
47,74.3657061353
48,74.9520997450
49,77.0655660883
50,77.6499149248
51,79.1231238320
52,80.4680242732
53,81.7218993381
54,82.7428822353
55,84.2275329456
56,85.3602298841
57,86.6452000752
58,87.6544128761
59,89.3187509283
60,90.1554416940
61,91.3229682341
62,93.0891485468
63,93.6724734232
64,95.0367452428
65,96.5682922319
66,97.4414446697
67,98.6279043958
68,100.0850558385
69,101.1133663520
70,102.2491991326
71,103.5609216854
72,104.6779667094
73,106.1058771834
74,106.7006153509
75,108.6273357973
76,109.2427582666
77,110.5043009534
78,111.8272460833
79,113.2507165626
80,113.6917595133
81,115.4289635018
82,116.6091034338
83,117.3233466372
84,118.9329705223
85,119.8207192913
86,121.2438664481
87,122.0132627621
88,123.4788124070
89,124.5699178681
90,125.6722415879
91,126.6487718061
92,128.2478203848
93,129.0233024254
94,130.0377068207
95,131.6134263232
96,132.5845863298
97,133.3719823495
98,134.9985063151
99,135.9008180484
100,136.9927408859
101,138.1400489166
102,139.3821736172
103,140.4598950610
104,141.4473363802
105,142.6987767324
106,143.8153577432
107,145.1036059067
108,145.6606325462
109,147.3996604547
110,148.3522643849
111,149.0303642586
112,150.6951564804
113,151.5769206598
114,152.6960812673
115,153.6015805200
116,155.4121205017
117,155.6025338992
118,157.1623908177
119,158.2069728360
120,159.3270090416
121,160.5144630805
122,161.3185696200
123,162.6535520300
124,163.9473984644
125,164.5138905212
126,165.8649752513
127,167.1563939735
128,168.0815285966
129,168.8713692084
130,170.4945656881
131,171.3279854372
132,172.2445420161
133,173.4918017343
134,174.8263068274
135,175.3924100533
136,176.9155181959
137,177.5917231873
138,179.1644124463
139,179.8175649419
140,180.9672871664
141,182.1635608539
142,183.3248948887
143,184.1711165890
144,185.1500389710
145,186.7788392738
146,187.3456550822
147,188.2786089078
148,189.9435224816
149,190.5214235827
150,191.7453775510
151,192.6965627447
152,194.0086778477
153,194.9337225720
154,195.8546664312
155,197.1545996830
156,198.0023662105
157,199.4460242733
158,199.9347554430
159,201.2500928715
160,202.6222368672
161,203.2330503806
162,204.2649483934
163,205.6708375469
164,206.6928135678
165,207.3093210176
166,208.6972284630
167,209.8157976165
168,210.7452018157
169,211.5966744676
170,213.0173950925
171,213.8167037413
172,214.9529613033
173,215.9272769019
174,216.9596697554
175,218.1662065759
176,219.2497314438
177,219.7435361460
178,221.5572478846
179,222.0403264597
180,223.3024554685
181,224.0645916238
182,225.6408738181
183,226.3521108642
184,227.0831164882
185,228.6957091942
186,229.4153190956
187,230.4384874925
188,231.5216667220
189,232.5474302366
190,233.6684552029
191,234.6401002333
192,235.4853144601
193,236.8028201774
194,237.6757660046
195,238.9416414157
196,239.3623209193
197,241.0451892272
198,241.8778930947
199,242.6074199364
200,243.8016670629
201,245.2328666762
202,245.6778734222
203,246.7981840178
204,248.0653534874
205,248.9679762319
206,249.9779384330
207,250.8996637180
208,252.0477003887
209,253.1281585976
210,253.9589101300
211,255.1094534948
212,255.9179781601
213,257.3669848785
214,258.0621265963
215,258.8312978283
216,260.3600097939
217,261.2674647704
218,261.8955023125
219,263.1806370303
220,264.2389555261
221,265.3850314483
222,265.8802546993
223,267.2279224649
224,268.5674339637
225,268.8304814473
226,270.4491336927
227,270.9973880157
228,272.3321289822
229,273.3575026378
230,274.0601042494
231,275.2101079091
232,276.3509752050
233,277.4349005803
234,277.9095394418
235,279.3233259752
236,280.3751309052
237,281.3575343832
238,281.8734881505
239,283.5449161127
240,284.1953308150
241,285.1962533548
242,286.1200971559
243,287.4600997493
244,288.0784750268
245,289.3449104831
246,290.0971891895
247,291.1751201496
248,292.4994293436
249,292.9689124987
250,294.2147517279
251,295.1030146763
252,296.4173758164
253,297.1645146683
254,297.8222064897
255,299.4727381483
256,300.1754604772
257,300.8971213385
258,302.1315150008
259,303.2469133183
260,304.0479914561
261,305.0893356368
262,305.9040151671
263,307.3959372655
264,307.7797836021
265,309.1254904315
266,309.9138280675
267,310.9612433657
268,312.1804969147
269,312.8989297286
270,313.6997126445
271,315.1793227062
272,315.9166944817
273,316.7959199682
274,317.7013633326
275,319.1622138277
276,319.7513838902
277,320.6588086113
278,321.7778544381
279,322.9036637679
280,323.7766493097
281,324.5120484367
282,325.8511127219
283,326.5944333330
284,327.6974556163
285,328.6980158165
286,329.3884987518
287,330.6630975112
288,331.7652422294
289,332.3089837626
290,333.3866330191
291,334.6714613304
292,335.4212534770
293,336.4384198055
294,337.1059566125
295,338.7216139391
296,339.3358756736
297,339.9468582466
298,341.5696613893
299,342.0463557884
300,343.3812578753
301,344.0099657819
302,345.1442119643
303,346.1273190126
304,347.1797347888
305,347.9635411903
306,348.9527145550
307,349.9731243178
308,351.0929908559
309,351.9584381118
310,352.5346354917
311,354.0926324412
312,354.8887371287
313,355.5892521158
314,356.6134985194
315,357.9123659596
316,358.6677083477
317,359.4605825916
318,360.5731781796
319,361.6231272355
320,362.5019595727
321,363.4755091771
322,364.2726591483
323,365.5664461628
324,366.1941603199
325,367.5546035275
326,367.9929620609
327,369.1556789085
328,370.4639755920
329,371.1076975390
330,371.7599985585
331,373.2890587464
332,373.9718342379
333,375.0463058546
334,375.6584972367
335,376.9477313623
336,378.0565953180
337,378.5947664574
338,379.6014966950
339,380.9042383179
340,381.5358935252
341,382.5711175039
342,383.7489385232
343,384.1400475040
344,385.8236540452
345,386.2038402215
346,387.3885011598
347,388.1307884142
348,389.3859483823
349,390.4180146411
350,390.8723321393
351,392.0246623918
352,393.2552679703
353,394.0915755734
354,394.7097359791
355,395.8407338455
356,398.8102380767
357,399.5727549627
358,400.7570544109
359,401.5192350015
360,402.6456580922
361,403.2732804820
362,404.4442851946
363,405.5384414181
364,406.1741065010
365,407.2948507562
366,407.9752270922
367,409.5259332880
368,410.0342114761
369,410.6504699811
370,412.1819688603
371,412.9943849728
372,413.7415405616
373,414.7147532627
374,415.7389149442
375,416.7850859120
376,417.6475532159
377,418.3430438086
378,419.6295152143
379,420.4027804628
380,421.3602491692
381,422.4278653011
382,423.0417667970
383,424.1995142266
384,425.4603941038
385,425.8178318664
386,426.8479550794
387,428.0737316713
388,428.9875950709
389,429.7613204971
390,430.5214863017
391,431.8457219139
392,432.7672951981
393,433.3787189677
394,434.4078870460
395,435.5041354820
396,436.4748037323
397,437.1614254221
398,438.2001466081
399,439.2508380458
400,439.9411273167
401,441.3800683931
402,441.6932604089
403,442.7520264760
404,444.0625128165
405,444.6823135272
406,445.7741012797
407,446.3235875592
408,447.7841666326
409,448.4698467866
410,449.5361092344
411,449.9183644757
412,451.7253822967
413,452.0647261724
414,452.9345154867
415,454.1788258657
416,454.8914818540
417,456.0001730576
418,456.9205763713
419,457.5487891868
420,458.8313351884
421,459.5490766004
422,460.6670992002
423,461.4482511714
424,462.2194628581
425,463.4379571900
426,464.4508934602
427,465.0377661392
428,465.8806768760
429,467.3019685343
430,468.0026009127
431,468.7119890317
432,469.7341598168
433,470.8050462589
434,471.8886480078
435,472.2842798457
436,473.5776641712
437,474.3266471669
438,475.5825664058
439,476.0751091287
440,477.2417604551
441,478.0312884465
442,479.0578921005
443,480.0259921178
444,481.0424942419
445,481.3826262221
446,482.9242233232
447,483.8849967971
448,484.2343659565
449,485.4397961244
450,486.4557714358
451,487.4182887658
452,488.3145682022
453,488.8028126046
454,490.3016182885
455,491.0586728737
456,491.7617195085
457,492.7850119039
458,493.8580602065
459,494.5376639232
460,495.7254260227
461,496.4714353964
462,497.2159920052
463,498.4626549765
464,499.3133708879
465,500.1006661013
466,501.0045476869
467,501.8856128916
468,503.3683697835
469,503.5682627425
470,504.5027799830
471,505.7810669497
472,506.6418545738
473,507.5925964072
474,508.0437628463
475,509.4832598999
476,510.2628692523
477,511.0244564220
478,512.1609900281
479,512.7480877355
480,514.0361060783
481,514.7067092136
482,515.8169201747
483,516.3936712697
484,517.5557144180
485,518.4727305755
486,519.4541779354
487,520.1117839172
488,520.9578503802
489,522.4576128885
490,522.9565061077
491,523.5613964990
492,524.8675402001
493,525.8652326718
494,526.5055751786
495,527.6433919087
496,528.1368746027
