n,t_n
1,6.6484533437
2,9.8314444311
3,11.9588456266
4,16.0338211320
5,17.5669942908
6,19.5407326259
7,22.2274054550
8,24.5884662159
9,26.7760959454
10,28.4610350989
11,29.7079093494
12,33.0004560091
13,34.7288129814
14,35.8686383702
15,38.1291847192
16,39.5605729483
17,41.8424385451
18,44.0312900580
19,45.4273000844
20,46.4927271567
21,48.3456618227
22,51.0877519287
23,52.1259022318
24,53.8304451965
25,55.5892803334
26,56.8388659395
27,58.3861174844
28,61.1388647519
29,62.1329047196
30,63.7095430605
31,64.6373596676
32,66.7476418428
33,68.5907279216
34,70.1158371605
35,71.6059594788
36,73.3501054309
37,74.2936884351
38,75.5349041186
39,78.0721708648
40,79.7860624902
41,80.5673008598
42,81.9233808927
43,83.6991570033
44,84.9525071047
45,86.8099966757
46,88.2817766033
47,90.3765731789
48,90.7155259363
49,92.4502432533
50,93.3944239356
51,95.9700016491
52,97.3315882497
53,98.2274578698
54,99.8380508088
55,101.1877170987
56,102.6052879430
57,103.6661310829
58,105.9731937982
59,107.2971036397
60,108.4981066249
61,109.5502586104
62,110.6361976750
63,112.6157699414
64,114.2306398712
65,115.5784139819
66,116.6356717609
67,118.3711623065
68,119.5614916272
69,120.2817341946
70,122.0616322868
71,124.2428371496
72,125.2815361656
73,126.3986993767
74,127.3206348307
75,129.0483000912
76,130.1970382668
77,132.0860053040
78,133.0302283876
79,134.9249638952
80,135.8744976930
81,137.2010834701
82,138.0356990285
83,139.4105995931
84,141.9462405480
85,142.5245124362
86,143.9615911208
87,144.9483276121
88,146.3848096095
89,147.8797291033
90,148.6791376956
91,150.5625106730
92,152.1147485487
93,153.2874105014
94,154.4907156937
95,155.2420799993
96,156.4997285418
97,158.4000270404
98,159.8727775700
99,161.2462175600
100,161.7676625960
101,163.7576737292
102,164.6120093949
103,165.7849132679
104,166.8984076641
105,168.8542152606
106,170.4329617657
107,171.3435913734
108,172.1109726317
109,173.5594350286
110,174.6387255602
111,176.3560413234
112,177.7259420566
113,178.7928649895
114,180.2429351322
115,181.5690410174
116,182.3836847655
117,183.7977731861
118,184.3628313281
119,186.8960606791
120,187.9450259842
121,188.9594686739
122,190.1395967640
123,190.9702222757
124,192.8230754100
125,193.5366786383
126,195.0968146883
127,196.5407645591
128,197.8610095046
129,199.0910217054
130,200.2454408444
131,200.7540601380
132,202.1949514411
133,203.8439019434
134,205.7461765222
135,206.1614100896
136,207.4576800801
137,208.6257624067
138,210.3018863015
139,210.6774621941
140,212.2314465083
141,213.5208741389
142,215.4464514516
143,216.3400341459
144,217.1983339675
145,218.4468831010
146,219.2620902173
147,220.7873883955
148,222.4669542648
149,223.5251748450
150,224.5905695520
151,225.9528174438
152,227.0506152399
153,228.2702606656
154,229.1293411218
155,230.0655467249
156,232.3504135720
157,233.2789359204
158,234.5851234235
159,235.2781440876
160,236.3194651045
161,237.7502459846
162,239.0184393190
163,240.0792385973
164,241.8295381926
165,242.4714484401
166,244.2781399526
167,245.0931465439
168,245.9414461441
169,247.0492019765
170,248.1925916336
171,250.2567812689
172,251.2412027828
173,252.4426428638
174,252.8783455528
175,254.6995428093
176,255.4817143492
177,256.7950960062
178,257.8270419650
179,259.2255084403
180,260.9015569128
181,261.8358472399
182,262.7253963985
183,263.9390328638
184,264.5895165913
185,266.0183558352
186,267.8667418323
187,268.7689730190
188,269.9200199358
189,270.9766252302
190,272.1129028164
191,273.5109563880
192,274.2948564924
193,275.0855464153
194,276.8441204689
195,278.5259446688
196,279.3017347269
197,280.4958776645
198,281.2600352131
199,282.1700465567
200,283.9346051849
201,284.6141607426
202,286.5693715625
203,287.1228829585
204,288.4951078631
205,289.8965208642
206,290.7387849651
207,291.6846405528
208,292.6323414482
209,293.8537844159
210,295.7970564254
