probe,n_targets,n_minima,signal_mean,null_mean,null_std,z,effect_size
indefinite |Re^2 - 5*Im^2|,2792,3581,0.29909534508317015,0.4191877722137958,0.007753335842725558,-15.489130042432047,0.28648838322835335
positive-definite,2792,1048,1.2046734048457435,1.4303143013708821,0.048076939408177914,-4.693329053445465,0.15775616331940018
